cfg,nbreq,Wreq,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
nn,128,32,blocked,double,1024,256,96,32,78.9644,78.8428,0.0009,1160.35,2.168e-19,0,0,13
nn,160,32,vendor,double,1024,256,96,32,79.8663,79.8365,0.0002,1147.24,2.168e-19,0,0,0
nn,160,32,blocked,double,1024,256,96,32,78.9959,78.9780,0.0001,1159.88,2.168e-19,0,0,20
nn,32,32,vendor,cfloat,1024,256,32,32,27.3959,27.3837,0.0006,13378.03,2.328e-10,0,0,0
nn,32,32,blocked,cfloat,1024,256,32,32,66.0694,65.7655,0.0069,5547.26,1.164e-10,0,0,0
nn,64,32,vendor,cfloat,1024,256,64,32,27.5465,27.5259,0.0012,13304.93,2.328e-10,0,0,0
nn,64,32,blocked,cfloat,1024,256,64,32,57.7668,56.2376,0.0116,6344.55,1.972e-01,0,0,42
nn,96,32,vendor,cfloat,1024,256,96,32,27.5367,27.5213,0.0008,13309.63,2.328e-10,0,0,0
nn,96,32,blocked,cfloat,1024,256,96,32,55.3830,55.0188,0.0045,6617.63,4.858e-01,0,0,17
nn,128,32,vendor,cfloat,1024,256,96,32,27.3802,27.3617,0.0004,13385.71,2.328e-10,0,0,0
nn,128,32,blocked,cfloat,1024,256,96,32,55.2562,54.9260,0.0036,6632.81,3.321e-01,0,0,21
nn,160,32,vendor,cfloat,1024,256,96,32,27.5074,27.4990,0.0001,13323.85,2.328e-10,0,0,0
nn,160,32,blocked,cfloat,1024,256,96,32,55.0748,54.9015,0.0036,6654.66,5.821e-11,0,0,25
nn,32,16,vendor,cdouble,1024,256,32,16,309.8485,309.8373,0.0000,1182.85,3.253e-19,0,0,0
nn,32,16,blocked,cdouble,1024,256,32,16,991.4731,991.4414,0.0000,369.66,3.253e-19,0,0,5
nn,64,16,vendor,cdouble,1024,256,64,16,310.0465,309.8164,0.0004,1182.09,3.253e-19,0,0,0
nn,64,16,blocked,cdouble,1024,256,64,16,954.9568,954.8606,0.0001,383.79,1.084e-19,0,0,41
nn,96,16,vendor,cdouble,1024,256,64,16,309.8370,309.8143,0.0008,1182.89,3.253e-19,0,0,0
nn,96,16,blocked,cdouble,1024,256,64,16,955.0337,955.0222,0.0000,383.76,1.084e-19,0,0,54
nn,128,16,vendor,cdouble,1024,256,64,16,309.8233,309.8111,0.0003,1182.94,3.253e-19,0,0,0
nn,128,16,blocked,cdouble,1024,256,64,16,954.9072,954.8431,0.0000,383.81,2.804e-01,0,0,34
nn,160,16,vendor,cdouble,1024,256,64,16,310.9415,309.8239,0.0044,1178.69,3.253e-19,0,0,0
nn,160,16,blocked,cdouble,1024,256,64,16,955.0672,954.9635,0.0001,383.75,7.490e-02,0,0,48
VV,32,32,vendor,float,1024,256,32,32,17.7021,17.6914,0.0004,5176.01,1.164e-10,0,0,0
VV,32,32,blocked,float,1024,256,32,32,29.8001,28.0686,0.0399,3074.69,1.164e-10,0,0,0
VV,64,32,vendor,float,1024,256,64,32,17.6111,17.5805,0.0018,5202.73,1.164e-10,0,0,0
VV,64,32,blocked,float,1024,256,64,32,22.1711,22.0414,0.0044,4132.68,5.821e-11,0,0,0
VV,96,32,vendor,float,1024,256,96,32,17.7935,17.7719,0.0625,5149.42,1.164e-10,0,0,0
VV,96,32,blocked,float,1024,256,96,32,23.0625,19.9792,0.0683,3972.95,5.821e-11,0,0,0
VV,128,32,vendor,float,1024,256,128,32,17.8970,17.5577,0.1425,5119.62,1.164e-10,0,0,0
VV,128,32,blocked,float,1024,256,128,32,32.6476,19.6798,0.2624,2806.51,5.821e-11,0,0,0
VV,160,32,vendor,float,1024,256,128,32,17.6425,17.6366,0.0002,5193.47,1.164e-10,0,0,0
VV,160,32,blocked,float,1024,256,128,32,19.8261,19.7540,0.0017,4621.47,5.821e-11,0,0,0
VV,32,32,vendor,double,1024,256,32,32,79.6613,79.6572,0.0002,1150.19,2.168e-19,0,0,0
VV,32,32,blocked,double,1024,256,32,32,108.8683,108.8169,0.0002,841.62,2.168e-19,0,0,0
VV,64,32,vendor,double,1024,256,64,32,79.7292,79.6910,0.0002,1149.21,2.168e-19,0,0,0
VV,64,32,blocked,double,1024,256,64,32,101.6331,101.5810,0.0007,901.54,2.168e-19,0,0,0
VV,96,32,vendor,double,1024,256,96,32,79.7441,79.6977,0.0003,1149.00,2.168e-19,0,0,0
VV,96,32,blocked,double,1024,256,96,32,99.9339,99.9199,0.0001,916.87,2.168e-19,0,0,0
VV,128,32,vendor,double,1024,256,96,32,79.7288,79.6807,0.0003,1149.22,2.168e-19,0,0,0
VV,128,32,blocked,double,1024,256,96,32,99.9083,99.8974,0.0001,917.10,2.168e-19,0,0,0
VV,160,32,vendor,double,1024,256,96,32,79.7392,79.7012,0.0002,1149.07,2.168e-19,0,0,0
VV,160,32,blocked,double,1024,256,96,32,99.9402,99.9263,0.0002,916.81,2.168e-19,0,0,0
VV,32,32,vendor,cfloat,1024,256,32,32,27.2749,27.2582,0.0005,13437.43,2.328e-10,0,0,0
VV,32,32,blocked,cfloat,1024,256,32,32,40.7812,40.7330,0.0007,8987.08,1.164e-10,0,0,0
VV,64,32,vendor,cfloat,1024,256,64,32,27.3974,27.3764,0.0003,13377.33,2.328e-10,0,0,0
VV,64,32,blocked,cfloat,1024,256,64,32,35.3790,35.2946,0.0012,10359.37,2.328e-10,0,0,0
VV,96,32,vendor,cfloat,1024,256,96,32,27.3947,27.3870,0.0002,13378.63,2.328e-10,0,0,0
VV,96,32,blocked,cfloat,1024,256,96,32,49.0171,48.9777,0.0004,7477.07,5.821e-11,0,0,0
VV,128,32,vendor,cfloat,1024,256,96,32,27.2466,27.2382,0.0003,13451.37,2.328e-10,0,0,0
VV,128,32,blocked,cfloat,1024,256,96,32,48.7686,48.4315,0.0029,7515.17,5.821e-11,0,0,0
VV,160,32,vendor,cfloat,1024,256,96,32,27.4840,27.4748,0.0002,13335.15,2.328e-10,0,0,0
VV,160,32,blocked,cfloat,1024,256,96,32,48.5813,48.3647,0.0019,7544.14,5.821e-11,0,0,0
VV,32,16,vendor,cdouble,1024,256,32,16,309.8208,309.7868,0.0001,1182.95,3.253e-19,0,0,0
