cfg,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
nn,vendor,float,2048,64,128,32,27.3403,27.2753,0.0017,6702.62,1.039e-10,0,0,0
nn,blocked,float,2048,64,128,32,29.9591,29.9392,0.0007,6116.74,5.821e-11,0,0,13
VV,vendor,float,2048,64,128,32,27.5923,27.3948,0.0029,6641.42,1.039e-10,0,0,0
VV,blocked,float,2048,64,128,32,34.0836,34.0617,0.0011,5376.55,5.821e-11,0,0,0
def,vendor,double,128,512,96,32,0.5904,0.5888,0.0016,606.23,1.735e-18,0,0,0
def,blocked,double,128,512,96,32,1.1791,1.1783,0.0011,303.54,1.735e-18,0,0,0
nn,vendor,double,128,512,96,32,0.5853,0.5851,0.0012,611.47,1.735e-18,0,0,0
nn,blocked,double,128,512,96,32,1.1744,1.1718,0.0010,304.76,1.735e-18,0,0,0
VV,vendor,double,128,512,96,32,0.5869,0.5864,0.0005,609.79,1.735e-18,0,0,0
VV,blocked,double,128,512,96,32,1.0496,1.0480,0.0023,341.00,1.735e-18,0,0,0
def,vendor,double,128,2048,96,32,2.1518,2.1457,0.0039,665.34,4.864e-18,0,0,0
def,blocked,double,128,2048,96,32,4.7663,4.7625,0.0012,300.37,6.809e+05,0,0,59
nn,vendor,double,128,2048,96,32,2.1503,2.1473,0.0007,665.78,4.864e-18,0,0,0
nn,blocked,double,128,2048,96,32,4.7658,4.7624,0.0006,300.40,3.242e-18,0,0,46
VV,vendor,double,128,2048,96,32,2.1507,2.1467,0.0008,665.68,4.864e-18,0,0,0
VV,blocked,double,128,2048,96,32,4.1766,4.1752,0.0002,342.78,3.242e-18,0,0,0
def,vendor,double,256,256,96,32,1.8075,1.8071,0.0004,792.05,8.674e-19,0,0,0
def,blocked,double,256,256,96,32,2.1199,2.1177,0.0007,675.35,8.674e-19,0,0,0
nn,vendor,double,256,256,96,32,1.8650,1.8518,0.0070,767.64,8.674e-19,0,0,0
nn,blocked,double,256,256,96,32,9.4664,8.5034,0.0838,151.23,8.674e-19,0,0,0
VV,vendor,double,256,256,96,32,1.8080,1.8026,0.0029,791.83,8.674e-19,0,0,0
VV,blocked,double,256,256,96,32,2.6906,2.6575,0.0062,532.09,8.674e-19,0,0,0
def,vendor,double,256,1024,96,32,6.8854,6.8762,0.0028,831.71,8.674e-19,0,0,0
def,blocked,double,256,1024,96,32,8.3296,8.3260,0.0015,687.50,4.888e+00,0,0,86
nn,vendor,double,256,1024,96,32,6.8956,6.8865,0.0007,830.48,8.674e-19,0,0,0
nn,blocked,double,256,1024,96,32,8.3403,8.3358,0.0003,686.62,1.940e+01,0,0,72
VV,vendor,double,256,1024,96,32,6.8557,6.8497,0.0051,835.31,8.674e-19,0,0,0
VV,blocked,double,256,1024,96,32,10.5448,10.5052,0.0083,543.07,2.526e-18,0,0,0
def,vendor,double,512,128,96,32,6.4353,6.0954,0.0587,889.87,4.337e-19,0,0,0
def,blocked,double,512,128,96,32,6.7559,6.1132,0.3103,847.64,1.205e-18,0,0,0
nn,vendor,double,512,128,96,32,6.1093,6.0333,0.1471,937.36,4.337e-19,0,0,0
nn,blocked,double,512,128,96,32,6.0979,6.0880,0.0026,939.12,1.205e-18,0,0,0
VV,vendor,double,512,128,96,32,9.4330,6.0365,0.2602,607.08,4.337e-19,0,0,0
VV,blocked,double,512,128,96,32,9.0778,8.2974,0.4958,630.84,1.205e-18,0,0,0
def,vendor,double,512,512,96,32,22.8321,22.7193,0.0425,1003.26,8.587e-19,0,0,0
def,blocked,double,512,512,96,32,24.6840,23.1926,0.0576,927.99,4.337e-19,0,0,89
nn,vendor,double,512,512,96,32,22.7658,22.7100,0.0447,1006.18,8.587e-19,0,0,0
nn,blocked,double,512,512,96,32,23.2789,23.2459,0.0046,984.00,4.337e-19,0,0,75
VV,vendor,double,512,512,96,32,22.6234,22.6203,0.0004,1012.51,8.587e-19,0,0,0
VV,blocked,double,512,512,96,32,30.7800,30.7696,0.0007,744.20,8.588e-19,0,0,0
def,vendor,double,1024,128,96,32,40.3179,40.3139,0.0003,1136.29,4.015e-19,0,0,0
def,blocked,double,1024,128,96,32,39.8574,39.6970,0.0048,1149.42,4.015e-19,0,0,0
nn,vendor,double,1024,128,96,32,40.3146,40.3050,0.0006,1136.39,4.015e-19,0,0,0
nn,blocked,double,1024,128,96,32,39.7714,39.6939,0.0046,1151.91,4.015e-19,0,0,1
VV,vendor,double,1024,128,96,32,40.2523,40.2464,0.0004,1138.15,4.015e-19,0,0,0
VV,blocked,double,1024,128,96,32,50.7622,50.7472,0.0004,902.50,4.015e-19,0,0,0
def,vendor,double,1024,256,96,32,79.8070,79.8008,0.0001,1148.09,2.168e-19,0,0,0
def,blocked,double,1024,256,96,32,78.8569,78.8048,0.0006,1161.93,2.168e-19,0,0,14
nn,vendor,double,1024,256,96,32,79.8928,79.8309,0.0005,1146.86,2.168e-19,0,0,0
nn,blocked,double,1024,256,96,32,78.9873,78.8000,0.0012,1160.01,2.168e-19,0,0,18
VV,vendor,double,1024,256,96,32,79.8292,79.4623,0.0019,1147.78,2.168e-19,0,0,0
VV,blocked,double,1024,256,96,32,100.0116,100.0032,0.0002,916.15,2.168e-19,0,0,0
