cfg,rep,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
nv,2,vendor,float,512,128,128,32,0.9047,0.9014,0.0019,6329.59,4.001e-10,0,0,0
nv,2,blocked,float,512,128,128,32,1.7090,1.7059,0.0009,3350.84,2.153e-10,0,0,0
nv,3,vendor,float,512,128,128,32,0.9000,0.8996,0.0002,6362.64,4.001e-10,0,0,0
nv,3,blocked,float,512,128,128,32,1.7103,1.7100,0.0001,3348.23,2.153e-10,0,0,0
nv,4,vendor,float,512,128,128,32,0.9082,0.9063,0.0010,6305.59,4.001e-10,0,0,0
nv,4,blocked,float,512,128,128,32,1.7150,1.7139,0.0003,3339.11,2.153e-10,0,0,0
nv,5,vendor,float,512,128,128,32,0.8995,0.8992,0.0001,6366.60,4.001e-10,0,0,0
nv,5,blocked,float,512,128,128,32,1.7092,1.7057,0.0010,3350.51,2.153e-10,0,0,0
vn,1,vendor,float,512,128,128,32,0.9194,0.9161,0.0018,6228.85,4.001e-10,0,0,0
vn,1,blocked,float,512,128,128,32,1.5563,1.5529,0.0011,3679.56,2.153e-10,0,0,0
vn,2,vendor,float,512,128,128,32,0.8974,0.8964,0.0005,6381.70,4.001e-10,0,0,0
vn,2,blocked,float,512,128,128,32,1.5464,1.5419,0.0015,3703.20,2.153e-10,0,0,0
vn,3,vendor,float,512,128,128,32,0.9026,0.9022,0.0002,6344.88,4.001e-10,0,0,0
vn,3,blocked,float,512,128,128,32,1.5480,1.5450,0.0010,3699.44,2.153e-10,0,0,0
vn,4,vendor,float,512,128,128,32,0.9122,0.9112,0.0005,6277.66,4.001e-10,0,0,0
vn,4,blocked,float,512,128,128,32,1.5544,1.5507,0.0012,3684.07,2.153e-10,0,0,0
vn,5,vendor,float,512,128,128,32,0.9027,0.9013,0.0008,6344.04,4.001e-10,0,0,0
vn,5,blocked,float,512,128,128,32,1.5453,1.5432,0.0007,3705.88,2.153e-10,0,0,0
nn,1,vendor,float,512,128,128,32,0.9070,0.9052,0.0010,6313.77,4.001e-10,0,0,0
nn,1,blocked,float,512,128,128,32,1.7166,1.7141,0.0007,3336.11,2.153e-10,0,0,0
nn,2,vendor,float,512,128,128,32,0.9050,0.9023,0.0015,6328.03,4.001e-10,0,0,0
nn,2,blocked,float,512,128,128,32,1.7088,1.7086,0.0001,3351.17,2.153e-10,0,0,0
nn,3,vendor,float,512,128,128,32,0.9012,0.8996,0.0009,6354.20,4.001e-10,0,0,0
nn,3,blocked,float,512,128,128,32,1.7131,1.7107,0.0007,3342.75,2.153e-10,0,0,0
nn,4,vendor,float,512,128,128,32,0.9121,0.9106,0.0008,6278.29,4.001e-10,0,0,0
nn,4,blocked,float,512,128,128,32,1.7158,1.7149,0.0003,3337.64,2.153e-10,0,0,0
nn,5,vendor,float,512,128,128,32,0.9031,0.9028,0.0002,6340.87,4.001e-10,0,0,0
nn,5,blocked,float,512,128,128,32,1.7131,1.7130,0.0001,3342.77,2.153e-10,0,0,0
vv,1,vendor,float,1024,128,128,32,7.3054,7.2971,0.0006,6271.09,3.219e-10,0,0,0
vv,1,blocked,float,1024,128,128,32,7.6229,7.5581,0.0043,6009.92,1.075e-10,0,0,1
vv,2,vendor,float,1024,128,128,32,7.3143,7.2996,0.0010,6263.48,3.219e-10,0,0,0
