pass,cfg,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
2,VV,vendor,cfloat,1024,128,96,32,12.0820,12.0696,0.0006,15167.32,2.328e-10,0,0,0
2,VV,blocked,cfloat,1024,128,96,32,18.5553,18.5335,0.0009,9875.99,3.234e-10,0,0,0
2,def,vendor,cfloat,1024,256,96,32,27.7389,27.7245,0.0002,13212.65,2.328e-10,0,0,0
2,def,blocked,cfloat,1024,256,96,32,25.6444,25.6188,0.0005,14291.79,7.514e+00,0,0,68
2,nn,vendor,cfloat,1024,256,96,32,27.4297,27.3874,0.0009,13361.56,2.328e-10,0,0,0
2,nn,blocked,cfloat,1024,256,96,32,55.6963,54.6698,0.0079,6580.40,5.821e-11,0,0,21
2,VV,vendor,cfloat,1024,256,96,32,27.4210,27.4005,0.0009,13365.81,2.328e-10,0,0,0
2,VV,blocked,cfloat,1024,256,96,32,48.5449,48.4232,0.0027,7549.79,5.821e-11,0,0,0
2,def,vendor,double,512,512,96,32,22.6821,22.6698,0.0003,1009.89,8.587e-19,0,0,0
2,def,blocked,double,512,512,96,32,23.1364,23.1257,0.0002,990.06,1.816e+03,0,0,81
2,nn,vendor,double,512,512,96,32,22.6627,22.6559,0.0003,1010.76,8.587e-19,0,0,0
2,nn,blocked,double,512,512,96,32,23.1239,23.1189,0.0003,990.60,2.473e+02,0,0,81
2,VV,vendor,double,512,512,96,32,22.6300,22.6268,0.0002,1012.22,8.587e-19,0,0,0
2,VV,blocked,double,512,512,96,32,30.7917,30.7783,0.0002,743.92,8.588e-19,0,0,0
3,def,vendor,double,1024,128,96,32,40.3116,40.2887,0.0003,1136.47,4.015e-19,0,0,0
3,def,blocked,double,1024,128,96,32,40.0303,39.6814,0.0043,1144.46,4.015e-19,0,0,0
3,nn,vendor,double,1024,128,96,32,40.3137,40.2771,0.0003,1136.41,4.015e-19,0,0,0
3,nn,blocked,double,1024,128,96,32,40.0910,39.6803,0.0044,1142.73,4.015e-19,0,0,1
