nb,rep,variant,type,n,batch,nbused,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
64,2,blocked,float,1024,256,64,32,30.2021,30.2011,0.0000,3033.76,1.265e-03,0,0,86
64,3,vendor,float,1024,256,64,32,17.5745,17.5440,0.0009,5213.58,1.164e-10,0,0,0
64,3,blocked,float,1024,256,64,32,30.2763,30.2311,0.0007,3026.33,8.308e-04,0,0,83
64,4,vendor,float,1024,256,64,32,18.3974,17.7046,0.0192,4980.39,1.164e-10,0,0,0
64,4,blocked,float,1024,256,64,32,30.2407,30.2208,0.0003,3029.89,1.084e+00,0,0,78
64,5,vendor,float,1024,256,64,32,17.6579,17.6549,0.0001,5188.95,1.164e-10,0,0,0
64,5,blocked,float,1024,256,64,32,30.2967,30.2571,0.0007,3024.29,5.821e-11,0,0,71
64,6,vendor,float,1024,256,64,32,17.6026,17.5957,0.0002,5205.25,1.164e-10,0,0,0
64,6,blocked,float,1024,256,64,32,30.2603,30.2482,0.0002,3027.92,5.821e-11,0,0,73
64,1,vendor,double,1024,256,64,32,79.6862,79.6634,0.0001,1149.84,2.168e-19,0,0,0
64,1,blocked,double,1024,256,64,32,79.9749,79.8267,0.0009,1145.68,2.168e-19,0,0,12
64,2,vendor,double,1024,256,64,32,79.7274,79.7090,0.0001,1149.24,2.168e-19,0,0,0
64,2,blocked,double,1024,256,64,32,80.0947,79.9383,0.0010,1143.97,3.253e-19,0,0,12
64,3,vendor,double,1024,256,64,32,79.8728,79.8519,0.0001,1147.15,2.168e-19,0,0,0
64,3,blocked,double,1024,256,64,32,80.1763,80.1214,0.0003,1142.81,4.337e-19,0,0,21
64,4,vendor,double,1024,256,64,32,79.7421,79.7277,0.0001,1149.03,2.168e-19,0,0,0
64,4,blocked,double,1024,256,64,32,79.9791,79.9028,0.0005,1145.62,3.738e-01,0,0,12
64,5,vendor,double,1024,256,64,32,79.9022,79.8785,0.0001,1146.73,2.168e-19,0,0,0
64,5,blocked,double,1024,256,64,32,80.0650,79.9970,0.0004,1144.40,2.168e-19,0,0,7
64,6,vendor,double,1024,256,64,32,79.9603,79.9338,0.0002,1145.89,2.168e-19,0,0,0
64,6,blocked,double,1024,256,64,32,80.2377,80.1129,0.0008,1141.93,3.625e+00,0,0,10
64,1,vendor,cfloat,1024,256,64,32,27.3477,27.3262,0.0004,13401.65,2.328e-10,0,0,0
64,1,blocked,cfloat,1024,256,64,32,57.2046,56.5258,0.0060,6406.89,4.750e-02,0,0,27
64,2,vendor,cfloat,1024,256,64,32,27.5806,27.5226,0.0011,13288.47,2.328e-10,0,0,0
64,2,blocked,cfloat,1024,256,64,32,56.7085,56.4450,0.0023,6462.95,1.199e-01,0,0,31
64,3,vendor,cfloat,1024,256,64,32,27.2803,27.2486,0.0006,13434.75,2.328e-10,0,0,0
64,3,blocked,cfloat,1024,256,64,32,56.9739,56.6828,0.0026,6432.83,4.376e-02,0,0,28
64,4,vendor,cfloat,1024,256,64,32,27.3538,27.3423,0.0002,13398.65,2.328e-10,0,0,0
64,4,blocked,cfloat,1024,256,64,32,57.1240,56.5045,0.0055,6415.94,2.328e-10,0,0,22
64,5,vendor,cfloat,1024,256,64,32,27.4394,27.4025,0.0007,13356.87,2.328e-10,0,0,0
64,5,blocked,cfloat,1024,256,64,32,57.0027,56.8186,0.0016,6429.59,2.328e-10,0,0,23
64,6,vendor,cfloat,1024,256,64,32,27.4551,27.3955,0.0011,13349.23,2.328e-10,0,0,0
64,6,blocked,cfloat,1024,256,64,32,56.8195,56.6228,0.0017,6450.32,2.328e-10,0,0,18
64,1,vendor,cdouble,1024,256,64,16,309.7757,308.8764,0.0015,1183.13,3.253e-19,0,0,0
64,1,blocked,cdouble,1024,256,64,16,954.9994,954.9280,0.0000,383.77,1.510e-01,0,0,58
64,2,vendor,cdouble,1024,256,64,16,309.8031,308.9164,0.0014,1183.02,3.253e-19,0,0,0
64,2,blocked,cdouble,1024,256,64,16,955.0252,954.9145,0.0001,383.76,2.461e-02,0,0,56
64,3,vendor,cdouble,1024,256,64,16,309.7553,309.2650,0.0008,1183.20,3.253e-19,0,0,0
64,3,blocked,cdouble,1024,256,64,16,955.0072,954.9464,0.0000,383.77,2.819e-04,0,0,46
64,4,vendor,cdouble,1024,256,64,16,309.7858,309.2248,0.0009,1183.09,3.253e-19,0,0,0
64,4,blocked,cdouble,1024,256,64,16,954.9916,954.9639,0.0000,383.78,2.815e-01,0,0,52
64,5,vendor,cdouble,1024,256,64,16,309.8046,309.4162,0.0006,1183.02,3.253e-19,0,0,0
64,5,blocked,cdouble,1024,256,64,16,955.0134,955.0065,0.0000,383.77,5.740e-02,0,0,52
64,6,vendor,cdouble,1024,256,64,16,309.7914,309.1217,0.0011,1183.07,3.253e-19,0,0,0
64,6,blocked,cdouble,1024,256,64,16,954.8830,954.8463,0.0000,383.82,4.337e-19,0,0,48
