rep,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
2,vendor,float,1024,32,128,32,1.7088,1.7039,0.0014,6702.45,3.219e-10,0,0,0
2,facade,float,1024,32,128,32,4.8885,4.8783,0.0010,2342.89,1.075e-10,0,0,0
3,vendor,float,1024,32,128,32,1.7120,1.7072,0.0014,6689.79,3.219e-10,0,0,0
3,facade,float,1024,32,128,32,4.8649,4.8598,0.0005,2354.29,1.075e-10,0,0,0
1,vendor,float,1024,64,128,32,3.3304,3.3281,0.0003,6877.96,3.219e-10,0,0,0
1,facade,float,1024,64,128,32,6.3378,6.3349,0.0002,3614.27,1.933e-10,0,0,0
2,vendor,float,1024,64,128,32,3.3047,3.3011,0.0005,6931.41,3.219e-10,0,0,0
2,facade,float,1024,64,128,32,6.3261,6.3257,0.0000,3620.97,1.933e-10,0,0,0
3,vendor,float,1024,64,128,32,3.3139,3.3123,0.0002,6912.23,3.219e-10,0,0,0
3,facade,float,1024,64,128,32,6.3370,6.3241,0.0010,3614.70,1.933e-10,0,0,0
1,vendor,float,1024,96,128,32,5.1978,5.1955,0.0002,6610.41,3.219e-10,0,0,0
1,facade,float,1024,96,128,32,8.1788,8.1477,0.0019,4201.08,1.075e-10,0,0,0
2,vendor,float,1024,96,128,32,5.1204,5.1200,0.0000,6710.36,3.219e-10,0,0,0
2,facade,float,1024,96,128,32,8.1493,8.1408,0.0005,4216.27,1.075e-10,0,0,0
3,vendor,float,1024,96,128,32,5.1621,5.1530,0.0009,6656.21,3.219e-10,0,0,0
3,facade,float,1024,96,128,32,8.1562,8.1504,0.0004,4212.71,1.075e-10,0,0,0
1,vendor,float,1024,128,128,32,7.3300,7.3101,0.0014,6250.09,3.219e-10,0,0,0
1,facade,float,1024,128,128,32,8.0135,7.9148,0.0062,5716.94,1.075e-10,0,0,0
2,vendor,float,1024,128,128,32,7.2632,7.2593,0.0003,6307.59,3.219e-10,0,0,0
2,facade,float,1024,128,128,32,7.7119,7.5751,0.0090,5940.57,1.075e-10,0,0,1
3,vendor,float,1024,128,128,32,7.3015,7.2852,0.0011,6274.46,3.219e-10,0,0,0
3,facade,float,1024,128,128,32,7.5854,7.5803,0.0003,6039.65,1.075e-10,0,0,1
1,vendor,float,1024,256,128,32,17.6226,17.6225,0.0000,5199.34,3.219e-10,0,0,0
1,facade,float,1024,256,128,32,15.8268,15.8231,0.0001,5789.30,1.075e-10,0,0,30
2,vendor,float,1024,256,128,32,17.6778,17.6674,0.0003,5183.11,3.219e-10,0,0,0
2,facade,float,1024,256,128,32,15.7204,15.6737,0.0015,5828.48,2.874e+06,0,0,24
3,vendor,float,1024,256,128,32,17.6274,17.6184,0.0003,5197.93,3.219e-10,0,0,0
3,facade,float,1024,256,128,32,15.7875,15.7512,0.0011,5803.72,1.075e-10,0,0,25
1,vendor,cdouble,512,1,64,16,1.4021,1.4009,0.0004,127.63,1.854e-18,0,0,0
1,facade,cdouble,512,1,64,16,13.7998,13.7855,0.0005,12.97,7.443e-19,0,0,0
2,vendor,cdouble,512,1,64,16,1.4027,1.4016,0.0004,127.58,1.854e-18,0,0,0
2,facade,cdouble,512,1,64,16,13.8144,13.8092,0.0002,12.95,7.443e-19,0,0,0
3,vendor,cdouble,512,1,64,16,1.4068,1.4060,0.0003,127.21,1.854e-18,0,0,0
3,facade,cdouble,512,1,64,16,13.8123,13.8001,0.0004,12.96,7.443e-19,0,0,0
1,vendor,cdouble,512,8,64,16,3.9418,3.9408,0.0001,363.20,1.489e-18,0,0,0
1,facade,cdouble,512,8,64,16,8.4474,8.4442,0.0002,169.48,7.443e-19,0,0,0
2,vendor,cdouble,512,8,64,16,3.9403,3.9389,0.0002,363.34,1.489e-18,0,0,0
2,facade,cdouble,512,8,64,16,8.4434,8.4433,0.0000,169.56,7.443e-19,0,0,0
