cfg,rep,variant,type,n,batch,nbused,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
VV,1,blocked,cfloat,1024,256,32,32,40.6749,40.6462,0.0004,9010.57,1.164e-10,0,0,0
VV,2,vendor,cfloat,1024,256,32,32,27.3558,27.3315,0.0004,13397.65,2.328e-10,0,0,0
VV,2,blocked,cfloat,1024,256,32,32,40.7070,40.6891,0.0002,9003.46,1.164e-10,0,0,0
VV,3,vendor,cfloat,1024,256,32,32,27.2620,27.2522,0.0002,13443.78,2.328e-10,0,0,0
VV,3,blocked,cfloat,1024,256,32,32,40.7600,40.7137,0.0006,8991.76,1.164e-10,0,0,0
VV,4,vendor,cfloat,1024,256,32,32,27.4061,27.3667,0.0007,13373.07,2.328e-10,0,0,0
VV,4,blocked,cfloat,1024,256,32,32,40.8618,40.8458,0.0002,8969.36,1.164e-10,0,0,0
VV,1,vendor,cdouble,1024,256,32,16,309.7922,309.7710,0.0000,1183.06,3.253e-19,0,0,0
VV,1,blocked,cdouble,1024,256,32,16,435.7807,435.7764,0.0000,841.03,3.253e-19,0,0,0
VV,2,vendor,cdouble,1024,256,32,16,309.7610,309.7581,0.0000,1183.18,3.253e-19,0,0,0
VV,2,blocked,cdouble,1024,256,32,16,435.8165,435.8163,0.0000,840.96,3.253e-19,0,0,0
VV,3,vendor,cdouble,1024,256,32,16,309.7875,309.7633,0.0000,1183.08,3.253e-19,0,0,0
VV,3,blocked,cdouble,1024,256,32,16,435.7587,435.7062,0.0001,841.07,3.253e-19,0,0,0
VV,4,vendor,cdouble,1024,256,32,16,309.7680,309.7645,0.0000,1183.16,3.253e-19,0,0,0
VV,4,blocked,cdouble,1024,256,32,16,435.7191,435.6964,0.0000,841.15,3.253e-19,0,0,0
