getri,float,128,1,1,native:blocked
getri,float,128,1,2,native:blocked
getri,float,128,1,4,native:blocked
getri,float,128,1,32,native:blocked
getri,float,128,1,64,native:blocked
getri,float,128,1,128,native:blocked
getri,float,128,1,192,native:blocked
getri,float,128,1,256,native:blocked
getri,float,128,1,320,native:blocked
getri,float,128,1,384,native:blocked
getri,float,128,1,512,native:blocked
getri,float,128,1,1024,native:blocked
getri,float,128,1,2048,native:blocked
getri,float,128,1,4096,native:blocked
getri,float,128,1,8192,native:blocked
getri,float,128,1,16384,native:blocked
getri,float,155,1,1,native:blocked
getri,float,155,1,2,native:blocked
getri,float,155,1,4,native:blocked
getri,float,155,1,32,native:blocked
getri,float,155,1,64,native:blocked
getri,float,155,1,128,native:blocked
getri,float,155,1,192,native:blocked
getri,float,155,1,256,native:blocked
getri,float,155,1,320,native:blocked
getri,float,155,1,384,native:blocked
getri,float,155,1,512,native:blocked
getri,float,155,1,1024,native:blocked
getri,float,155,1,2048,native:blocked
getri,float,155,1,4096,native:blocked
getri,float,155,1,8192,native:blocked
getri,float,155,1,16384,native:blocked
getri,float,156,1,1,native:blocked
getri,float,156,1,2,native:blocked
getri,float,156,1,4,native:blocked
getri,float,156,1,32,native:blocked
getri,float,156,1,64,native:blocked
getri,float,156,1,128,native:blocked
getri,float,156,1,192,native:blocked
getri,float,156,1,256,native:blocked
getri,float,156,1,320,native:blocked
getri,float,156,1,384,native:blocked
getri,float,156,1,512,native:blocked
getri,float,156,1,1024,native:blocked
getri,float,156,1,2048,native:blocked
getri,float,156,1,4096,native:blocked
getri,float,156,1,8192,native:blocked
getri,float,156,1,16384,native:blocked
getri,float,256,1,1,native:blocked
getri,float,256,1,2,native:blocked
getri,float,256,1,4,native:blocked
getri,float,256,1,32,native:blocked
getri,float,256,1,64,native:blocked
getri,float,256,1,128,native:blocked
getri,float,256,1,192,native:blocked
getri,float,256,1,256,native:blocked
getri,float,256,1,320,native:blocked
getri,float,256,1,384,native:blocked
getri,float,256,1,512,native:blocked
getri,float,256,1,1024,native:blocked
getri,float,256,1,2048,native:blocked
getri,float,256,1,4096,native:blocked
getri,float,256,1,8192,native:blocked
getri,float,256,1,16384,native:blocked
getri,float,512,1,1,native:blocked
getri,float,512,1,2,native:blocked
getri,float,512,1,4,native:blocked
getri,float,512,1,32,native:blocked
getri,float,512,1,64,native:blocked
getri,float,512,1,128,native:blocked
getri,float,512,1,192,native:blocked
getri,float,512,1,256,native:blocked
getri,float,512,1,320,native:blocked
getri,float,512,1,384,native:blocked
getri,float,512,1,512,native:blocked
getri,float,512,1,1024,native:blocked
getri,float,512,1,2048,native:blocked
getri,float,512,1,4096,native:blocked
getri,float,512,1,8192,native:blocked
getri,float,512,1,16384,native:blocked
getri,float,1024,1,1,native:blocked
getri,float,1024,1,2,native:blocked
getri,float,1024,1,4,native:blocked
getri,float,1024,1,32,native:blocked
getri,float,1024,1,64,native:blocked
getri,float,1024,1,128,native:blocked
getri,float,1024,1,192,native:blocked
getri,float,1024,1,256,native:blocked
getri,float,1024,1,320,native:blocked
getri,float,1024,1,384,native:blocked
getri,float,1024,1,512,native:blocked
getri,float,1024,1,1024,native:blocked
getri,float,1024,1,2048,native:blocked
getri,float,1024,1,4096,native:blocked
getri,float,1024,1,8192,native:blocked
getri,float,1024,1,16384,native:blocked
getri,float,2048,1,1,native:blocked
getri,float,2048,1,2,native:blocked
getri,float,2048,1,4,native:blocked
getri,float,2048,1,32,native:blocked
getri,float,2048,1,64,native:blocked
getri,float,2048,1,128,native:blocked
getri,float,2048,1,192,native:blocked
