typ,tag,transA,m,nnzrow,nrhs,batch,transB,beta,pattern,t_vendor,t_native,ratio,relsd,sd_v,sd_n,chk_v,chk_n,agree,gbs_v,gbs_n,roof_v,roof_n,fp_mb,l2res
cdouble,scl,1,1024,3,1,128,0,0,1,0.0519309,0.0220549,0.4246970493482685,0.0023567471389866145,0.0023567471389866145,0.0009920335163614434,2521.86,2521.86,True,242.311,570.55,0.24038789682539682,0.5660218253968253,12.583424,True
cdouble,scl,1,1024,3,1,256,0,0,1,0.0913168,0.0370518,0.40575009198745465,0.006860854263490572,0.00042179423720498305,0.006860854263490572,2521.86,2521.86,True,275.599,679.234,0.27341170634920636,0.673843253968254,25.166848,True
cdouble,scl,1,1024,3,1,512,0,0,1,0.170716,0.0666403,0.3903576700485016,0.0013007534479886796,0.0009248107968790272,0.0013007534479886796,2521.86,2521.86,True,294.838,755.305,0.2924980158730159,0.7493105158730158,50.333696,True
cdouble,scl,1,1024,3,1,1024,0,0,1,0.330798,0.158459,0.4790204293859092,0.0021088609671902512,0.0005135490541055267,0.0021088609671902512,2521.86,2521.86,True,304.317,635.288,0.3019017857142857,0.6302460317460318,100.667392,False
cdouble,scl,1,1024,3,2,128,0,0,1,0.0571857,0.0358532,0.6269609360382054,0.03754382651606958,0.03754382651606958,0.0010848906094853457,4971.24,4971.24,True,293.39,467.956,0.2910615079365079,0.4642420634920635,16.777728,True
cdouble,scl,1,1024,3,2,256,0,0,1,0.0954753,0.0648457,0.6791882298353606,0.0034650254373073306,0.0008172564003464771,0.0034650254373073306,4971.24,4971.24,True,351.457,517.466,0.3486676587301587,0.513359126984127,33.555456,True
cdouble,scl,1,1024,3,2,512,0,0,1,0.176644,0.122045,0.6909093996965648,0.005667104458685265,0.005667104458685265,0.0030178622639190464,4971.24,4971.24,True,379.921,549.887,0.376905753968254,0.5455228174603174,67.110912,True
cdouble,scl,1,1024,3,2,1024,0,0,1,0.34282,0.308116,0.8987690333119421,0.0013902004439886276,0.0008100635902222741,0.0013902004439886276,4971.24,4971.24,True,391.523,435.621,0.3884156746031746,0.43216369047619047,134.221824,False
cdouble,scl,1,1024,3,4,128,0,0,1,0.0828271,0.063784,0.7700861191566527,0.002456840816592637,0.002456840816592637,0.000594219553493039,9997.29,9997.29,True,303.842,394.555,0.30143055555555553,0.3914236111111111,25.166336,True
cdouble,scl,1,1024,3,4,256,0,0,1,0.14616,0.118978,0.8140257252326217,0.0019758415435139572,0.0019758415435139572,0.0018269427961471868,9997.29,9997.29,True,344.367,423.042,0.3416339285714286,0.41968452380952376,50.332672,True
cdouble,scl,1,1024,3,4,512,0,0,1,0.276354,0.281783,1.0196450928881073,0.0019370083298957134,0.0019370083298957134,0.0013701855683274009,9997.29,9997.29,True,364.262,357.244,0.36137103174603175,0.3544087301587302,100.665344,False
cdouble,scl,1,1024,3,4,1024,0,0,1,0.688698,0.697286,1.012469906983903,0.0018330641946059437,0.0006916471370615277,0.0018330641946059437,9997.29,9997.29,True,292.335,288.735,0.2900148809523809,0.28644345238095237,201.330688,False
cdouble,scl,1,1024,3,8,128,0,0,1,0.126851,0.126189,0.9947812788231863,0.0017495185792739461,0.00145751314534375,0.0017495185792739461,19845.7,19845.7,True,330.652,332.388,0.32802777777777775,0.32975,41.943552,True
