arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,MB
vendor,cdouble,96,384,384,T,vendor:auto,0.68793,0.69038,0.0089,333.5,0.351,0.00e+00,96,216
native:cta,cdouble,96,384,384,T,native:cta,0.26471,0.26470,0.0007,866.8,0.912,0.00e+00,96,216
vendor,cdouble,96,384,384,C,vendor:auto,0.70246,0.70267,0.0042,326.6,0.344,0.00e+00,96,216
native:cta,cdouble,96,384,384,C,native:cta,0.26439,0.26438,0.0007,867.8,0.913,0.00e+00,96,216
vendor,cdouble,96,768,320,T,vendor:auto,1.11719,1.11611,0.0052,341.9,0.360,0.00e+00,96,360
native:cta,cdouble,96,768,320,T,native:cta,0.43449,0.43456,0.0006,879.0,0.925,0.00e+00,96,360
vendor,cdouble,96,768,320,C,vendor:auto,1.14216,1.14227,0.0060,334.4,0.352,0.00e+00,96,360
native:cta,cdouble,96,768,320,C,native:cta,0.43430,0.43434,0.0002,879.4,0.926,0.00e+00,96,360
vendor,cdouble,96,1024,320,T,vendor:auto,1.49168,1.48832,0.0080,341.3,0.359,0.00e+00,96,480
native:cta,cdouble,96,1024,320,T,native:cta,0.57381,0.57392,0.0005,887.1,0.934,0.00e+00,96,480
vendor,cdouble,96,1024,320,C,vendor:auto,1.53344,1.53050,0.0099,332.0,0.349,0.00e+00,96,480
native:cta,cdouble,96,1024,320,C,native:cta,0.57361,0.57365,0.0004,887.4,0.934,0.00e+00,96,480
vendor,cdouble,160,192,1024,T,vendor:auto,0.57326,0.57311,0.0022,888.1,0.935,0.00e+00,160,480
native:cta,cdouble,160,192,1024,T,native:cta,0.55481,0.55501,0.0009,917.6,0.966,0.00e+00,160,480
vendor,cdouble,160,192,1024,C,vendor:auto,0.58999,0.59013,0.0027,862.9,0.908,0.00e+00,160,480
native:cta,cdouble,160,192,1024,C,native:cta,0.55604,0.55622,0.0008,915.6,0.964,0.00e+00,160,480
vendor,cdouble,160,384,640,T,vendor:auto,1.93916,1.93848,0.0062,327.3,0.345,0.00e+00,160,600
native:cta,cdouble,160,384,640,T,native:cta,0.68976,0.69024,0.0015,920.2,0.969,0.00e+00,160,600
vendor,cdouble,160,384,640,C,vendor:auto,1.99386,2.00223,0.0098,318.3,0.335,0.00e+00,160,600
native:cta,cdouble,160,384,640,C,native:cta,0.68875,0.68870,0.0009,921.6,0.970,0.00e+00,160,600
vendor,cdouble,160,768,192,T,vendor:auto,1.20937,1.20862,0.0060,314.5,0.331,0.00e+00,160,360
native:cta,cdouble,160,768,192,T,native:cta,0.41859,0.41853,0.0008,908.6,0.956,0.00e+00,160,360
vendor,cdouble,160,768,192,C,vendor:auto,1.20937,1.20836,0.0083,314.5,0.331,0.00e+00,160,360
native:cta,cdouble,160,768,192,C,native:cta,0.41817,0.41815,0.0009,909.5,0.957,0.00e+00,160,360
vendor,cdouble,224,192,640,T,vendor:auto,0.48917,0.48925,0.0015,909.0,0.957,0.00e+00,224,420
native:cta,cdouble,224,192,640,T,native:cta,0.48460,0.48464,0.0011,917.6,0.966,0.00e+00,224,420
vendor,cdouble,224,192,640,C,vendor:auto,0.50952,0.50949,0.0017,872.7,0.919,0.00e+00,224,420
native:cta,cdouble,224,192,640,C,native:cta,0.48596,0.48588,0.0009,915.0,0.963,0.00e+00,224,420
vendor,cdouble,224,384,320,T,vendor:auto,1.24900,1.25055,0.0100,355.1,0.374,0.00e+00,224,420
native:cta,cdouble,224,384,320,T,native:cta,0.48302,0.48306,0.0012,918.2,0.967,0.00e+00,224,420
vendor,cdouble,224,384,320,C,vendor:auto,1.33031,1.32970,0.0061,333.4,0.351,0.00e+00,224,420
native:cta,cdouble,224,384,320,C,native:cta,0.48291,0.48309,0.0014,918.4,0.967,0.00e+00,224,420
vendor,cdouble,224,768,192,T,vendor:auto,1.59164,1.59553,0.0047,334.0,0.352,0.00e+00,224,504
native:cta,cdouble,224,768,192,T,native:cta,0.57617,0.57659,0.0014,922.5,0.971,0.00e+00,224,504
vendor,cdouble,224,768,192,C,vendor:auto,1.68275,1.68089,0.0036,315.9,0.332,0.00e+00,224,504
native:cta,cdouble,224,768,192,C,native:cta,0.57704,0.57714,0.0014,921.1,0.970,0.00e+00,224,504
vendor,cdouble,288,192,768,T,vendor:auto,0.74982,0.74995,0.0008,914.1,0.962,0.00e+00,288,648
native:cta,cdouble,288,192,768,T,native:cta,0.73908,0.73921,0.0010,927.3,0.976,0.00e+00,288,648
vendor,cdouble,288,192,768,C,vendor:auto,0.79870,0.79864,0.0040,858.1,0.903,0.00e+00,288,648
native:cta,cdouble,288,192,768,C,native:cta,0.74049,0.74119,0.0034,925.6,0.974,0.00e+00,288,648
vendor,cdouble,288,384,384,T,vendor:auto,2.13001,2.12387,0.0066,320.9,0.338,0.00e+00,288,648
native:cta,cdouble,288,384,384,T,native:cta,0.73749,0.73774,0.0015,926.9,0.976,0.00e+00,288,648
vendor,cdouble,288,384,384,C,vendor:auto,2.21180,2.20925,0.0046,309.1,0.325,0.00e+00,288,648
native:cta,cdouble,288,384,384,C,native:cta,0.73793,0.74540,0.0206,926.4,0.975,0.00e+00,288,648
vendor,cdouble,288,1024,192,T,vendor:auto,2.80002,2.80225,0.0087,325.0,0.342,0.00e+00,288,864
native:cta,cdouble,288,1024,192,T,native:cta,0.97742,0.97758,0.0008,931.0,0.980,0.00e+00,288,864
vendor,cdouble,288,1024,192,C,vendor:auto,2.93944,2.94008,0.0026,309.6,0.326,0.00e+00,288,864
native:cta,cdouble,288,1024,192,C,native:cta,0.97763,0.97737,0.0007,930.8,0.980,0.00e+00,288,864
vendor,cdouble,96,192,1024,T,vendor:auto,0.34030,0.34032,0.0013,901.3,0.949,0.00e+00,96,288
native:cta,cdouble,96,192,1024,T,native:cta,0.34957,0.34959,0.0004,877.4,0.924,0.00e+00,96,288
vendor,cdouble,96,192,1024,C,vendor:auto,0.34400,0.34386,0.0012,891.6,0.939,0.00e+00,96,288
native:cta,cdouble,96,192,1024,C,native:cta,0.34953,0.34953,0.0007,877.5,0.924,0.00e+00,96,288
