arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
vendor,float,512,1,512,C,vendor:auto,0.00850,0.00858,0.0250,246.9,0.260,0.00e+00,512,1,512,0
native:direct,float,512,1,512,C,native:direct,0.02563,0.02563,0.0044,81.9,0.086,0.00e+00,512,1,512,0
native:cta,float,512,1,512,C,native:cta,0.00645,0.00646,0.0086,325.4,0.342,0.00e+00,512,1,512,0
vendor,double,512,1,512,C,vendor:auto,0.01139,0.01138,0.0088,368.5,0.388,0.00e+00,512,1,512,0
native:direct,double,512,1,512,C,native:direct,0.03549,0.03550,0.0034,118.3,0.125,0.00e+00,512,1,512,0
native:cta,double,512,1,512,C,native:cta,0.00689,0.00689,0.0143,609.0,0.641,0.00e+00,512,1,512,0
vendor,cfloat,512,1,512,C,vendor:auto,0.00882,0.00886,0.0144,476.0,0.501,0.00e+00,512,1,512,0
native:direct,cfloat,512,1,512,C,native:direct,0.04677,0.04677,0.0018,89.8,0.094,0.00e+00,512,1,512,0
native:cta,cfloat,512,1,512,C,native:cta,0.00685,0.00683,0.0093,613.2,0.645,0.00e+00,512,1,512,0
vendor,cdouble,512,1,512,C,vendor:auto,0.01548,0.01549,0.0092,542.3,0.571,0.00e+00,512,1,512,0
native:direct,cdouble,512,1,512,C,native:direct,0.06912,0.06912,0.0006,121.5,0.128,0.00e+00,512,1,512,0
native:cta,cdouble,512,1,512,C,native:cta,0.00872,0.00872,0.0168,963.3,1.014,0.00e+00,512,1,512,0
vendor,float,1,2048,512,N,vendor:auto,0.01240,0.01241,0.0079,676.4,0.712,0.00e+00,1,1,2048,0
native:direct,float,1,2048,512,N,native:direct,0.08667,0.08667,0.0011,96.8,0.102,0.00e+00,1,1,2048,0
vendor,double,1,2048,512,N,vendor:auto,0.02161,0.02162,0.0058,776.6,0.817,0.00e+00,1,1,2048,0
native:direct,double,1,2048,512,N,native:direct,0.12052,0.12052,0.0008,139.2,0.147,0.00e+00,1,1,2048,0
vendor,cfloat,1,2048,512,N,vendor:auto,0.01383,0.01393,0.0253,1213.8,1.278,0.00e+00,1,1,2048,0
native:direct,cfloat,1,2048,512,N,native:direct,0.16933,0.16938,0.0012,99.1,0.104,0.00e+00,1,1,2048,0
vendor,cdouble,1,2048,512,N,vendor:auto,0.05915,0.05919,0.0063,567.4,0.597,0.00e+00,1,1,2048,0
native:direct,cdouble,1,2048,512,N,native:direct,0.24710,0.24712,0.0005,135.8,0.143,0.00e+00,1,1,2048,0
vendor,float,2048,1,512,T,vendor:auto,0.01234,0.01240,0.0184,679.8,0.716,0.00e+00,2048,1,2048,0
native:direct,float,2048,1,512,T,native:direct,0.08679,0.08676,0.0012,96.7,0.102,0.00e+00,2048,1,2048,0
native:cta,float,2048,1,512,T,native:cta,0.00819,0.00817,0.0113,1024.4,1.078,0.00e+00,2048,1,2048,0
vendor,double,2048,1,512,T,vendor:auto,0.02160,0.02159,0.0070,776.9,0.818,0.00e+00,2048,1,2048,0
native:direct,double,2048,1,512,T,native:direct,0.12547,0.12547,0.0007,133.7,0.141,0.00e+00,2048,1,2048,0
native:cta,double,2048,1,512,T,native:cta,0.00998,0.00998,0.0110,1682.2,1.771,0.00e+00,2048,1,2048,0
vendor,cfloat,2048,1,512,T,vendor:auto,0.01392,0.01454,0.1315,1205.9,1.269,0.00e+00,2048,1,2048,0
native:direct,cfloat,2048,1,512,T,native:direct,0.17030,0.17028,0.0005,98.5,0.104,0.00e+00,2048,1,2048,0
native:cta,cfloat,2048,1,512,T,native:cta,0.00959,0.00958,0.0137,1750.6,1.843,0.00e+00,2048,1,2048,0
vendor,cdouble,2048,1,512,T,vendor:auto,0.05944,0.05940,0.0049,564.6,0.594,0.00e+00,2048,1,2048,0
native:direct,cdouble,2048,1,512,T,native:direct,0.25983,0.25986,0.0006,129.2,0.136,0.00e+00,2048,1,2048,0
native:cta,cdouble,2048,1,512,T,native:cta,0.01570,0.01566,0.0059,2138.2,2.251,0.00e+00,2048,1,2048,0
vendor,float,2048,1,512,C,vendor:auto,0.01180,0.01186,0.0156,711.3,0.749,0.00e+00,2048,1,2048,0
native:direct,float,2048,1,512,C,native:direct,0.08662,0.08660,0.0015,96.9,0.102,0.00e+00,2048,1,2048,0
native:cta,float,2048,1,512,C,native:cta,0.00808,0.00811,0.0107,1039.0,1.094,0.00e+00,2048,1,2048,0
vendor,double,2048,1,512,C,vendor:auto,0.02141,0.02148,0.0069,784.0,0.825,0.00e+00,2048,1,2048,0
native:direct,double,2048,1,512,C,native:direct,0.12568,0.12569,0.0006,133.5,0.141,0.00e+00,2048,1,2048,0
native:cta,double,2048,1,512,C,native:cta,0.01007,0.01031,0.0757,1666.8,1.755,0.00e+00,2048,1,2048,0
vendor,cfloat,2048,1,512,C,vendor:auto,0.01341,0.01345,0.0157,1250.9,1.317,0.00e+00,2048,1,2048,0
native:direct,cfloat,2048,1,512,C,native:direct,0.17039,0.17044,0.0009,98.5,0.104,0.00e+00,2048,1,2048,0
native:cta,cfloat,2048,1,512,C,native:cta,0.00986,0.00982,0.0103,1701.3,1.791,0.00e+00,2048,1,2048,0
vendor,cdouble,2048,1,512,C,vendor:auto,0.03936,0.03930,0.0052,852.8,0.898,0.00e+00,2048,1,2048,0
native:direct,cdouble,2048,1,512,C,native:direct,0.26008,0.26035,0.0020,129.0,0.136,0.00e+00,2048,1,2048,0
native:cta,cdouble,2048,1,512,C,native:cta,0.01576,0.01574,0.0048,2130.0,2.242,0.00e+00,2048,1,2048,0
vendor,float,4,1024,512,N,vendor:auto,0.01033,0.01036,0.0132,1016.1,1.070,0.00e+00,4,4,1024,0
native:direct,float,4,1024,512,N,native:direct,0.02750,0.02771,0.0243,381.6,0.402,0.00e+00,4,4,1024,0
vendor,double,4,1024,512,N,vendor:auto,0.01528,0.01534,0.0114,1373.6,1.446,0.00e+00,4,4,1024,0
native:direct,double,4,1024,512,N,native:direct,0.05448,0.05445,0.0011,385.2,0.405,0.00e+00,4,4,1024,0
vendor,cfloat,4,1024,512,N,vendor:auto,0.01216,0.01245,0.0618,1726.4,1.817,0.00e+00,4,4,1024,0
native:direct,cfloat,4,1024,512,N,native:direct,0.05836,0.07215,0.4049,359.6,0.379,0.00e+00,4,4,1024,0
vendor,cdouble,4,1024,512,N,vendor:auto,0.03440,0.03432,0.0114,1220.4,1.285,0.00e+00,4,4,1024,0
native:direct,cdouble,4,1024,512,N,native:direct,0.12057,0.12059,0.0007,348.1,0.366,0.00e+00,4,4,1024,0
vendor,float,1024,4,512,T,vendor:auto,0.00939,0.00954,0.0525,1117.9,1.177,0.00e+00,1024,4,1024,0
native:direct,float,1024,4,512,T,native:direct,0.03712,0.03711,0.0017,282.7,0.298,0.00e+00,1024,4,1024,0
native:cta,float,1024,4,512,T,native:cta,0.00810,0.00861,0.1840,1295.2,1.363,0.00e+00,1024,4,1024,0
vendor,double,1024,4,512,T,vendor:auto,0.01322,0.01323,0.0196,1587.8,1.671,0.00e+00,1024,4,1024,0
native:direct,double,1024,4,512,T,native:direct,0.05669,0.05670,0.0016,370.2,0.390,0.00e+00,1024,4,1024,0
native:cta,double,1024,4,512,T,native:cta,0.01118,0.01118,0.0075,1877.9,1.977,0.00e+00,1024,4,1024,0
vendor,cfloat,1024,4,512,T,vendor:auto,0.01180,0.01186,0.0154,1778.5,1.872,0.00e+00,1024,4,1024,0
native:direct,cfloat,1024,4,512,T,native:direct,0.06999,0.07000,0.0016,299.9,0.316,0.00e+00,1024,4,1024,0
native:cta,cfloat,1024,4,512,T,native:cta,0.01010,0.01012,0.0102,2078.6,2.188,0.00e+00,1024,4,1024,0
vendor,cdouble,1024,4,512,T,vendor:auto,0.02242,0.02246,0.0090,1872.1,1.971,0.00e+00,1024,4,1024,0
native:direct,cdouble,1024,4,512,T,native:direct,0.12122,0.12124,0.0006,346.3,0.364,0.00e+00,1024,4,1024,0
native:cta,cdouble,1024,4,512,T,native:cta,0.02421,0.02420,0.0021,1734.0,1.825,0.00e+00,1024,4,1024,0
vendor,float,1024,4,512,C,vendor:auto,0.00958,0.00966,0.0312,1095.2,1.153,0.00e+00,1024,4,1024,0
native:direct,float,1024,4,512,C,native:direct,0.03709,0.03709,0.0011,283.0,0.298,0.00e+00,1024,4,1024,0
native:cta,float,1024,4,512,C,native:cta,0.00813,0.00814,0.0108,1291.6,1.360,0.00e+00,1024,4,1024,0
vendor,double,1024,4,512,C,vendor:auto,0.01296,0.01313,0.0430,1619.7,1.705,0.00e+00,1024,4,1024,0
native:direct,double,1024,4,512,C,native:direct,0.05655,0.05655,0.0010,371.1,0.391,0.00e+00,1024,4,1024,0
native:cta,double,1024,4,512,C,native:cta,0.01121,0.01121,0.0064,1872.2,1.971,0.00e+00,1024,4,1024,0
vendor,cfloat,1024,4,512,C,vendor:auto,0.01177,0.01178,0.0130,1783.5,1.877,0.00e+00,1024,4,1024,0
native:direct,cfloat,1024,4,512,C,native:direct,0.06999,0.06998,0.0011,299.9,0.316,0.00e+00,1024,4,1024,0
native:cta,cfloat,1024,4,512,C,native:cta,0.00981,0.00985,0.0119,2138.8,2.251,0.00e+00,1024,4,1024,0
vendor,cdouble,1024,4,512,C,vendor:auto,0.02259,0.02259,0.0071,1858.3,1.956,0.00e+00,1024,4,1024,0
native:direct,cdouble,1024,4,512,C,native:direct,0.12137,0.12136,0.0006,345.8,0.364,0.00e+00,1024,4,1024,0
native:cta,cdouble,1024,4,512,C,native:cta,0.02441,0.02484,0.0555,1719.8,1.810,0.00e+00,1024,4,1024,0
