arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,MB,foreign
vendor,cdouble,32,128,128,T,vendor:auto,0.01305,0.01314,0.0143,667.9,0.703,0.00e+00,32,8,0
native:cta,cdouble,32,128,128,T,native:cta,0.02594,0.02586,0.0078,336.0,0.354,0.00e+00,32,8,0
vendor,cdouble,32,128,256,T,vendor:auto,0.01685,0.01687,0.0114,1034.7,1.089,0.00e+00,32,16,0
native:cta,cdouble,32,128,256,T,native:cta,0.04592,0.04592,0.0018,379.6,0.400,0.00e+00,32,16,0
vendor,cdouble,32,128,512,T,vendor:auto,0.02505,0.02504,0.0069,1391.9,1.465,0.00e+00,32,32,0
native:cta,cdouble,32,128,512,T,native:cta,0.08568,0.08572,0.0014,406.9,0.428,0.00e+00,32,32,0
vendor,cdouble,32,256,128,T,vendor:auto,0.01698,0.01702,0.0112,1023.0,1.077,0.00e+00,32,16,0
native:cta,cdouble,32,256,128,T,native:cta,0.04593,0.04595,0.0018,378.1,0.398,0.00e+00,32,16,0
vendor,cdouble,32,256,256,T,vendor:auto,0.02500,0.02513,0.0149,1389.3,1.462,0.00e+00,32,32,0
native:cta,cdouble,32,256,256,T,native:cta,0.08575,0.08576,0.0010,405.1,0.426,0.00e+00,32,32,0
vendor,cdouble,32,256,512,T,vendor:auto,0.04001,0.04017,0.0128,1736.1,1.828,0.00e+00,32,64,0
native:cta,cdouble,32,256,512,T,native:cta,0.16556,0.16554,0.0011,419.6,0.442,0.00e+00,32,64,0
vendor,cdouble,32,512,128,T,vendor:auto,0.02472,0.02471,0.0117,1402.6,1.476,0.00e+00,32,32,0
native:cta,cdouble,32,512,128,T,native:cta,0.08565,0.08567,0.0013,404.8,0.426,0.00e+00,32,32,0
vendor,cdouble,32,512,256,T,vendor:auto,0.03993,0.04001,0.0046,1736.6,1.828,0.00e+00,32,64,0
native:cta,cdouble,32,512,256,T,native:cta,0.16556,0.16554,0.0007,418.8,0.441,0.00e+00,32,64,0
vendor,cdouble,32,512,512,T,vendor:auto,0.16154,0.16167,0.0032,858.5,0.904,0.00e+00,32,128,0
native:cta,cdouble,32,512,512,T,native:cta,0.32582,0.32579,0.0005,425.6,0.448,0.00e+00,32,128,0
vendor,cdouble,48,128,128,T,vendor:auto,0.01438,0.01437,0.0074,899.9,0.947,0.00e+00,48,12,0
native:cta,cdouble,48,128,128,T,native:cta,0.03413,0.03416,0.0031,379.3,0.399,0.00e+00,48,12,0
vendor,cdouble,48,128,256,T,vendor:auto,0.02109,0.02116,0.0119,1227.1,1.292,0.00e+00,48,24,0
native:cta,cdouble,48,128,256,T,native:cta,0.06227,0.06229,0.0022,415.7,0.438,0.00e+00,48,24,0
vendor,cdouble,48,128,512,T,vendor:auto,0.03196,0.03199,0.0086,1620.1,1.705,0.00e+00,48,48,0
native:cta,cdouble,48,128,512,T,native:cta,0.11874,0.11871,0.0009,436.0,0.459,0.00e+00,48,48,0
vendor,cdouble,48,256,128,T,vendor:auto,0.02175,0.02166,0.0218,1185.6,1.248,0.00e+00,48,24,0
native:cta,cdouble,48,256,128,T,native:cta,0.06231,0.06233,0.0017,413.9,0.436,0.00e+00,48,24,0
vendor,cdouble,48,256,256,T,vendor:auto,0.03205,0.03205,0.0084,1609.4,1.694,0.00e+00,48,48,0
native:cta,cdouble,48,256,256,T,native:cta,0.11870,0.11872,0.0010,434.5,0.457,0.00e+00,48,48,0
vendor,cdouble,48,256,512,T,vendor:auto,0.18239,0.18166,0.0229,565.6,0.595,0.00e+00,48,96,0
native:cta,cdouble,48,256,512,T,native:cta,0.23360,0.23354,0.0011,441.6,0.465,0.00e+00,48,96,0
vendor,cdouble,48,512,128,T,vendor:auto,0.03211,0.03216,0.0054,1602.9,1.687,0.00e+00,48,48,0
native:cta,cdouble,48,512,128,T,native:cta,0.11861,0.11864,0.0007,434.0,0.457,0.00e+00,48,48,0
vendor,cdouble,48,512,256,T,vendor:auto,0.18264,0.18076,0.0382,563.7,0.593,0.00e+00,48,96,0
native:cta,cdouble,48,512,256,T,native:cta,0.23362,0.23356,0.0009,440.7,0.464,0.00e+00,48,96,0
vendor,cdouble,48,512,512,T,vendor:auto,0.31752,0.31972,0.0624,648.5,0.683,0.00e+00,48,192,0
native:cta,cdouble,48,512,512,T,native:cta,0.45914,0.45914,0.0002,448.5,0.472,0.00e+00,48,192,0
vendor,cdouble,64,128,128,T,vendor:auto,0.01572,0.01571,0.0100,1091.9,1.149,0.00e+00,64,16,0
native:cta,cdouble,64,128,128,T,native:cta,0.03020,0.03017,0.0034,568.6,0.599,0.00e+00,64,16,0
vendor,cdouble,64,128,256,T,vendor:auto,0.02452,0.02459,0.0090,1400.5,1.474,0.00e+00,64,32,0
native:cta,cdouble,64,128,256,T,native:cta,0.05425,0.05441,0.0066,633.0,0.666,0.00e+00,64,32,0
vendor,cdouble,64,128,512,T,vendor:auto,0.03742,0.03747,0.0065,1835.2,1.932,0.00e+00,64,64,0
native:cta,cdouble,64,128,512,T,native:cta,0.10247,0.10246,0.0017,670.3,0.706,0.00e+00,64,64,0
vendor,cdouble,64,256,128,T,vendor:auto,0.02466,0.02496,0.0432,1387.1,1.460,0.00e+00,64,32,0
native:cta,cdouble,64,256,128,T,native:cta,0.05402,0.05406,0.0017,633.2,0.667,0.00e+00,64,32,0
vendor,cdouble,64,256,256,T,vendor:auto,0.03729,0.03739,0.0062,1834.6,1.931,0.00e+00,64,64,0
native:cta,cdouble,64,256,256,T,native:cta,0.10251,0.10252,0.0024,667.5,0.703,0.00e+00,64,64,0
vendor,cdouble,64,256,512,T,vendor:auto,0.37233,0.37246,0.0036,367.5,0.387,0.00e+00,64,128,0
native:cta,cdouble,64,256,512,T,native:cta,0.20012,0.20018,0.0011,683.8,0.720,0.00e+00,64,128,0
vendor,cdouble,64,512,128,T,vendor:auto,0.03742,0.03749,0.0090,1824.9,1.921,0.00e+00,64,64,0
native:cta,cdouble,64,512,128,T,native:cta,0.10248,0.10250,0.0014,666.3,0.701,0.00e+00,64,64,0
vendor,cdouble,64,512,256,T,vendor:auto,0.37205,0.37179,0.0046,367.1,0.386,0.00e+00,64,128,0
native:cta,cdouble,64,512,256,T,native:cta,0.20009,0.20011,0.0010,682.6,0.718,0.00e+00,64,128,0
vendor,cdouble,64,512,512,T,vendor:auto,0.75148,0.75112,0.0033,363.5,0.383,0.00e+00,64,256,0
native:cta,cdouble,64,512,512,T,native:cta,0.39282,0.39285,0.0008,695.4,0.732,0.00e+00,64,256,0
vendor,cdouble,80,128,128,T,vendor:auto,0.01744,0.01746,0.0072,1227.2,1.292,0.00e+00,80,20,0
native:cta,cdouble,80,128,128,T,native:cta,0.03424,0.03427,0.0030,625.0,0.658,0.00e+00,80,20,0
vendor,cdouble,80,128,256,T,vendor:auto,0.02956,0.02957,0.0184,1447.6,1.524,0.00e+00,80,40,0
native:cta,cdouble,80,128,256,T,native:cta,0.06246,0.06249,0.0018,685.2,0.721,0.00e+00,80,40,0
vendor,cdouble,80,128,512,T,vendor:auto,0.22146,0.22154,0.0079,386.5,0.407,0.00e+00,80,80,0
native:cta,cdouble,80,128,512,T,native:cta,0.12359,0.12363,0.0021,692.5,0.729,0.00e+00,80,80,0
vendor,cdouble,80,256,128,T,vendor:auto,0.02898,0.02905,0.0138,1470.9,1.548,0.00e+00,80,40,0
native:cta,cdouble,80,256,128,T,native:cta,0.06242,0.06241,0.0014,682.9,0.719,0.00e+00,80,40,0
vendor,cdouble,80,256,256,T,vendor:auto,0.22136,0.22139,0.0055,385.2,0.405,0.00e+00,80,80,0
native:cta,cdouble,80,256,256,T,native:cta,0.12275,0.12279,0.0010,694.6,0.731,0.00e+00,80,80,0
vendor,cdouble,80,256,512,T,FAILED,,,,,,,,160,0
native:cta,cdouble,80,256,512,T,FAILED,,,,,,,,160,0
vendor,cdouble,80,512,128,T,vendor:auto,0.16291,0.16285,0.0115,522.4,0.550,0.00e+00,80,80,0
native:cta,cdouble,80,512,128,T,native:cta,0.12218,0.12221,0.0016,696.5,0.733,0.00e+00,80,80,0
vendor,cdouble,80,512,256,T,vendor:auto,0.45220,0.45065,0.0082,376.4,0.396,0.00e+00,80,160,0
native:cta,cdouble,80,512,256,T,native:cta,0.23649,0.23654,0.0012,719.7,0.758,0.00e+00,80,160,0
vendor,cdouble,80,512,512,T,vendor:auto,0.95871,0.95709,0.0142,355.1,0.374,0.00e+00,80,320,0
native:cta,cdouble,80,512,512,T,native:cta,0.46176,0.46188,0.0005,737.2,0.776,0.00e+00,80,320,0
vendor,cdouble,128,128,128,T,vendor:auto,0.02294,0.02308,0.0173,1485.6,1.564,0.00e+00,128,32,0
