pooled cdouble transposed cells: 241  (fit 197, oos 44)
vendor GB/s where native WINS >=1.15x : min 304  median 334  max 803  (n=68)
vendor GB/s elsewhere                 : min 557  median 892  max 1863  (n=173)

clause                                                       adm  wins  worst missed  verdict
m in [48,320] and n >= 512 and A >= 512 MB                    22    18   1.01     50  fails
m in [48,320] and n >= 512 and A >= 1024 MB                   10    10   2.72     58  PASSES
m in [48,320] and n >= 768                                    20    20   1.90     48  PASSES
m in [48,320] and n >= 768 and A >= 128 MB                    20    20   1.90     48  PASSES
m in [48,320] and n >= 768 and A >= 256 MB                    18    18   2.53     50  PASSES
m in [48,320] and n >= 768 and A >= 512 MB                    10    10   2.77     58  PASSES
m in [48,320] and n >= 768 and A >= 1024 MB                    6     6   2.77     62  PASSES
m in [64,512] and n >= 128                                   205    68   0.36      0  fails
m in [64,512] and n >= 128 and A >= 128 MB                   161    62   0.97      6  fails
m in [64,512] and n >= 128 and A >= 256 MB                   118    49   0.97     19  fails
m in [64,512] and n >= 128 and A >= 512 MB                    62    31   1.01     37  fails
m in [64,512] and n >= 128 and A >= 1024 MB                   24    15   1.01     53  fails
m in [64,512] and n >= 256                                   141    66   0.36      2  fails
m in [64,512] and n >= 256 and A >= 128 MB                   125    62   0.97      6  fails
m in [64,512] and n >= 256 and A >= 256 MB                    96    49   0.99     19  fails
m in [64,512] and n >= 256 and A >= 512 MB                    56    31   1.01     37  fails
m in [64,512] and n >= 256 and A >= 1024 MB                   24    15   1.01     53  fails
m in [64,512] and n >= 320                                    88    53   0.36     15  fails
m in [64,512] and n >= 320 and A >= 128 MB                    84    51   0.98     17  fails
m in [64,512] and n >= 320 and A >= 256 MB                    70    41   0.99     27  fails
m in [64,512] and n >= 320 and A >= 512 MB                    44    27   1.01     41  fails
m in [64,512] and n >= 320 and A >= 1024 MB                   22    15   1.01     53  fails
m in [64,512] and n >= 384                                    88    53   0.36     15  fails
m in [64,512] and n >= 384 and A >= 128 MB                    84    51   0.98     17  fails
m in [64,512] and n >= 384 and A >= 256 MB                    70    41   0.99     27  fails
m in [64,512] and n >= 384 and A >= 512 MB                    44    27   1.01     41  fails
m in [64,512] and n >= 384 and A >= 1024 MB                   22    15   1.01     53  fails
m in [64,512] and n >= 512                                    76    41   0.36     27  fails
m in [64,512] and n >= 512 and A >= 128 MB                    72    39   0.98     29  fails
m in [64,512] and n >= 512 and A >= 256 MB                    62    33   0.99     35  fails
m in [64,512] and n >= 512 and A >= 512 MB                    38    21   1.01     47  fails
m in [64,512] and n >= 512 and A >= 1024 MB                   20    13   1.01     55  fails
m in [64,512] and n >= 768                                    22    22   1.90     46  PASSES
m in [64,512] and n >= 768 and A >= 128 MB                    22    22   1.90     46  PASSES
m in [64,512] and n >= 768 and A >= 256 MB                    20    20   2.53     48  PASSES
m in [64,512] and n >= 768 and A >= 512 MB                    12    12   2.77     56  PASSES
m in [64,512] and n >= 768 and A >= 1024 MB                    8     8   2.77     60  PASSES
m in [96,320] and n >= 128                                   108    42   0.52     26  fails
m in [96,320] and n >= 128 and A >= 128 MB                    92    42   0.97     26  fails
m in [96,320] and n >= 128 and A >= 256 MB                    70    40   0.97     28  fails
m in [96,320] and n >= 128 and A >= 512 MB                    34    26   1.01     42  fails
m in [96,320] and n >= 128 and A >= 1024 MB                   10    10   2.72     58  PASSES
m in [96,320] and n >= 256                                    74    42   0.52     26  fails
m in [96,320] and n >= 256 and A >= 128 MB                    70    42   0.97     26  fails
m in [96,320] and n >= 256 and A >= 256 MB                    56    40   0.99     28  fails
m in [96,320] and n >= 256 and A >= 512 MB                    30    26   1.01     42  fails
m in [96,320] and n >= 256 and A >= 1024 MB                   10    10   2.72     58  PASSES
m in [96,320] and n >= 320                                    50    34   0.98     34  fails
m in [96,320] and n >= 320 and A >= 128 MB                    50    34   0.98     34  fails
m in [96,320] and n >= 320 and A >= 256 MB                    44    32   0.99     36  fails
m in [96,320] and n >= 320 and A >= 512 MB                    26    22   1.01     46  fails
m in [96,320] and n >= 320 and A >= 1024 MB                   10    10   2.72     58  PASSES
m in [96,320] and n >= 384                                    50    34   0.98     34  fails
m in [96,320] and n >= 384 and A >= 128 MB                    50    34   0.98     34  fails
m in [96,320] and n >= 384 and A >= 256 MB                    44    32   0.99     36  fails
m in [96,320] and n >= 384 and A >= 512 MB                    26    22   1.01     46  fails
m in [96,320] and n >= 384 and A >= 1024 MB                   10    10   2.72     58  PASSES
m in [96,320] and n >= 512                                    42    26   0.98     42  fails
m in [96,320] and n >= 512 and A >= 128 MB                    42    26   0.98     42  fails
m in [96,320] and n >= 512 and A >= 256 MB                    38    26   0.99     42  fails
m in [96,320] and n >= 512 and A >= 512 MB                    22    18   1.01     50  fails
m in [96,320] and n >= 512 and A >= 1024 MB                   10    10   2.72     58  PASSES
m in [96,320] and n >= 768                                    18    18   2.53     50  PASSES
m in [96,320] and n >= 768 and A >= 128 MB                    18    18   2.53     50  PASSES
m in [96,320] and n >= 768 and A >= 256 MB                    18    18   2.53     50  PASSES
m in [96,320] and n >= 768 and A >= 512 MB                    10    10   2.77     58  PASSES
m in [96,320] and n >= 768 and A >= 1024 MB                    6     6   2.77     62  PASSES

============================================================================================
TIGHTEST PASSING CLAUSE, by wins captured:
   m in [64,512] and n >= 768 and A >= 128 MB
   admits 22 cells, all >= 1.90x in both passes, captures 22 of the 68 measured wins
============================================================================================
