arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,call
vendor,float,2048,16,512,N,vendor:auto,0.02199,0.02204,0.0063,3243.9,3.415,0.00e+00,2048,2048,16,call2
native:direct,float,2048,16,512,N,native:direct,0.02179,0.02183,0.0072,3273.2,3.445,0.00e+00,2048,2048,16,call2
vendor,float,2048,16,512,C,vendor:auto,0.02183,0.02186,0.0083,3267.5,3.439,0.00e+00,2048,16,2048,call1
native:cta,float,2048,16,512,C,native:cta,0.02416,0.02417,0.0036,2952.6,3.108,0.00e+00,2048,16,2048,call1
vendor,float,2048,32,512,N,vendor:auto,0.15713,0.15719,0.0020,881.3,0.928,0.00e+00,2048,2048,32,call2
native:direct,float,2048,32,512,N,native:direct,0.15577,0.15580,0.0009,889.0,0.936,0.00e+00,2048,2048,32,call2
vendor,float,2048,32,512,C,vendor:auto,0.15259,0.15267,0.0025,907.5,0.955,0.00e+00,2048,32,2048,call1
native:cta,float,2048,32,512,C,native:cta,0.15192,0.15191,0.0016,911.5,0.960,0.00e+00,2048,32,2048,call1
vendor,float,2048,64,512,N,vendor:auto,0.30020,0.30027,0.0012,908.6,0.956,0.00e+00,2048,2048,64,call2
native:direct,float,2048,64,512,N,native:direct,0.29942,0.29950,0.0016,911.0,0.959,0.00e+00,2048,2048,64,call2
vendor,float,2048,64,512,C,vendor:auto,0.29326,0.29330,0.0008,930.1,0.979,0.00e+00,2048,64,2048,call1
native:cta,float,2048,64,512,C,native:cta,0.29219,0.29224,0.0007,933.5,0.983,0.00e+00,2048,64,2048,call1
vendor,cdouble,512,1,512,N,vendor:auto,0.01774,0.01774,0.0050,473.2,0.498,0.00e+00,512,512,1,call2
native:direct,cdouble,512,1,512,N,native:direct,0.01105,0.01108,0.0077,759.8,0.800,0.00e+00,512,512,1,call2
vendor,cdouble,512,1,512,C,vendor:auto,0.01586,0.01589,0.0156,529.4,0.557,0.00e+00,512,1,512,call1
native:cta,cdouble,512,1,512,C,native:cta,0.00878,0.00878,0.0090,955.8,1.006,0.00e+00,512,1,512,call1
vendor,cdouble,512,2,512,N,vendor:auto,0.01751,0.01755,0.0145,719.6,0.758,0.00e+00,512,512,2,call2
native:direct,cdouble,512,2,512,N,native:direct,0.01262,0.01260,0.0068,998.4,1.051,0.00e+00,512,512,2,call2
vendor,cdouble,512,2,512,C,vendor:auto,0.01530,0.01536,0.0112,823.7,0.867,0.00e+00,512,2,512,call1
native:cta,cdouble,512,2,512,C,native:cta,0.01098,0.01102,0.0089,1147.8,1.208,0.00e+00,512,2,512,call1
vendor,cdouble,512,4,512,N,vendor:auto,0.01881,0.01880,0.0061,1116.4,1.175,0.00e+00,512,512,4,call2
native:direct,cdouble,512,4,512,N,native:direct,0.01565,0.01572,0.0083,1342.4,1.413,0.00e+00,512,512,4,call2
vendor,cdouble,512,4,512,C,vendor:auto,0.01545,0.01543,0.0072,1359.4,1.431,0.00e+00,512,4,512,call1
native:cta,cdouble,512,4,512,C,native:cta,0.01621,0.01620,0.0055,1296.1,1.364,0.00e+00,512,4,512,call1
vendor,cdouble,512,8,512,N,vendor:auto,0.02506,0.02512,0.0113,1509.2,1.589,0.00e+00,512,512,8,call2
native:direct,cdouble,512,8,512,N,native:direct,0.02169,0.02174,0.0052,1743.4,1.835,0.00e+00,512,512,8,call2
vendor,cdouble,512,8,512,C,vendor:auto,0.02124,0.02134,0.0109,1780.7,1.874,0.00e+00,512,8,512,call1
native:cta,cdouble,512,8,512,C,native:cta,0.02638,0.02639,0.0034,1433.7,1.509,0.00e+00,512,8,512,call1
vendor,cdouble,512,16,512,N,vendor:auto,0.04549,0.04551,0.0045,1570.3,1.653,0.00e+00,512,512,16,call2
native:direct,cdouble,512,16,512,N,native:direct,0.03381,0.03381,0.0024,2113.1,2.224,0.00e+00,512,512,16,call2
vendor,cdouble,512,16,512,C,vendor:auto,0.03468,0.03473,0.0055,2059.9,2.168,0.00e+00,512,16,512,call1
native:cta,cdouble,512,16,512,C,native:cta,0.04652,0.04656,0.0031,1535.7,1.617,0.00e+00,512,16,512,call1
vendor,cdouble,512,32,512,N,vendor:auto,0.15912,0.15934,0.0037,871.5,0.917,0.00e+00,512,512,32,call2
native:direct,cdouble,512,32,512,N,native:direct,0.15775,0.15789,0.0023,879.1,0.925,0.00e+00,512,512,32,call2
vendor,cdouble,512,32,512,C,vendor:auto,0.16620,0.16631,0.0051,834.4,0.878,0.00e+00,512,32,512,call1
native:cta,cdouble,512,32,512,C,native:cta,0.16035,0.16040,0.0064,864.8,0.910,0.00e+00,512,32,512,call1
vendor,cdouble,512,64,512,N,vendor:auto,0.30311,0.30333,0.0018,901.2,0.949,0.00e+00,512,512,64,call2
native:direct,cdouble,512,64,512,N,native:direct,0.29947,0.29954,0.0022,912.1,0.960,0.00e+00,512,512,64,call2
vendor,cdouble,512,64,512,C,vendor:auto,0.31921,0.31914,0.0151,855.7,0.901,0.00e+00,512,64,512,call1
native:cta,cdouble,512,64,512,C,native:cta,0.30170,0.30167,0.0037,905.4,0.953,0.00e+00,512,64,512,call1
