arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
vendor,float,1,64,512,N,vendor:auto,0.00783,0.00788,0.0225,33.7,0.036,0.00e+00,1,1,64,0
native:direct,float,1,64,512,N,native:direct,0.00782,0.00785,0.0075,33.8,0.036,0.00e+00,1,1,64,0
vendor,double,1,64,512,N,vendor:auto,0.00970,0.00976,0.0158,54.5,0.057,0.00e+00,1,1,64,0
native:direct,double,1,64,512,N,native:direct,0.00913,0.00907,0.0168,57.9,0.061,0.00e+00,1,1,64,0
vendor,cfloat,1,64,512,N,vendor:auto,0.00772,0.00775,0.0208,68.4,0.072,0.00e+00,1,1,64,0
native:direct,cfloat,1,64,512,N,native:direct,0.01061,0.01063,0.0098,49.8,0.052,0.00e+00,1,1,64,0
vendor,cdouble,1,64,512,N,vendor:auto,0.00916,0.00917,0.0163,115.4,0.121,0.00e+00,1,1,64,0
native:direct,cdouble,1,64,512,N,native:direct,0.01316,0.01315,0.0044,80.3,0.085,0.00e+00,1,1,64,0
vendor,float,64,1,512,T,vendor:auto,0.00756,0.00755,0.0218,35.0,0.037,0.00e+00,64,1,64,0
native:direct,float,64,1,512,T,native:direct,0.00811,0.00821,0.0347,32.6,0.034,0.00e+00,64,1,64,0
native:cta,float,64,1,512,T,native:cta,0.00608,0.00607,0.0165,43.5,0.046,0.00e+00,64,1,64,0
vendor,double,64,1,512,T,vendor:auto,0.00997,0.00995,0.0233,53.0,0.056,0.00e+00,64,1,64,0
native:direct,double,64,1,512,T,native:direct,0.00944,0.00943,0.0076,55.9,0.059,0.00e+00,64,1,64,0
native:cta,double,64,1,512,T,native:cta,0.00617,0.00618,0.0087,85.6,0.090,0.00e+00,64,1,64,0
vendor,cfloat,64,1,512,T,vendor:auto,0.00772,0.00783,0.0287,68.4,0.072,0.00e+00,64,1,64,0
native:direct,cfloat,64,1,512,T,native:direct,0.01069,0.01073,0.0147,49.4,0.052,0.00e+00,64,1,64,0
native:cta,cfloat,64,1,512,T,native:cta,0.00608,0.00610,0.0138,86.9,0.092,0.00e+00,64,1,64,0
vendor,cdouble,64,1,512,T,vendor:auto,0.00934,0.00932,0.0173,113.2,0.119,0.00e+00,64,1,64,0
native:direct,cdouble,64,1,512,T,native:direct,0.01501,0.01497,0.0088,70.4,0.074,0.00e+00,64,1,64,0
native:cta,cdouble,64,1,512,T,native:cta,0.00668,0.00668,0.0138,158.1,0.166,0.00e+00,64,1,64,0
vendor,float,64,1,512,C,vendor:auto,0.00787,0.00790,0.0123,33.6,0.035,0.00e+00,64,1,64,0
native:direct,float,64,1,512,C,native:direct,0.00950,0.01020,0.1853,27.8,0.029,0.00e+00,64,1,64,0
native:cta,float,64,1,512,C,native:cta,0.00598,0.00598,0.0161,44.1,0.046,0.00e+00,64,1,64,0
vendor,double,64,1,512,C,vendor:auto,0.00825,0.00851,0.0731,64.1,0.067,0.00e+00,64,1,64,0
native:direct,double,64,1,512,C,native:direct,0.00936,0.00934,0.0082,56.4,0.059,0.00e+00,64,1,64,0
native:cta,double,64,1,512,C,native:cta,0.00609,0.00609,0.0109,86.8,0.091,0.00e+00,64,1,64,0
vendor,cfloat,64,1,512,C,vendor:auto,0.00963,0.00961,0.0078,54.9,0.058,0.00e+00,64,1,64,0
native:direct,cfloat,64,1,512,C,native:direct,0.01077,0.01077,0.0084,49.1,0.052,0.00e+00,64,1,64,0
native:cta,cfloat,64,1,512,C,native:cta,0.00748,0.00750,0.0101,70.6,0.074,0.00e+00,64,1,64,0
vendor,cdouble,64,1,512,C,vendor:auto,0.00918,0.00928,0.0180,115.2,0.121,0.00e+00,64,1,64,0
native:direct,cdouble,64,1,512,C,native:direct,0.01389,0.01447,0.0659,76.1,0.080,0.00e+00,64,1,64,0
native:cta,cdouble,64,1,512,C,native:cta,0.00654,0.00656,0.0059,161.5,0.170,0.00e+00,64,1,64,0
vendor,float,1,512,512,N,vendor:auto,0.00873,0.00923,0.1735,240.5,0.253,0.00e+00,1,1,512,0
native:direct,float,1,512,512,N,native:direct,0.02567,0.02569,0.0027,81.8,0.086,0.00e+00,1,1,512,0
vendor,double,1,512,512,N,vendor:auto,0.01119,0.01122,0.0172,375.2,0.395,0.00e+00,1,1,512,0
native:direct,double,1,512,512,N,native:direct,0.03420,0.03423,0.0031,122.8,0.129,0.00e+00,1,1,512,0
vendor,cfloat,1,512,512,N,vendor:auto,0.00901,0.00903,0.0133,466.2,0.491,0.00e+00,1,1,512,0
native:direct,cfloat,1,512,512,N,native:direct,0.04637,0.04638,0.0015,90.5,0.095,0.00e+00,1,1,512,0
vendor,cdouble,1,512,512,N,vendor:auto,0.02141,0.02137,0.0079,392.1,0.413,0.00e+00,1,1,512,0
native:direct,cdouble,1,512,512,N,native:direct,0.06590,0.06587,0.0014,127.4,0.134,0.00e+00,1,1,512,0
vendor,float,512,1,512,T,vendor:auto,0.00842,0.00842,0.0096,249.3,0.262,0.00e+00,512,1,512,0
native:direct,float,512,1,512,T,native:direct,0.02586,0.02588,0.0034,81.2,0.085,0.00e+00,512,1,512,0
native:cta,float,512,1,512,T,native:cta,0.00645,0.00643,0.0082,325.6,0.343,0.00e+00,512,1,512,0
vendor,double,512,1,512,T,vendor:auto,0.01119,0.01120,0.0192,375.3,0.395,0.00e+00,512,1,512,0
native:direct,double,512,1,512,T,native:direct,0.03552,0.03573,0.0189,118.2,0.124,0.00e+00,512,1,512,0
native:cta,double,512,1,512,T,native:cta,0.00704,0.00708,0.0119,596.1,0.627,0.00e+00,512,1,512,0
vendor,cfloat,512,1,512,T,vendor:auto,0.00901,0.00901,0.0123,466.0,0.491,0.00e+00,512,1,512,0
native:direct,cfloat,512,1,512,T,native:direct,0.04654,0.04660,0.0023,90.2,0.095,0.00e+00,512,1,512,0
native:cta,cfloat,512,1,512,T,native:cta,0.00679,0.00679,0.0120,618.4,0.651,0.00e+00,512,1,512,0
