arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,MB
native:cta,cdouble,288,1024,192,C,native:cta,0.97838,0.97827,0.0010,930.1,0.979,0.00e+00,288,864
vendor,cdouble,96,192,1024,T,vendor:auto,0.33990,0.33992,0.0015,902.4,0.950,0.00e+00,96,288
native:cta,cdouble,96,192,1024,T,native:cta,0.34982,0.34994,0.0008,876.8,0.923,0.00e+00,96,288
vendor,cdouble,96,192,1024,C,vendor:auto,0.34502,0.34487,0.0009,889.0,0.936,0.00e+00,96,288
native:cta,cdouble,96,192,1024,C,native:cta,0.34998,0.35010,0.0013,876.4,0.922,0.00e+00,96,288
vendor,cdouble,160,1024,384,T,vendor:auto,3.13147,3.14042,0.0095,323.8,0.341,0.00e+00,160,960
native:cta,cdouble,160,1024,384,T,native:cta,1.09318,1.09285,0.0005,927.5,0.976,0.00e+00,160,960
vendor,cdouble,160,1024,384,C,vendor:auto,3.18801,3.20187,0.0094,318.0,0.335,0.00e+00,160,960
native:cta,cdouble,160,1024,384,C,native:cta,1.09293,1.09275,0.0007,927.7,0.977,0.00e+00,160,960
vendor,cdouble,224,1024,384,T,vendor:auto,4.20139,4.20889,0.0072,337.3,0.355,0.00e+00,224,1344
native:cta,cdouble,224,1024,384,T,native:cta,1.51804,1.51813,0.0005,933.4,0.983,0.00e+00,224,1344
vendor,cdouble,224,1024,384,C,vendor:auto,4.47705,4.48099,0.0057,316.5,0.333,0.00e+00,224,1344
native:cta,cdouble,224,1024,384,C,native:cta,1.51953,1.51953,0.0006,932.5,0.982,0.00e+00,224,1344
vendor,cdouble,288,768,320,T,vendor:auto,3.51401,3.49963,0.0091,323.8,0.341,0.00e+00,288,1080
native:cta,cdouble,288,768,320,T,native:cta,1.21901,1.21929,0.0007,933.4,0.983,0.00e+00,288,1080
vendor,cdouble,288,768,320,C,vendor:auto,3.66128,3.67027,0.0074,310.8,0.327,0.00e+00,288,1080
native:cta,cdouble,288,768,320,C,native:cta,1.21924,1.21928,0.0006,933.3,0.982,0.00e+00,288,1080
vendor,cdouble,352,384,640,T,vendor:auto,4.23516,4.23510,0.0033,328.6,0.346,0.00e+00,352,1320
native:cta,cdouble,352,384,640,T,native:cta,1.48554,1.48546,0.0007,936.8,0.986,0.00e+00,352,1320
vendor,cdouble,352,384,640,C,vendor:auto,4.48254,4.48401,0.0029,310.5,0.327,0.00e+00,352,1320
native:cta,cdouble,352,384,640,C,native:cta,1.48597,1.48579,0.0008,936.5,0.986,0.00e+00,352,1320
vendor,cdouble,352,768,320,T,vendor:auto,4.20712,4.20764,0.0042,330.4,0.348,0.00e+00,352,1320
native:cta,cdouble,352,768,320,T,native:cta,1.48378,1.48383,0.0009,936.7,0.986,0.00e+00,352,1320
vendor,cdouble,352,768,320,C,vendor:auto,4.48324,4.47951,0.0038,310.0,0.326,0.00e+00,352,1320
native:cta,cdouble,352,768,320,C,native:cta,1.48394,1.48394,0.0009,936.6,0.986,0.00e+00,352,1320
vendor,cdouble,64,384,384,T,vendor:auto,0.42350,0.42406,0.0031,363.0,0.382,0.00e+00,64,144
native:cta,cdouble,64,384,384,T,native:cta,0.22445,0.22459,0.0017,685.0,0.721,0.00e+00,64,144
vendor,cdouble,64,384,384,C,vendor:auto,0.42453,0.42481,0.0032,362.2,0.381,0.00e+00,64,144
native:cta,cdouble,64,384,384,C,native:cta,0.22414,0.22428,0.0023,685.9,0.722,0.00e+00,64,144
vendor,cdouble,64,1024,192,T,vendor:auto,0.56525,0.56510,0.0034,362.1,0.381,0.00e+00,64,192
native:cta,cdouble,64,1024,192,T,native:cta,0.29673,0.29665,0.0012,689.8,0.726,0.00e+00,64,192
vendor,cdouble,64,1024,192,C,vendor:auto,0.56362,0.56351,0.0029,363.1,0.382,0.00e+00,64,192
native:cta,cdouble,64,1024,192,C,native:cta,0.29713,0.29908,0.0092,688.8,0.725,0.00e+00,64,192
vendor,cdouble,320,192,1024,T,vendor:auto,1.12913,1.13095,0.0029,898.9,0.946,0.00e+00,320,960
native:cta,cdouble,320,192,1024,T,native:cta,1.08916,1.08926,0.0011,931.9,0.981,0.00e+00,320,960
vendor,cdouble,320,192,1024,C,vendor:auto,1.24214,1.24492,0.0094,817.2,0.860,0.00e+00,320,960
native:cta,cdouble,320,192,1024,C,native:cta,1.08787,1.08798,0.0006,933.0,0.982,0.00e+00,320,960
vendor,cdouble,320,768,320,T,vendor:auto,4.05028,4.05077,0.0044,312.0,0.328,0.00e+00,320,1200
native:cta,cdouble,320,768,320,T,native:cta,1.35150,1.35171,0.0007,935.2,0.984,0.00e+00,320,1200
vendor,cdouble,320,768,320,C,vendor:auto,4.12506,4.11680,0.0074,306.4,0.323,0.00e+00,320,1200
native:cta,cdouble,320,768,320,C,native:cta,1.35031,1.35050,0.0006,936.0,0.985,0.00e+00,320,1200
