name,arg0,arg1,arg2,arg3,iterations,avg_ms,stddev_ms,GFLOPS,Time (µs) / matrix
"(BM_GEMM_FIXED128<float, batchlas::Backend::CUDA>)",128,1024,128,512,300,0.950688,0.00867646,18071,1.85681
"(BM_GEMM_FIXED128<float, batchlas::Backend::CUDA>)",128,1024,256,512,235,1.28117,0.0396411,26819,2.50229
"(BM_GEMM_FIXED128<float, batchlas::Backend::CUDA>)",128,1024,128,512,300,0.950575,0.00874106,18073.1,1.85659
"(BM_GEMM_FIXED128<float, batchlas::Backend::CUDA>)",128,1024,256,512,234,1.28374,0.0394797,26765.4,2.5073
