mode,type,n,ib,j,m2,batch,store,slack,rep,maxrel,items_diff,resid_native_0,resid_native_last,resid_vendor_0,resid_vendor_last
trsmdiff,double,1024,128,0,896,128,sub,0,1,8.627e-16,0,2.220e-16,2.220e-16,8.882e-16,4.441e-16
trsmdiff,double,1024,128,0,896,128,sub,0,2,8.627e-16,0,2.220e-16,2.220e-16,8.882e-16,4.441e-16
trsmdiff,double,1024,128,0,896,128,sub,0,3,8.627e-16,0,2.220e-16,2.220e-16,8.882e-16,4.441e-16
trsmdiff,double,1024,128,0,896,128,sub,0,4,7.018e+05,1,2.220e-16,2.220e-16,8.882e-16,4.441e-16
trsmdiff,double,1024,128,0,896,128,sub,1048576,0,8.625e-16,0,2.220e-16,2.220e-16,5.551e-16,5.551e-16
trsmdiff,double,1024,128,0,896,128,sub,1048576,1,8.625e-16,0,2.220e-16,2.220e-16,5.551e-16,5.551e-16
trsmdiff,double,1024,128,0,896,128,sub,1048576,2,8.625e-16,0,2.220e-16,2.220e-16,5.551e-16,5.551e-16
trsmdiff,double,1024,128,0,896,128,sub,1048576,3,8.625e-16,0,2.220e-16,2.220e-16,5.551e-16,5.551e-16
trsmdiff,double,1024,128,0,896,128,sub,1048576,4,8.625e-16,0,2.220e-16,2.220e-16,5.551e-16,5.551e-16
trsmdiff,double,1024,128,0,896,128,flat,0,0,8.650e-16,0,2.220e-16,2.221e-16,5.551e-16,5.551e-16
trsmdiff,double,1024,128,0,896,128,flat,0,1,8.650e-16,0,2.220e-16,2.221e-16,5.551e-16,5.551e-16
trsmdiff,double,1024,128,0,896,128,flat,0,2,8.650e-16,0,2.220e-16,2.221e-16,5.551e-16,5.551e-16
trsmdiff,double,1024,128,0,896,128,flat,0,3,8.650e-16,0,2.220e-16,2.221e-16,5.551e-16,5.551e-16
trsmdiff,double,1024,128,0,896,128,flat,0,4,8.650e-16,0,2.220e-16,2.221e-16,5.551e-16,5.551e-16
trsmdiff,double,512,96,0,416,128,sub,0,0,8.084e-16,0,4.441e-16,3.331e-16,5.551e-16,4.441e-16
trsmdiff,double,512,96,0,416,128,sub,0,1,8.084e-16,0,4.441e-16,3.331e-16,5.551e-16,4.441e-16
trsmdiff,double,512,96,0,416,128,sub,0,2,8.084e-16,0,4.441e-16,3.331e-16,5.551e-16,4.441e-16
trsmdiff,double,512,96,0,416,128,sub,0,3,8.084e-16,0,4.441e-16,3.331e-16,5.551e-16,4.441e-16
trsmdiff,double,512,96,0,416,128,sub,0,4,8.084e-16,0,4.441e-16,3.331e-16,5.551e-16,4.441e-16
trsmdiff,double,512,96,0,416,128,sub,1048576,0,8.090e-16,0,4.441e-16,3.331e-16,5.551e-16,4.441e-16
trsmdiff,double,512,96,0,416,128,sub,1048576,1,1.866e+04,1,4.441e-16,3.331e-16,5.551e-16,4.441e-16
trsmdiff,double,512,96,0,416,128,sub,1048576,2,8.090e-16,0,4.441e-16,3.331e-16,5.551e-16,4.441e-16
trsmdiff,double,512,96,0,416,128,sub,1048576,3,2.856e+06,1,4.441e-16,3.331e-16,5.551e-16,4.441e-16
trsmdiff,double,512,96,0,416,128,sub,1048576,4,8.090e-16,0,4.441e-16,3.331e-16,5.551e-16,4.441e-16
trsmdiff,double,512,96,0,416,128,flat,0,0,8.096e-16,0,4.441e-16,4.441e-16,4.441e-16,4.441e-16
trsmdiff,double,512,96,0,416,128,flat,0,1,8.096e-16,0,4.441e-16,4.441e-16,4.441e-16,4.441e-16
trsmdiff,double,512,96,0,416,128,flat,0,2,8.096e-16,0,4.441e-16,4.441e-16,4.441e-16,4.441e-16
trsmdiff,double,512,96,0,416,128,flat,0,3,8.096e-16,0,4.441e-16,4.441e-16,4.441e-16,4.441e-16
trsmdiff,double,512,96,0,416,128,flat,0,4,8.096e-16,0,4.441e-16,4.441e-16,4.441e-16,4.441e-16
