mode,type,n,ib,j,m2,batch,store,slack,rep,maxrel,items_diff,resid_native_0,resid_native_last,resid_vendor_0,resid_vendor_last
trsmdiff,double,1024,48,0,976,16,flat,0,0,6.332e-16,0,4.441e-16,3.331e-16,5.551e-16,5.551e-16
trsmdiff,double,1024,48,0,976,16,flat,0,1,6.332e-16,0,4.441e-16,3.331e-16,5.551e-16,5.551e-16
trsmdiff,double,1024,48,0,976,32,flat,0,0,7.972e-16,0,3.331e-16,3.331e-16,4.441e-16,4.441e-16
trsmdiff,double,1024,48,0,976,32,flat,0,1,7.972e-16,0,3.331e-16,3.331e-16,4.441e-16,4.441e-16
trsmdiff,double,1024,48,0,976,48,flat,0,0,7.941e-16,0,3.331e-16,3.331e-16,4.441e-16,5.551e-16
trsmdiff,double,1024,48,0,976,48,flat,0,1,7.941e-16,0,3.331e-16,3.331e-16,4.441e-16,5.551e-16
trsmdiff,double,1024,48,0,976,64,flat,0,0,7.903e-16,0,4.441e-16,3.331e-16,5.551e-16,5.551e-16
trsmdiff,double,1024,48,0,976,64,flat,0,1,7.903e-16,0,4.441e-16,3.331e-16,5.551e-16,5.551e-16
trsmdiff,double,1024,48,0,976,66,flat,0,0,7.897e-16,0,4.441e-16,4.441e-16,6.662e-16,4.441e-16
trsmdiff,double,1024,48,0,976,66,flat,0,1,7.897e-16,0,4.441e-16,4.441e-16,6.662e-16,4.441e-16
trsmdiff,double,1024,48,0,976,67,flat,0,0,2.590e+15,2,3.331e-16,3.331e-16,4.441e-16,4.441e-16
trsmdiff,double,1024,48,0,976,67,flat,0,1,1.966e+04,1,3.331e-16,3.331e-16,4.441e-16,4.441e-16
trsmdiff,double,1024,48,0,976,68,flat,0,0,4.602e+06,1,4.441e-16,4.856e+06,4.441e-16,4.441e-16
trsmdiff,double,1024,48,0,976,68,flat,0,1,3.787e+11,2,4.441e-16,3.331e-16,4.441e-16,4.441e-16
trsmdiff,double,1024,48,0,976,70,flat,0,0,3.478e+19,1,3.331e-16,3.634e+19,4.441e-16,4.441e-16
trsmdiff,double,1024,48,0,976,70,flat,0,1,1.612e+07,2,3.331e-16,4.441e-16,4.441e-16,4.441e-16
trsmdiff,double,1024,48,0,976,96,flat,0,0,2.698e+11,1,3.331e-16,3.331e-16,5.551e-16,4.441e-16
trsmdiff,double,1024,48,0,976,96,flat,0,1,7.974e+09,2,3.331e-16,3.331e-16,5.551e-16,4.441e-16
trsmdiff,double,1024,48,0,976,128,flat,0,0,1.422e+20,123,1.584e+12,2.295e+09,6.661e-16,5.551e-16
trsmdiff,double,1024,48,0,976,128,flat,0,1,5.548e+20,128,1.197e+12,4.895e+09,6.661e-16,5.551e-16
trsmdiff,double,1024,32,0,992,128,flat,0,0,6.333e-16,0,1.110e-16,1.110e-16,4.441e-16,4.441e-16
trsmdiff,double,1024,32,0,992,128,flat,0,1,6.333e-16,0,1.110e-16,1.110e-16,4.441e-16,4.441e-16
trsmdiff,double,1024,33,0,991,128,flat,0,0,7.471e-16,0,3.331e-16,2.220e-16,4.441e-16,6.661e-16
trsmdiff,double,1024,33,0,991,128,flat,0,1,7.471e-16,0,3.331e-16,2.220e-16,4.441e-16,6.661e-16
trsmdiff,double,1024,48,0,976,128,flat,0,0,4.376e+20,125,1.962e+17,2.157e+11,6.661e-16,5.551e-16
trsmdiff,double,1024,48,0,976,128,flat,0,1,3.722e+21,126,1.731e+12,4.602e+10,6.661e-16,5.551e-16
trsmdiff,double,1024,64,0,960,128,flat,0,0,6.404e-16,0,2.220e-16,2.220e-16,4.441e-16,4.441e-16
trsmdiff,double,1024,64,0,960,128,flat,0,1,6.404e-16,0,2.220e-16,2.220e-16,4.441e-16,4.441e-16
trsmdiff,double,1024,65,0,959,128,flat,0,0,8.637e-16,0,4.441e-16,4.441e-16,5.551e-16,6.661e-16
trsmdiff,double,1024,65,0,959,128,flat,0,1,8.637e-16,0,4.441e-16,4.441e-16,5.551e-16,6.661e-16
trsmdiff,double,1024,77,0,947,128,flat,0,0,1.907e+17,97,4.441e-16,1.115e+14,4.441e-16,4.441e-16
trsmdiff,double,1024,77,0,947,128,flat,0,1,7.022e+16,98,2.498e+09,3.981e+14,4.441e-16,4.441e-16
trsmdiff,double,1024,96,0,928,128,flat,0,0,8.078e-16,0,4.441e-16,3.331e-16,4.441e-16,4.441e-16
trsmdiff,double,1024,96,0,928,128,flat,0,1,8.078e-16,0,4.441e-16,3.331e-16,4.441e-16,4.441e-16
trsmdiff,double,1024,109,0,915,128,flat,0,0,2.149e+19,97,7.741e+16,9.902e+08,5.551e-16,5.551e-16
trsmdiff,double,1024,109,0,915,128,flat,0,1,7.327e+20,90,4.441e-16,3.892e+09,5.551e-16,5.551e-16
trsmdiff,double,1024,128,0,896,128,flat,0,0,3.971e+11,1,4.133e+11,2.221e-16,5.551e-16,5.551e-16
trsmdiff,double,1024,128,0,896,128,flat,0,1,8.650e-16,0,2.220e-16,2.221e-16,5.551e-16,5.551e-16
trsmdiff,double,1024,155,0,869,128,flat,0,0,9.144e-16,0,2.220e-16,2.220e-16,5.551e-16,6.661e-16
trsmdiff,double,1024,155,0,869,128,flat,0,1,9.144e-16,0,2.220e-16,2.220e-16,5.551e-16,6.661e-16
trsmdiff,double,1024,160,0,864,128,flat,0,0,8.432e+12,5,4.441e-16,3.331e-16,5.551e-16,6.661e-16
trsmdiff,double,1024,160,0,864,128,flat,0,1,9.720e+12,5,4.441e-16,3.331e-16,5.551e-16,6.661e-16
trsmdiff,double,1024,32,0,992,32,flat,0,0,6.300e-16,0,1.110e-16,1.110e-16,4.441e-16,4.441e-16
trsmdiff,double,1024,32,0,992,32,flat,0,1,6.300e-16,0,1.110e-16,1.110e-16,4.441e-16,4.441e-16
trsmdiff,double,1024,48,0,976,32,flat,0,0,7.972e-16,0,3.331e-16,3.331e-16,4.441e-16,4.441e-16
trsmdiff,double,1024,48,0,976,32,flat,0,1,7.972e-16,0,3.331e-16,3.331e-16,4.441e-16,4.441e-16
trsmdiff,double,1024,64,0,960,32,flat,0,0,8.403e-16,0,2.220e-16,2.220e-16,5.551e-16,5.551e-16
trsmdiff,double,1024,64,0,960,32,flat,0,1,8.403e-16,0,2.220e-16,2.220e-16,5.551e-16,5.551e-16
trsmdiff,double,1024,77,0,947,32,flat,0,0,7.702e-16,0,4.441e-16,4.441e-16,6.661e-16,5.551e-16
trsmdiff,double,1024,77,0,947,32,flat,0,1,7.702e-16,0,4.441e-16,4.441e-16,6.661e-16,5.551e-16
trsmdiff,double,1024,109,0,915,32,flat,0,0,7.335e-16,0,3.331e-16,4.441e-16,4.441e-16,4.441e-16
trsmdiff,double,1024,109,0,915,32,flat,0,1,7.335e-16,0,3.331e-16,4.441e-16,4.441e-16,4.441e-16
trsmdiff,double,1024,155,0,869,32,flat,0,0,9.076e-16,0,2.220e-16,2.220e-16,5.551e-16,6.661e-16
trsmdiff,double,1024,155,0,869,32,flat,0,1,9.076e-16,0,2.220e-16,2.220e-16,5.551e-16,6.661e-16
