route,mode,type,n,nb,j,m2,ib,batch,med_ms,min_ms,rel_sd,gflops
native,panel,double,2048,109,1853,86,109,128,0.175073,0.174774,0.0022,747.04
default,panel,cfloat,512,109,0,403,109,128,0.196967,0.191753,0.0132,12446.14
default,panel,cfloat,512,109,109,294,109,128,0.125061,0.124909,0.0012,14300.37
default,panel,cfloat,512,109,218,185,109,128,0.108450,0.108236,0.0012,10376.84
default,panel,cfloat,512,109,327,76,109,128,0.087945,0.087823,0.0008,5256.85
vendor,panel,cfloat,512,109,0,403,109,128,1.048321,1.047961,0.0004,2338.48
vendor,panel,cfloat,512,109,109,294,109,128,1.070445,1.069684,0.0006,1670.73
vendor,panel,cfloat,512,109,218,185,109,128,1.739007,1.736744,0.0005,647.13
vendor,panel,cfloat,512,109,327,76,109,128,1.045202,1.044342,0.0006,442.32
native,panel,cfloat,512,109,0,403,109,128,0.195530,0.192477,0.0128,12537.61
native,panel,cfloat,512,109,109,294,109,128,0.123674,0.123335,0.0020,14460.75
native,panel,cfloat,512,109,218,185,109,128,0.108399,0.108220,0.0010,10381.72
native,panel,cfloat,512,109,327,76,109,128,0.087909,0.087867,0.0010,5258.98
default,panel,cfloat,1024,109,0,915,109,128,0.538119,0.537904,0.0009,10343.46
default,panel,cfloat,1024,109,327,588,109,128,0.267808,0.266657,0.0032,13356.01
default,panel,cfloat,1024,109,545,370,109,128,0.147445,0.147260,0.0037,15264.92
default,panel,cfloat,1024,109,872,43,109,128,0.081642,0.081510,0.0015,3203.90
vendor,panel,cfloat,1024,109,0,915,109,128,4.132401,4.112836,0.0038,1346.92
vendor,panel,cfloat,1024,109,327,588,109,128,1.235949,1.232749,0.0016,2894.01
vendor,panel,cfloat,1024,109,545,370,109,128,1.418848,1.415740,0.0019,1586.31
vendor,panel,cfloat,1024,109,872,43,109,128,2.264900,2.264324,0.0014,115.49
native,panel,cfloat,1024,109,0,915,109,128,0.537204,0.533720,0.0029,10361.08
native,panel,cfloat,1024,109,327,588,109,128,0.267962,0.264900,0.0049,13348.35
native,panel,cfloat,1024,109,545,370,109,128,0.148152,0.147841,0.0014,15192.11
native,panel,cfloat,1024,109,872,43,109,128,0.081495,0.081406,0.0010,3209.68
default,panel,cfloat,2048,109,0,1939,109,128,1.320913,1.319361,0.0010,8929.49
default,panel,cfloat,2048,109,654,1285,109,128,0.862932,0.862311,0.0014,9058.36
default,panel,cfloat,2048,109,1199,740,109,128,0.383825,0.382516,0.0032,11727.94
default,panel,cfloat,2048,109,1853,86,109,128,0.090777,0.090667,0.0038,5762.96
vendor,panel,cfloat,2048,109,0,1939,109,128,21.261205,21.177519,0.0049,554.77
vendor,panel,cfloat,2048,109,654,1285,109,128,14.604218,14.564747,0.0036,535.24
vendor,panel,cfloat,2048,109,1199,740,109,128,2.085530,2.082508,0.0017,2158.43
vendor,panel,cfloat,2048,109,1853,86,109,128,1.274112,1.273503,0.0004,410.60
native,panel,cfloat,2048,109,0,1939,109,128,1.322541,1.320212,0.0008,8918.49
native,panel,cfloat,2048,109,654,1285,109,128,0.863493,0.862439,0.0007,9052.47
native,panel,cfloat,2048,109,1199,740,109,128,0.383855,0.382248,0.0031,11727.01
native,panel,cfloat,2048,109,1853,86,109,128,0.090657,0.090409,0.0016,5770.59
default,panel,cdouble,512,77,0,435,77,128,1.481224,1.433359,0.0129,891.50
default,panel,cdouble,512,77,154,281,77,128,1.074533,1.063572,0.0086,793.85
default,panel,cdouble,512,77,231,204,77,128,0.719374,0.718976,0.0004,860.85
default,panel,cdouble,512,77,385,50,77,128,0.225879,0.225844,0.0022,671.96
vendor,panel,cdouble,512,77,0,435,77,128,8.848409,8.847167,0.0001,149.24
vendor,panel,cdouble,512,77,154,281,77,128,7.277384,7.262194,0.0012,117.21
vendor,panel,cdouble,512,77,231,204,77,128,4.992140,4.986046,0.0038,124.05
vendor,panel,cdouble,512,77,385,50,77,128,7.323772,7.322805,0.0001,20.72
native,panel,cdouble,512,77,0,435,77,128,1.460693,1.433278,0.0135,904.03
native,panel,cdouble,512,77,154,281,77,128,1.069859,1.068492,0.0067,797.32
native,panel,cdouble,512,77,231,204,77,128,0.716457,0.716275,0.0002,864.35
native,panel,cdouble,512,77,385,50,77,128,0.224805,0.224730,0.0005,675.17
default,panel,cdouble,1024,77,0,947,77,128,2.978674,2.922830,0.0109,965.11
default,panel,cdouble,1024,77,308,639,77,128,2.085129,2.074492,0.0064,930.29
default,panel,cdouble,1024,77,616,331,77,128,1.201173,1.200612,0.0003,836.52
default,panel,cdouble,1024,77,924,23,77,128,0.159499,0.159457,0.0003,437.75
vendor,panel,cdouble,1024,77,0,947,77,128,28.270452,28.243346,0.0005,101.69
vendor,panel,cdouble,1024,77,308,639,77,128,10.539769,10.539085,0.0000,184.04
vendor,panel,cdouble,1024,77,616,331,77,128,8.849474,8.826353,0.0023,113.54
