route,mode,type,n,nb,j,m2,ib,batch,med_ms,min_ms,rel_sd,gflops
default,panelflat,float,0,0,0,869,155,128,0.376356,0.374076,0.0278,7100.59
vendor,panelflat,float,0,0,0,869,155,128,0.841440,0.839587,0.0014,3175.92
native,panelflat,float,0,0,0,869,155,128,0.380279,0.379997,0.0018,7027.34
default,panelflat,float,0,0,0,1893,155,128,0.960001,0.957647,0.0009,6063.90
vendor,panelflat,float,0,0,0,1893,155,128,2.231364,2.215727,0.0098,2608.88
native,panelflat,float,0,0,0,1893,155,128,0.957882,0.957016,0.0010,6077.32
default,panelflat,double,0,0,0,915,109,128,1.350729,1.349968,0.0006,1030.19
vendor,panelflat,double,0,0,0,915,109,128,4.827830,4.827331,0.0018,288.23
native,panelflat,double,0,0,0,915,109,128,1.352756,1.351548,0.0004,1028.64
default,panelflat,double,0,0,0,1939,109,128,2.777203,2.770026,0.0011,1061.78
vendor,panelflat,double,0,0,0,1939,109,128,10.091553,10.090245,0.0001,292.20
native,panelflat,double,0,0,0,1939,109,128,2.771143,2.762047,0.0017,1064.10
default,panelflat,cfloat,0,0,0,915,109,128,0.539420,0.538591,0.0007,10318.52
vendor,panelflat,cfloat,0,0,0,915,109,128,3.739811,3.718263,0.0045,1488.31
native,panelflat,cfloat,0,0,0,915,109,128,0.537839,0.536521,0.0026,10348.84
default,panelflat,cdouble,0,0,0,947,77,128,2.949091,2.927989,0.0040,974.79
vendor,panelflat,cdouble,0,0,0,947,77,128,19.571591,19.427048,0.0042,146.88
native,panelflat,cdouble,0,0,0,947,77,128,2.955088,2.937177,0.0031,972.82
