routemode,mode,type,n,nb,W,batch,med_ms,min_ms,rel_sd,gflops,staged_ms,leaf_ms,panel_ms,trail_ms,residual,info_nonzero
vgemm,blocked,cfloat,512,64,128,128,4.490173,4.484241,0.0008,5101.47,4.634127,0.416719,2.361432,1.855756,4.032e-07,0
vtrsm,blocked,cfloat,512,96,128,128,7.882099,7.873762,0.0007,2906.14,7.990948,0.455648,3.774684,3.760421,4.032e-07,0
vgemm,blocked,cfloat,512,96,128,128,5.460152,5.451520,0.0039,4195.21,5.752917,0.497306,3.822841,1.432477,4.032e-07,0
vtrsm,blocked,cfloat,512,109,128,128,9.092727,9.089405,0.0017,2519.21,9.179746,0.484961,4.994013,3.700605,4.032e-07,0
vgemm,blocked,cfloat,512,109,128,128,6.673890,6.668266,0.0005,3432.25,6.756983,0.476084,5.021775,1.258921,4.032e-07,0
vtrsm,blocked,cfloat,1024,64,128,128,38.999998,38.356979,0.0093,4698.77,38.431833,0.877674,5.824256,31.729693,5.060e-07,0
vgemm,blocked,cfloat,1024,64,128,128,18.542504,18.527476,0.0004,9882.80,19.020554,0.888875,5.840248,12.290718,5.060e-07,0
vtrsm,blocked,cfloat,1024,96,128,128,38.254852,38.176781,0.0012,4790.29,38.172782,0.919803,9.228279,28.024526,4.738e-07,0
vgemm,blocked,cfloat,1024,96,128,128,18.685591,18.676243,0.0004,9807.13,18.881958,0.893692,8.971098,9.016964,4.738e-07,0
vtrsm,blocked,cfloat,1024,109,128,128,71.185311,70.772589,0.0025,2574.29,71.205908,0.998312,42.494857,27.712545,5.060e-07,0
vgemm,blocked,cfloat,1024,109,128,128,51.182227,51.157920,0.0002,3580.38,51.351758,0.995160,41.845641,8.510722,5.060e-07,0
vtrsm,blocked,cdouble,512,48,128,128,105.784634,105.762722,0.0001,216.54,105.944807,0.975954,32.562556,72.406091,7.511e-16,0
vgemm,blocked,cdouble,512,48,128,128,59.147919,59.140004,0.0002,387.27,59.329233,0.983886,32.578198,25.766944,7.511e-16,0
vtrsm,blocked,cdouble,512,64,128,128,115.274904,115.256760,0.0001,198.71,115.408363,1.082323,46.025408,68.300371,7.511e-16,0
vgemm,blocked,cdouble,512,64,128,128,70.075570,70.060346,0.0002,326.88,70.201831,1.076489,46.019609,23.105560,7.511e-16,0
vtrsm,blocked,cdouble,512,77,128,128,105.884973,105.813172,0.0003,216.33,106.022037,1.232031,36.795729,67.993928,7.511e-16,0
vgemm,blocked,cdouble,512,77,128,128,61.992567,61.961265,0.0004,369.50,62.103295,1.222129,36.767006,24.113932,7.511e-16,0
vtrsm,blocked,cdouble,1024,48,128,128,616.748067,616.723429,0.0000,297.13,617.833108,2.242573,78.202684,537.387270,9.424e-16,0
vgemm,blocked,cdouble,1024,48,128,128,264.054800,264.033731,0.0003,693.99,264.842570,2.107191,78.101511,184.633366,9.424e-16,0
vtrsm,blocked,cdouble,1024,64,128,128,618.964097,618.751142,0.0001,296.06,619.312829,2.194625,98.737832,518.379903,8.825e-16,0
vgemm,blocked,cdouble,1024,64,128,128,272.932367,272.835710,0.0002,671.42,273.220424,2.219083,98.697528,172.303551,8.825e-16,0
vtrsm,blocked,cdouble,1024,77,128,128,633.618232,633.457739,0.0001,289.22,633.895684,2.512580,115.484119,515.898491,7.539e-16,0
vgemm,blocked,cdouble,1024,77,128,128,296.779832,296.599249,0.0003,617.47,297.052209,2.494255,115.695027,178.862712,7.539e-16,0
vtrsm,blocked,float,512,96,16,128,2.637041,2.636444,0.0018,2171.61,2.737136,0.331589,0.712107,1.693302,4.070e-07,0
vgemm,blocked,float,512,96,16,128,3.096465,3.092399,0.0015,1849.41,3.182075,0.358765,0.828141,1.994987,4.070e-07,0
vtrsm,blocked,float,512,96,32,128,2.460473,2.454838,0.0011,2327.45,2.551125,0.331726,0.728456,1.490792,4.070e-07,0
vgemm,blocked,float,512,96,32,128,2.123527,2.118004,0.0024,2696.75,2.205368,0.354367,0.825291,1.025546,4.070e-07,0
vtrsm,blocked,float,512,96,64,128,2.539268,2.529147,0.0017,2255.23,2.609133,0.328258,0.711656,1.569069,4.070e-07,0
vgemm,blocked,float,512,96,64,128,1.773184,1.767869,0.0015,3229.57,1.853603,0.348210,0.814430,0.690815,4.070e-07,0
vtrsm,blocked,float,512,96,96,128,2.672805,2.665984,0.0022,2142.55,2.764991,0.339946,0.718968,1.705866,4.070e-07,0
vgemm,blocked,float,512,96,96,128,1.681750,1.678156,0.0018,3405.16,1.759352,0.319346,0.808130,0.631729,4.070e-07,0
vtrsm,blocked,double,512,96,16,128,7.433046,7.428285,0.0003,770.43,7.505815,0.776741,2.787367,3.941563,8.137e-16,0
vgemm,blocked,double,512,96,16,128,12.891065,12.887077,0.0001,444.23,13.194874,0.850503,2.875425,9.468534,8.137e-16,0
vtrsm,blocked,double,512,96,32,128,7.375208,7.372179,0.0002,776.47,7.451186,0.776013,2.789537,3.885453,8.137e-16,0
vgemm,blocked,double,512,96,32,128,7.925332,7.917995,0.0006,722.57,8.003342,0.775940,2.786963,4.440271,8.137e-16,0
vtrsm,blocked,double,512,96,64,128,7.692055,7.683616,0.0005,744.49,7.761948,0.778589,2.786492,4.196686,8.137e-16,0
vgemm,blocked,double,512,96,64,128,8.334432,8.328330,0.0006,687.10,8.420459,0.776428,2.788974,4.854911,8.137e-16,0
vtrsm,blocked,double,512,96,96,128,7.992349,7.989798,0.0003,716.51,8.074098,0.787108,2.789718,4.497088,8.137e-16,0
vgemm,blocked,double,512,96,96,128,9.201500,9.194964,0.0003,622.36,9.284855,0.783093,2.791117,5.710480,8.137e-16,0
vtrsm,blocked,cfloat,512,96,16,128,7.244515,7.240244,0.0003,3161.91,7.323610,0.434842,3.761639,3.126971,4.032e-07,0
vgemm,blocked,cfloat,512,96,16,128,5.907543,5.901504,0.0006,3877.50,5.995960,0.455265,3.794099,1.746436,4.032e-07,0
vtrsm,blocked,cfloat,512,96,32,128,6.953979,6.949853,0.0003,3294.01,7.036716,0.435947,3.761237,2.839362,4.032e-07,0
vgemm,blocked,cfloat,512,96,32,128,5.179859,5.178915,0.0005,4422.22,5.260590,0.446747,3.788237,1.025415,4.032e-07,0
vtrsm,blocked,cfloat,512,96,64,128,7.230283,7.216446,0.0009,3168.13,7.312579,0.436938,3.766033,3.109413,4.032e-07,0
vgemm,blocked,cfloat,512,96,64,128,5.172571,5.166665,0.0006,4428.45,5.318569,0.453882,3.790194,1.074234,4.032e-07,0
vtrsm,blocked,cfloat,512,96,96,128,7.510577,7.502606,0.0005,3049.90,7.590647,0.441195,3.772345,3.376937,4.032e-07,0
vgemm,blocked,cfloat,512,96,96,128,5.427994,5.420861,0.0007,4220.07,5.514083,0.428198,3.776393,1.309329,4.032e-07,0
vtrsm,blocked,cdouble,512,64,16,128,99.121589,99.113685,0.0001,231.09,99.253567,1.079953,46.028791,52.144544,7.511e-16,0
vgemm,blocked,cdouble,512,64,16,128,67.890642,67.883622,0.0002,337.40,68.031450,1.077851,46.029479,20.923936,7.511e-16,0
vtrsm,blocked,cdouble,512,64,32,128,101.173774,101.151843,0.0001,226.41,101.291011,1.077025,46.022688,54.191048,7.511e-16,0
vgemm,blocked,cdouble,512,64,32,128,64.915258,64.907972,0.0000,352.87,65.073997,1.081834,46.032933,17.959009,7.511e-16,0
vtrsm,blocked,cdouble,512,64,64,128,106.137809,106.126672,0.0000,215.82,106.263032,1.079339,46.024696,59.158815,7.511e-16,0
vgemm,blocked,cdouble,512,64,64,128,66.632994,66.613802,0.0002,343.77,66.787993,1.084722,46.030467,19.672507,7.511e-16,0
vtrsm,blocked,cdouble,512,64,96,128,110.467201,110.462154,0.0000,207.36,110.614075,1.078579,46.024915,63.510321,7.511e-16,0
vgemm,blocked,cdouble,512,64,96,128,68.241593,68.226574,0.0001,335.67,68.428589,1.096609,46.036218,21.295453,7.511e-16,0
