trsm,gemm,type,n,nb,batch,residual,info_nonzero
vendor,native,float,512,32,128,4.369e-07,0
native,vendor,float,512,32,128,4.369e-07,0
native,native,float,512,32,128,4.369e-07,0
vendor,vendor,float,512,48,64,4.920e-07,0
vendor,native,float,512,48,64,4.920e-07,0
native,vendor,float,512,48,64,4.920e-07,0
native,native,float,512,48,64,4.920e-07,0
vendor,vendor,float,512,48,128,4.369e-07,0
vendor,native,float,512,48,128,4.369e-07,0
native,vendor,float,512,48,128,4.369e-07,0
native,native,float,512,48,128,4.369e-07,0
vendor,vendor,float,512,64,64,3.936e-07,0
vendor,native,float,512,64,64,3.936e-07,0
native,vendor,float,512,64,64,3.936e-07,0
native,native,float,512,64,64,3.936e-07,0
vendor,vendor,float,512,64,128,4.070e-07,0
vendor,native,float,512,64,128,4.070e-07,0
native,vendor,float,512,64,128,4.070e-07,0
native,native,float,512,64,128,4.070e-07,0
vendor,vendor,float,512,96,64,3.936e-07,0
vendor,native,float,512,96,64,3.936e-07,0
native,vendor,float,512,96,64,3.936e-07,0
native,native,float,512,96,64,3.936e-07,0
vendor,vendor,float,512,96,128,4.070e-07,0
vendor,native,float,512,96,128,4.070e-07,0
native,vendor,float,512,96,128,4.070e-07,0
native,native,float,512,96,128,4.070e-07,0
vendor,vendor,float,1024,32,64,5.462e-07,0
vendor,native,float,1024,32,64,5.462e-07,0
native,vendor,float,1024,32,64,5.462e-07,0
native,native,float,1024,32,64,5.462e-07,0
vendor,vendor,float,1024,32,128,5.462e-07,0
vendor,native,float,1024,32,128,5.462e-07,0
native,vendor,float,1024,32,128,5.462e-07,1
native,native,float,1024,32,128,5.462e-07,1
vendor,vendor,float,1024,48,64,5.462e-07,0
vendor,native,float,1024,48,64,5.462e-07,0
native,vendor,float,1024,48,64,5.462e-07,0
native,native,float,1024,48,64,5.462e-07,0
vendor,vendor,float,1024,48,128,5.462e-07,0
vendor,native,float,1024,48,128,5.462e-07,0
native,vendor,float,1024,48,128,inf,66
native,native,float,1024,48,128,inf,128
vendor,vendor,float,1024,64,64,5.462e-07,0
vendor,native,float,1024,64,64,5.462e-07,0
native,vendor,float,1024,64,64,5.462e-07,0
native,native,float,1024,64,64,5.462e-07,0
vendor,vendor,float,1024,64,128,5.462e-07,0
vendor,native,float,1024,64,128,5.462e-07,0
native,vendor,float,1024,64,128,5.462e-07,1
native,native,float,1024,64,128,5.462e-07,9
vendor,vendor,float,1024,96,64,4.370e-07,0
vendor,native,float,1024,96,64,4.370e-07,0
native,vendor,float,1024,96,64,4.370e-07,0
native,native,float,1024,96,64,4.370e-07,0
vendor,vendor,float,1024,96,128,5.089e-07,0
vendor,native,float,1024,96,128,5.089e-07,0
native,vendor,float,1024,96,128,5.089e-07,7
native,native,float,1024,96,128,5.089e-07,11
