routemode,mode,type,n,nb,W,batch,med_ms,min_ms,rel_sd,gflops,staged_ms,leaf_ms,panel_ms,trail_ms,residual,info_nonzero
vtrsm,blocked,float,1024,155,128,128,16.455228,16.447310,0.0005,2784.10,16.565251,0.805870,3.418952,12.340199,5.462e-07,0
nativeT,blocked,float,1024,155,128,128,11.237977,11.224587,0.0006,4076.62,11.335179,0.793822,3.024058,7.517132,5.462e-07,14
default,blocked,double,512,32,128,128,8.618042,8.604463,0.0009,664.49,8.847415,0.713866,0.802843,7.330518,8.137e-16,0
native,blocked,double,512,32,128,128,8.593823,8.589522,0.0005,666.37,8.825087,0.708247,0.800620,7.316055,8.137e-16,0
vtrsm,blocked,double,512,32,128,128,10.189617,10.183918,0.0004,562.01,10.423727,0.707335,2.384318,7.331900,8.137e-16,0
nativeT,blocked,double,512,32,128,128,8.601691,8.593745,0.0004,665.76,8.887069,0.731089,0.820961,7.334858,8.137e-16,0
default,blocked,double,512,48,128,128,7.807887,7.799999,0.0007,733.44,8.004008,0.698795,0.958656,6.346337,8.137e-16,0
native,blocked,double,512,48,128,128,7.814016,7.807138,0.0005,732.87,7.969931,0.688041,0.947256,6.334457,8.137e-16,0
vtrsm,blocked,double,512,48,128,128,9.397855,9.381208,0.0007,609.35,9.543009,0.685998,2.519729,6.337114,8.137e-16,0
nativeT,blocked,double,512,48,128,128,7.809298,7.805703,0.0003,733.31,7.967769,0.686932,0.948036,6.332645,8.137e-16,0
default,blocked,double,512,64,128,128,7.417144,7.404475,0.0014,772.08,7.541281,0.708298,1.048050,5.784725,8.137e-16,0
native,blocked,double,512,64,128,128,7.399306,7.395212,0.0009,773.94,7.569635,0.706186,1.046878,5.816391,8.137e-16,0
vtrsm,blocked,double,512,64,128,128,8.894620,8.887451,0.0009,643.83,9.001615,0.697717,2.519323,5.784429,8.137e-16,0
nativeT,blocked,double,512,64,128,128,7.407185,7.396766,0.0007,773.12,7.509483,0.697174,1.039513,5.772621,8.137e-16,0
default,blocked,double,512,80,128,128,7.200123,7.193471,0.0004,795.35,7.289398,0.760698,1.251091,5.277441,8.137e-16,0
native,blocked,double,512,80,128,128,7.190421,7.186504,0.0006,796.42,7.283346,0.759844,1.245176,5.278153,8.137e-16,0
vtrsm,blocked,double,512,80,128,128,9.083697,9.077462,0.0026,630.43,9.339201,0.787659,3.215629,5.335355,8.137e-16,0
nativeT,blocked,double,512,80,128,128,7.188936,7.180778,0.0006,796.59,7.278278,0.758609,1.245777,5.273695,8.137e-16,0
default,blocked,double,512,96,128,128,7.021202,7.017451,0.0002,815.62,7.089005,0.783755,1.404670,4.900351,8.137e-16,0
native,blocked,double,512,96,128,128,7.019201,7.014965,0.0003,815.85,7.116221,0.792498,1.415604,4.907921,8.137e-16,0
vtrsm,blocked,double,512,96,128,128,8.411109,8.404637,0.0004,680.84,8.488222,0.784195,2.794714,4.909166,8.137e-16,0
nativeT,blocked,double,512,96,128,128,7.021772,7.013833,0.0006,815.55,7.087622,0.786089,1.399138,4.902215,8.137e-16,0
default,blocked,double,512,109,128,128,7.257744,7.245510,0.0011,789.04,7.311028,0.860067,1.614417,4.836354,6.103e-16,1
native,blocked,double,512,109,128,128,7.257735,7.231561,0.0021,789.04,7.313137,0.860070,1.613032,4.839867,6.103e-16,1
vtrsm,blocked,double,512,109,128,128,9.365415,9.319590,0.0021,611.46,9.409651,0.860462,3.693337,4.855718,6.103e-16,0
nativeT,blocked,double,512,109,128,128,7.244672,7.234957,0.0030,790.46,7.316556,0.861243,1.613708,4.841401,6.103e-16,1
default,blocked,double,1024,32,128,128,52.684743,52.663571,0.0002,869.57,53.176563,1.456079,2.725504,48.994799,1.137e-15,2
