route,mode,type,m,n,k,batch,store,tB,med_ms,min_ms,rel_sd,gflops
default,trail,cfloat,128,128,109,128,sub,C,0.048864,0.048811,0.0018,37424.62
vendor,trail,cfloat,128,128,109,128,sub,C,0.048660,0.048504,0.0027,37581.26
native,trail,cfloat,128,128,109,128,sub,C,0.231844,0.231600,0.0014,7887.71
default,trail,cfloat,1939,128,109,128,sub,C,0.851100,0.850245,0.0048,32548.70
vendor,trail,cfloat,1939,128,109,128,sub,C,0.889081,0.882830,0.0032,31158.23
native,trail,cfloat,1939,128,109,128,sub,C,3.923308,3.922717,0.0028,7060.93
default,trail,cfloat,915,915,109,128,sub,C,2.939318,2.897744,0.0087,31792.31
vendor,trail,cfloat,915,915,109,128,sub,C,2.921018,2.881034,0.0082,31991.49
native,trail,cfloat,915,915,109,128,sub,C,13.353656,13.261243,0.0077,6997.91
default,trail,cfloat,915,128,109,128,flat,C,0.430065,0.429775,0.0021,30396.51
vendor,trail,cfloat,915,128,109,128,flat,C,0.433828,0.431670,0.0042,30132.85
native,trail,cfloat,915,128,109,128,flat,C,1.710647,1.702592,0.0029,7641.83
default,trail,cfloat,128,128,109,128,flat,C,0.047351,0.047253,0.0023,38620.44
vendor,trail,cfloat,128,128,109,128,flat,C,0.047965,0.047872,0.0008,38126.33
native,trail,cfloat,128,128,109,128,flat,C,0.248313,0.248138,0.0006,7364.56
default,trail,cfloat,1939,128,109,128,flat,C,0.898452,0.892775,0.0038,30833.24
vendor,trail,cfloat,1939,128,109,128,flat,C,0.889174,0.886293,0.0045,31154.97
native,trail,cfloat,1939,128,109,128,flat,C,3.597213,3.593409,0.0021,7701.02
default,trail,cfloat,915,915,109,128,flat,C,2.989453,2.941935,0.0097,31259.14
vendor,trail,cfloat,915,915,109,128,flat,C,2.928609,2.887562,0.0113,31908.56
native,trail,cfloat,915,915,109,128,flat,C,12.272494,12.193387,0.0093,7614.40
default,trail,cdouble,947,128,77,128,sub,C,8.380925,8.377120,0.0013,1140.40
vendor,trail,cdouble,947,128,77,128,sub,C,8.376200,8.373208,0.0002,1141.05
native,trail,cdouble,947,128,77,128,sub,C,25.028504,25.028034,0.0002,381.87
default,trail,cdouble,128,128,77,128,sub,C,1.122063,1.122010,0.0001,1151.31
vendor,trail,cdouble,128,128,77,128,sub,C,1.122238,1.121834,0.0008,1151.13
native,trail,cdouble,128,128,77,128,sub,C,3.342460,3.342214,0.0001,386.50
default,trail,cdouble,1971,128,77,128,sub,C,17.216493,17.212835,0.0002,1155.43
vendor,trail,cdouble,1971,128,77,128,sub,C,17.214592,17.209913,0.0003,1155.55
native,trail,cdouble,1971,128,77,128,sub,C,51.548415,51.545481,0.0000,385.90
default,trail,cdouble,947,947,77,128,sub,C,62.315069,62.311838,0.0000,1134.74
vendor,trail,cdouble,947,947,77,128,sub,C,62.314909,62.311022,0.0000,1134.75
native,trail,cdouble,947,947,77,128,sub,C,186.945962,186.938076,0.0001,378.25
default,trail,cdouble,947,128,77,128,flat,C,8.349274,8.346991,0.0002,1144.73
vendor,trail,cdouble,947,128,77,128,flat,C,8.348669,8.345332,0.0002,1144.81
native,trail,cdouble,947,128,77,128,flat,C,24.943379,24.941599,0.0002,383.17
default,trail,cdouble,128,128,77,128,flat,C,1.118219,1.117540,0.0006,1155.27
vendor,trail,cdouble,128,128,77,128,flat,C,1.119645,1.118634,0.0011,1153.80
native,trail,cdouble,128,128,77,128,flat,C,3.334022,3.333846,0.0005,387.47
default,trail,cdouble,1971,128,77,128,flat,C,17.216490,17.213444,0.0002,1155.43
vendor,trail,cdouble,1971,128,77,128,flat,C,17.216593,17.210375,0.0006,1155.42
native,trail,cdouble,1971,128,77,128,flat,C,51.541968,51.539470,0.0002,385.95
default,trail,cdouble,947,947,77,128,flat,C,62.327411,62.318506,0.0002,1134.52
vendor,trail,cdouble,947,947,77,128,flat,C,62.340701,62.318719,0.0002,1134.28
native,trail,cdouble,947,947,77,128,flat,C,186.957768,186.937691,0.0001,378.22
