mode,type,n,ib,j,m2,batch,maxrel,items_diff,resid_native_0,resid_native_last,resid_vendor_0,resid_vendor_last
trsmdiff,cfloat,512,48,0,464,8,1.775e-07,0,1.751e-07,1.703e-07,1.343e-07,1.336e-07
trsmdiff,cfloat,512,48,0,464,64,1.776e-07,0,1.341e-07,1.701e-07,1.341e-07,1.283e-07
trsmdiff,cfloat,512,48,0,464,128,1.763e-07,0,1.690e-07,1.698e-07,1.336e-07,1.278e-07
trsmdiff,cfloat,512,64,0,448,8,1.174e-07,0,9.498e-08,9.470e-08,6.007e-08,5.990e-08
trsmdiff,cfloat,512,64,0,448,64,1.177e-07,0,9.479e-08,9.475e-08,5.995e-08,5.993e-08
trsmdiff,cfloat,512,64,0,448,128,1.174e-07,0,9.462e-08,9.463e-08,5.984e-08,5.985e-08
trsmdiff,cfloat,512,96,0,416,8,1.767e-07,0,1.528e-07,1.338e-07,1.340e-07,1.338e-07
trsmdiff,cfloat,512,96,0,416,64,1.791e-07,0,1.336e-07,1.694e-07,1.336e-07,1.336e-07
trsmdiff,cfloat,512,96,0,416,128,1.779e-07,0,1.693e-07,1.335e-07,1.338e-07,1.335e-07
trsmdiff,cfloat,512,128,0,384,8,9.399e-08,0,9.469e-08,9.446e-08,5.989e-08,5.974e-08
trsmdiff,cfloat,512,128,0,384,64,1.163e-07,0,9.486e-08,9.434e-08,6.000e-08,5.967e-08
trsmdiff,cfloat,512,128,0,384,128,1.182e-07,0,9.452e-08,9.451e-08,5.978e-08,5.977e-08
trsmdiff,cfloat,1024,32,0,992,8,9.125e-08,0,5.963e-08,5.974e-08,5.963e-08,5.974e-08
trsmdiff,cfloat,1024,32,0,992,64,1.160e-07,0,5.972e-08,5.981e-08,5.972e-08,5.981e-08
trsmdiff,cfloat,1024,32,0,992,128,1.131e-07,0,5.993e-08,5.984e-08,5.993e-08,5.984e-08
trsmdiff,cfloat,1024,48,0,976,8,1.766e-07,0,1.690e-07,1.416e-07,1.333e-07,1.522e-07
trsmdiff,cfloat,1024,48,0,976,64,1.760e-07,0,1.687e-07,1.692e-07,1.333e-07,1.337e-07
trsmdiff,cfloat,1024,48,0,976,128,2.699e+18,127,9.732e+10,2.906e+06,1.336e-07,1.340e-07
trsmdiff,cfloat,1024,64,0,960,8,9.203e-08,0,9.428e-08,9.456e-08,5.963e-08,5.981e-08
trsmdiff,cfloat,1024,64,0,960,64,2.976e+07,1,9.449e-08,9.444e-08,5.976e-08,5.973e-08
trsmdiff,cfloat,1024,64,0,960,128,1.171e-07,0,9.459e-08,9.442e-08,5.983e-08,5.972e-08
trsmdiff,cfloat,1024,96,0,928,8,1.767e-07,0,1.742e-07,1.702e-07,1.336e-07,1.335e-07
trsmdiff,cfloat,1024,96,0,928,64,5.148e+04,3,1.741e-07,1.743e-07,1.335e-07,1.337e-07
trsmdiff,cfloat,1024,96,0,928,128,1.774e-07,0,1.743e-07,1.738e-07,1.336e-07,1.333e-07
trsmdiff,cfloat,1024,128,0,896,8,1.175e-07,0,9.438e-08,9.429e-08,5.969e-08,5.964e-08
trsmdiff,cfloat,1024,128,0,896,64,1.181e-07,0,9.448e-08,9.451e-08,5.975e-08,5.977e-08
trsmdiff,cfloat,1024,128,0,896,128,1.181e-07,0,9.432e-08,9.453e-08,5.965e-08,5.978e-08
trsmdiff,cdouble,512,32,0,480,8,1.723e-16,0,1.111e-16,1.113e-16,8.785e-17,1.113e-16
trsmdiff,cdouble,512,32,0,480,64,1.746e-16,0,1.119e-16,1.113e-16,8.847e-17,8.800e-17
trsmdiff,cdouble,512,32,0,480,128,1.743e-16,0,1.117e-16,1.117e-16,1.117e-16,8.832e-17
trsmdiff,cdouble,512,48,0,464,8,3.257e-16,0,2.502e-16,2.488e-16,2.502e-16,2.488e-16
trsmdiff,cdouble,512,48,0,464,64,3.308e-16,0,2.498e-16,3.143e-16,2.498e-16,2.485e-16
trsmdiff,cdouble,512,48,0,464,128,3.310e-16,0,3.172e-16,3.163e-16,2.488e-16,2.501e-16
trsmdiff,cdouble,512,64,0,448,8,2.198e-16,0,1.769e-16,1.764e-16,1.119e-16,8.820e-17
trsmdiff,cdouble,512,64,0,448,64,2.205e-16,0,2.233e-16,1.579e-16,1.117e-16,1.116e-16
trsmdiff,cdouble,512,64,0,448,128,2.193e-16,0,1.762e-16,1.763e-16,1.115e-16,1.115e-16
trsmdiff,cdouble,512,96,0,416,8,3.293e-16,0,3.530e-16,3.250e-16,2.496e-16,2.492e-16
trsmdiff,cdouble,512,96,0,416,64,3.322e-16,0,3.243e-16,3.148e-16,2.488e-16,2.489e-16
trsmdiff,cdouble,512,96,0,416,128,1.701e+04,1,3.152e-16,3.144e-16,2.492e-16,2.486e-16
trsmdiff,cdouble,512,128,0,384,8,1.751e-16,0,1.764e-16,1.759e-16,8.819e-17,8.797e-17
trsmdiff,cdouble,512,128,0,384,64,2.189e-16,0,1.767e-16,1.757e-16,8.835e-17,7.920e-17
trsmdiff,cdouble,512,128,0,384,128,2.200e-16,0,2.227e-16,1.587e-16,8.803e-17,1.113e-16
trsmdiff,cdouble,1024,32,0,992,8,1.684e-16,0,1.111e-16,1.113e-16,8.781e-17,1.113e-16
trsmdiff,cdouble,1024,32,0,992,64,1.730e-16,0,1.112e-16,1.114e-16,1.112e-16,1.114e-16
trsmdiff,cdouble,1024,32,0,992,128,2.130e-16,0,1.184e-16,1.576e-16,1.116e-16,1.115e-16
