arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
native:cta,double,512,1,512,T,native:cta,0.00709,0.00710,0.0120,592.2,0.623,0.00e+00,512,1,512,0
vendor,cfloat,512,1,512,T,vendor:auto,0.00872,0.00873,0.0190,481.3,0.507,0.00e+00,512,1,512,0
native:direct,cfloat,512,1,512,T,native:direct,0.04676,0.04676,0.0017,89.8,0.095,0.00e+00,512,1,512,0
native:cta,cfloat,512,1,512,T,native:cta,0.00680,0.00684,0.0126,617.2,0.650,0.00e+00,512,1,512,0
vendor,cdouble,512,1,512,T,vendor:auto,0.02146,0.02148,0.0142,391.2,0.412,0.00e+00,512,1,512,0
native:direct,cdouble,512,1,512,T,native:direct,0.06934,0.06936,0.0016,121.1,0.127,0.00e+00,512,1,512,0
native:cta,cdouble,512,1,512,T,native:cta,0.00857,0.00858,0.0142,980.1,1.032,0.00e+00,512,1,512,0
vendor,float,512,1,512,C,vendor:auto,0.00840,0.00843,0.0103,249.9,0.263,0.00e+00,512,1,512,0
native:direct,float,512,1,512,C,native:direct,0.02588,0.02590,0.0018,81.1,0.085,0.00e+00,512,1,512,0
native:cta,float,512,1,512,C,native:cta,0.00622,0.00624,0.0135,337.8,0.356,0.00e+00,512,1,512,0
vendor,double,512,1,512,C,vendor:auto,0.01132,0.01140,0.0247,370.9,0.390,0.00e+00,512,1,512,0
native:direct,double,512,1,512,C,native:direct,0.03562,0.03562,0.0026,117.9,0.124,0.00e+00,512,1,512,0
native:cta,double,512,1,512,C,native:cta,0.00713,0.00706,0.0292,588.7,0.620,0.00e+00,512,1,512,0
vendor,cfloat,512,1,512,C,vendor:auto,0.00886,0.00890,0.0105,473.8,0.499,0.00e+00,512,1,512,0
native:direct,cfloat,512,1,512,C,native:direct,0.04689,0.04731,0.0270,89.5,0.094,0.00e+00,512,1,512,0
native:cta,cfloat,512,1,512,C,native:cta,0.00680,0.00687,0.0197,617.5,0.650,0.00e+00,512,1,512,0
vendor,cdouble,512,1,512,C,vendor:auto,0.01589,0.01591,0.0137,528.4,0.556,0.00e+00,512,1,512,0
native:direct,cdouble,512,1,512,C,native:direct,0.06915,0.06925,0.0022,121.4,0.128,0.00e+00,512,1,512,0
native:cta,cdouble,512,1,512,C,native:cta,0.00855,0.00855,0.0103,982.0,1.034,0.00e+00,512,1,512,0
vendor,float,1,2048,512,N,vendor:auto,0.01231,0.01235,0.0128,681.8,0.718,0.00e+00,1,1,2048,0
native:direct,float,1,2048,512,N,native:direct,0.00811,0.00815,0.0151,1035.1,1.090,0.00e+00,1,1,2048,0
vendor,double,1,2048,512,N,vendor:auto,0.02133,0.02142,0.0146,786.7,0.828,0.00e+00,1,1,2048,0
