arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
vendor,float,1,64,512,N,vendor:auto,0.00783,0.00793,0.0345,33.7,0.035,0.00e+00,1,1,64,0
native:direct,float,1,64,512,N,native:direct,0.00639,0.00650,0.0674,41.3,0.044,0.00e+00,1,1,64,0
vendor,double,1,64,512,N,vendor:auto,0.00819,0.00864,0.1578,64.5,0.068,0.00e+00,1,1,64,0
native:direct,double,1,64,512,N,native:direct,0.00723,0.00733,0.0254,73.1,0.077,0.00e+00,1,1,64,0
vendor,cfloat,1,64,512,N,vendor:auto,0.00785,0.00797,0.0330,67.3,0.071,0.00e+00,1,1,64,0
native:direct,cfloat,1,64,512,N,native:direct,0.00639,0.00639,0.0124,82.7,0.087,0.00e+00,1,1,64,0
vendor,cdouble,1,64,512,N,vendor:auto,0.00928,0.00922,0.0156,113.9,0.120,0.00e+00,1,1,64,0
native:direct,cdouble,1,64,512,N,native:direct,0.00671,0.00671,0.0137,157.5,0.166,0.00e+00,1,1,64,0
vendor,float,64,1,512,T,vendor:auto,0.00822,0.00824,0.0137,32.2,0.034,0.00e+00,64,1,64,0
native:direct,float,64,1,512,T,native:direct,0.00903,0.00901,0.0111,29.3,0.031,0.00e+00,64,1,64,0
native:cta,float,64,1,512,T,native:cta,0.00704,0.00703,0.0140,37.5,0.040,0.00e+00,64,1,64,0
vendor,double,64,1,512,T,vendor:auto,0.00806,0.00813,0.0164,65.6,0.069,0.00e+00,64,1,64,0
native:direct,double,64,1,512,T,native:direct,0.00933,0.00935,0.0115,56.6,0.060,0.00e+00,64,1,64,0
native:cta,double,64,1,512,T,native:cta,0.00613,0.00622,0.0462,86.2,0.091,0.00e+00,64,1,64,0
vendor,cfloat,64,1,512,T,vendor:auto,0.00785,0.00789,0.0254,67.3,0.071,0.00e+00,64,1,64,0
native:direct,cfloat,64,1,512,T,native:direct,0.01173,0.01175,0.0072,45.1,0.047,0.00e+00,64,1,64,0
native:cta,cfloat,64,1,512,T,native:cta,0.00613,0.00629,0.1136,86.1,0.091,0.00e+00,64,1,64,0
vendor,cdouble,64,1,512,T,vendor:auto,0.01077,0.01084,0.0243,98.1,0.103,0.00e+00,64,1,64,0
native:direct,cdouble,64,1,512,T,native:direct,0.01476,0.01475,0.0054,71.6,0.075,0.00e+00,64,1,64,0
native:cta,cdouble,64,1,512,T,native:cta,0.00644,0.00641,0.0193,164.0,0.173,0.00e+00,64,1,64,0
vendor,float,64,1,512,C,vendor:auto,0.00772,0.00774,0.0154,34.2,0.036,0.00e+00,64,1,64,0
native:direct,float,64,1,512,C,native:direct,0.00805,0.00804,0.0122,32.8,0.035,0.00e+00,64,1,64,0
native:cta,float,64,1,512,C,native:cta,0.00609,0.00607,0.0122,43.4,0.046,0.00e+00,64,1,64,0
vendor,double,64,1,512,C,vendor:auto,0.00833,0.00833,0.0117,63.4,0.067,0.00e+00,64,1,64,0
