variant,type,m,n,batch,route,leaf,nb,qr,orth,qrQ,dF,dtau,dimag
cta,cfloat,100,64,8,route=vendor:auto,leaf=1,nb=32,qr=5.074e-07,orth=6.727e-07,qrQ=4.617e-07,dF=1.948e-07,dtau=1.946e-07,dimag=0.000e+00
blocked,cfloat,100,64,8,route=vendor:auto,leaf=1,nb=32,qr=5.433e-07,orth=6.453e-07,qrQ=5.730e-07,dF=2.378e-07,dtau=2.899e-07,dimag=0.000e+00
blocked,cdouble,100,64,8,route=vendor:auto,leaf=1,nb=32,qr=1.529e-15,orth=1.426e-15,qrQ=1.080e-15,dF=4.733e-16,dtau=5.090e-16,dimag=0.000e+00
cta,float,129,33,8,route=vendor:auto,leaf=1,nb=32,qr=3.248e-07,orth=4.235e-07,qrQ=2.583e-07,dF=1.328e-07,dtau=9.690e-08,dimag=0.000e+00
blocked,float,129,33,8,route=vendor:auto,leaf=1,nb=32,qr=3.231e-07,orth=4.238e-07,qrQ=2.666e-07,dF=1.328e-07,dtau=9.690e-08,dimag=0.000e+00
cta,double,129,33,8,route=vendor:auto,leaf=1,nb=16,qr=1.842e-15,orth=1.118e-15,qrQ=8.108e-16,dF=2.473e-16,dtau=1.805e-16,dimag=0.000e+00
blocked,double,129,33,8,route=vendor:auto,leaf=1,nb=16,qr=2.022e-15,orth=1.103e-15,qrQ=8.945e-16,dF=3.401e-16,dtau=1.805e-16,dimag=0.000e+00
cta,cfloat,129,33,8,route=vendor:auto,leaf=1,nb=32,qr=3.637e-07,orth=4.648e-07,qrQ=3.675e-07,dF=1.934e-07,dtau=1.995e-07,dimag=0.000e+00
blocked,cfloat,129,33,8,route=vendor:auto,leaf=1,nb=32,qr=3.503e-07,orth=4.739e-07,qrQ=3.330e-07,dF=1.934e-07,dtau=1.995e-07,dimag=0.000e+00
cta,cdouble,129,33,8,route=vendor:auto,leaf=1,nb=32,qr=1.772e-15,orth=1.015e-15,qrQ=8.924e-16,dF=3.602e-16,dtau=1.983e-16,dimag=0.000e+00
blocked,cdouble,129,33,8,route=vendor:auto,leaf=1,nb=32,qr=2.081e-15,orth=1.012e-15,qrQ=8.804e-16,dF=3.602e-16,dtau=1.983e-16,dimag=0.000e+00
blocked,float,200,200,4,route=vendor:auto,leaf=1,nb=32,qr=7.363e-07,orth=1.457e-06,qrQ=7.210e-07,dF=3.000e-06,dtau=7.670e-06,dimag=0.000e+00
blocked,double,200,200,4,route=vendor:auto,leaf=1,nb=16,qr=3.778e-15,orth=2.998e-15,qrQ=2.208e-15,dF=6.443e-15,dtau=6.585e-15,dimag=0.000e+00
blocked,cfloat,200,200,4,route=vendor:auto,leaf=1,nb=32,qr=8.225e-07,orth=1.269e-06,qrQ=1.047e-06,dF=8.516e-07,dtau=2.992e-06,dimag=0.000e+00
blocked,cdouble,200,200,4,route=vendor:auto,leaf=2,nb=32,qr=2.224e-15,orth=2.757e-15,qrQ=2.173e-15,dF=2.174e-15,dtau=9.460e-15,dimag=0.000e+00
blocked,float,256,256,4,route=vendor:auto,leaf=1,nb=32,qr=6.587e-07,orth=1.231e-06,qrQ=7.305e-07,dF=1.048e-06,dtau=2.877e-06,dimag=0.000e+00
blocked,double,256,256,4,route=vendor:auto,leaf=1,nb=16,qr=2.234e-15,orth=3.558e-15,qrQ=1.910e-15,dF=1.588e-15,dtau=6.193e-15,dimag=0.000e+00
blocked,cfloat,256,256,4,route=vendor:auto,leaf=1,nb=32,qr=1.093e-06,orth=1.343e-06,qrQ=9.615e-07,dF=1.241e-06,dtau=1.619e-05,dimag=0.000e+00
blocked,cdouble,256,256,4,route=vendor:auto,leaf=2,nb=32,qr=2.865e-15,orth=3.679e-15,qrQ=2.240e-15,dF=3.686e-15,dtau=2.555e-14,dimag=0.000e+00
blocked,float,300,200,4,route=vendor:auto,leaf=1,nb=32,qr=6.425e-07,orth=8.227e-07,qrQ=9.466e-07,dF=2.980e-07,dtau=1.868e-07,dimag=0.000e+00
blocked,double,300,200,4,route=vendor:auto,leaf=1,nb=16,qr=3.335e-15,orth=2.125e-15,qrQ=1.834e-15,dF=5.337e-16,dtau=5.220e-16,dimag=0.000e+00
blocked,cfloat,300,200,4,route=vendor:auto,leaf=1,nb=32,qr=9.461e-07,orth=9.355e-07,qrQ=9.848e-07,dF=3.105e-07,dtau=2.986e-07,dimag=0.000e+00
blocked,cdouble,300,200,4,route=vendor:auto,leaf=2,nb=32,qr=2.866e-15,orth=2.156e-15,qrQ=2.624e-15,dF=6.121e-16,dtau=5.880e-16,dimag=0.000e+00
blocked,float,512,128,4,route=vendor:auto,leaf=1,nb=32,qr=9.174e-07,orth=6.654e-07,qrQ=7.808e-07,dF=2.374e-07,dtau=1.065e-07,dimag=0.000e+00
blocked,double,512,128,4,route=vendor:auto,leaf=1,nb=16,qr=4.562e-15,orth=2.030e-15,qrQ=2.643e-15,dF=4.258e-16,dtau=1.985e-16,dimag=0.000e+00
blocked,cfloat,512,128,4,route=vendor:auto,leaf=2,nb=32,qr=9.609e-07,orth=8.139e-07,qrQ=1.375e-06,dF=2.774e-07,dtau=2.177e-07,dimag=0.000e+00
blocked,cdouble,512,128,4,route=vendor:auto,leaf=2,nb=32,qr=3.579e-15,orth=1.868e-15,qrQ=2.047e-15,dF=4.738e-16,dtau=2.266e-16,dimag=0.000e+00
cta,float,128,128,64,route=vendor:auto,leaf=1,nb=32,qr=4.189e-07,orth=1.246e-06,qrQ=4.758e-07,dF=3.601e-06,dtau=1.568e-05,dimag=0.000e+00
blocked,float,128,128,64,route=vendor:auto,leaf=1,nb=32,qr=5.634e-07,orth=1.219e-06,qrQ=5.107e-07,dF=3.737e-06,dtau=1.627e-05,dimag=0.000e+00
blocked,double,128,128,64,route=vendor:auto,leaf=1,nb=16,qr=2.388e-15,orth=1.888e-15,qrQ=1.252e-15,dF=9.470e-15,dtau=1.599e-14,dimag=0.000e+00
blocked,cfloat,128,128,64,route=vendor:auto,leaf=1,nb=32,qr=7.272e-07,orth=1.037e-06,qrQ=8.787e-07,dF=1.448e-06,dtau=9.013e-06,dimag=0.000e+00
blocked,cdouble,128,128,64,route=vendor:auto,leaf=1,nb=32,qr=1.868e-15,orth=2.847e-15,qrQ=1.663e-15,dF=3.381e-15,dtau=1.843e-14,dimag=0.000e+00
threw=0 vendor_build=1
