variant,type,m,n,batch,route,leaf,nb,qr,orth,qrQ,dF,dtau,dimag
cta,float,64,64,8,route=native:cta,leaf=1,nb=32,qr=4.209e-07,orth=7.665e-07,qrQ=5.940e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,float,64,64,8,route=native:cta,leaf=1,nb=32,qr=3.608e-07,orth=8.931e-07,qrQ=5.017e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
cta,double,64,64,8,route=native:cta,leaf=1,nb=16,qr=1.048e-15,orth=2.610e-15,qrQ=1.109e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,double,64,64,8,route=native:cta,leaf=1,nb=16,qr=1.372e-15,orth=1.603e-15,qrQ=1.103e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
cta,cfloat,64,64,8,route=native:cta,leaf=1,nb=32,qr=6.469e-07,orth=9.530e-07,qrQ=4.425e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cfloat,64,64,8,route=native:cta,leaf=1,nb=32,qr=7.694e-07,orth=1.220e-06,qrQ=5.869e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
cta,cdouble,64,64,8,route=native:cta,leaf=1,nb=32,qr=1.401e-15,orth=1.557e-15,qrQ=1.024e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cdouble,64,64,8,route=native:cta,leaf=1,nb=32,qr=1.429e-15,orth=2.033e-15,qrQ=1.258e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
cta,float,65,65,8,route=native:cta,leaf=1,nb=32,qr=3.498e-07,orth=1.024e-06,qrQ=5.576e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,float,65,65,8,route=native:cta,leaf=1,nb=32,qr=4.124e-07,orth=1.005e-06,qrQ=6.132e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
cta,double,65,65,8,route=native:cta,leaf=1,nb=16,qr=1.196e-15,orth=1.475e-15,qrQ=1.118e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,double,65,65,8,route=native:cta,leaf=1,nb=16,qr=1.266e-15,orth=1.469e-15,qrQ=9.835e-16,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
cta,cfloat,65,65,8,route=native:cta,leaf=1,nb=32,qr=3.222e-07,orth=8.840e-07,qrQ=5.485e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cfloat,65,65,8,route=native:cta,leaf=1,nb=32,qr=3.673e-07,orth=9.159e-07,qrQ=4.475e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
cta,cdouble,65,65,8,route=native:cta,leaf=1,nb=32,qr=1.184e-15,orth=1.962e-15,qrQ=1.104e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cdouble,65,65,8,route=native:cta,leaf=1,nb=32,qr=1.517e-15,orth=1.897e-15,qrQ=1.006e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
cta,float,66,66,8,route=native:cta,leaf=1,nb=32,qr=3.695e-07,orth=9.168e-07,qrQ=4.983e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,float,66,66,8,route=native:cta,leaf=1,nb=32,qr=4.550e-07,orth=1.171e-06,qrQ=5.410e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
cta,double,66,66,8,route=native:cta,leaf=1,nb=16,qr=1.389e-15,orth=2.143e-15,qrQ=1.085e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,double,66,66,8,route=native:cta,leaf=1,nb=16,qr=1.395e-15,orth=1.603e-15,qrQ=1.091e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
cta,cfloat,66,66,8,route=native:cta,leaf=1,nb=32,qr=3.973e-07,orth=1.190e-06,qrQ=4.914e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cfloat,66,66,8,route=native:cta,leaf=1,nb=32,qr=4.184e-07,orth=9.237e-07,qrQ=5.069e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
cta,cdouble,66,66,8,route=native:cta,leaf=1,nb=32,qr=1.022e-15,orth=1.567e-15,qrQ=1.069e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cdouble,66,66,8,route=native:cta,leaf=1,nb=32,qr=1.138e-15,orth=1.700e-15,qrQ=1.054e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
cta,float,100,64,8,route=native:cta,leaf=1,nb=32,qr=3.149e-07,orth=5.289e-07,qrQ=3.209e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,float,100,64,8,route=native:cta,leaf=1,nb=32,qr=5.158e-07,orth=6.095e-07,qrQ=4.356e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
cta,double,100,64,8,route=native:cta,leaf=1,nb=16,qr=2.147e-15,orth=1.361e-15,qrQ=1.050e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,double,100,64,8,route=native:cta,leaf=1,nb=16,qr=2.522e-15,orth=1.805e-15,qrQ=1.313e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
cta,cfloat,100,64,8,route=native:cta,leaf=1,nb=32,qr=5.074e-07,orth=7.186e-07,qrQ=4.055e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cfloat,100,64,8,route=native:cta,leaf=1,nb=32,qr=5.951e-07,orth=7.770e-07,qrQ=5.321e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cdouble,100,64,8,route=native:blocked,leaf=1,nb=32,qr=1.702e-15,orth=1.491e-15,qrQ=1.165e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
cta,float,129,33,8,route=native:cta,leaf=1,nb=32,qr=3.248e-07,orth=4.235e-07,qrQ=2.583e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,float,129,33,8,route=native:cta,leaf=1,nb=32,qr=3.254e-07,orth=4.220e-07,qrQ=3.323e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
cta,double,129,33,8,route=native:cta,leaf=1,nb=16,qr=1.842e-15,orth=1.118e-15,qrQ=8.108e-16,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,double,129,33,8,route=native:cta,leaf=1,nb=16,qr=1.617e-15,orth=1.103e-15,qrQ=8.945e-16,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
