2775 MHz, 60
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      1       1       0       0       0       100         0.015837    2.7401e-05  48901.      103.45      42.934      15.837      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      2       1       0       0       0       100         0.018578    7.2237e-05  48901.      176.38      73.198      9.2891      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      4       1       0       0       0       100         0.022010    3.5019e-05  48901.      297.75      123.57      5.5025      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      8       1       0       0       0       100         0.029370    2.1581e-05  48901.      446.28      185.21      3.6713      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      16      1       0       0       0       100         0.045508    4.4275e-05  48901.      576.05      239.06      2.8442      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      32      1       0       0       0       100         0.076096    0.00019785  48901.      688.98      285.93      2.3780      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      64      1       0       0       0       100         0.13902     0.00018795  48901.      754.28      313.03      2.1721      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      128     1       0       0       0       100         0.26608     0.0014346   48901.      788.18      327.09      2.0787      32768       16          
2760 MHz, 64
