2775 MHz, 61
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m4096    16      50      1       0       0       1       0       100         0.063715    4.7107e-05  8.8738e+05  102.86      64.029      63.715      65536       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m4096    16      50      2       0       0       1       0       100         0.10848     0.00013504  8.8738e+05  120.83      75.215      54.240      65536       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m4096    16      50      4       0       0       1       0       100         0.19613     0.0011806   8.8738e+05  133.65      83.200      49.034      65536       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m4096    16      50      8       0       0       1       0       100         0.37248     0.00019863  8.8738e+05  140.76      87.621      46.560      65536       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m4096    16      50      16      0       0       1       0       100         0.72639     0.00018488  8.8738e+05  144.35      89.860      45.400      65536       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m4096    16      50      32      0       0       1       0       100         1.4432      0.00096949  8.8738e+05  145.32      90.459      45.099      65536       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m4096    16      50      64      0       0       1       0       100         2.9043      0.0017733   8.8738e+05  144.42      89.899      45.380      65536       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m4096    16      50      128     0       0       1       0       69          5.8102      0.0059645   8.8738e+05  144.38      89.875      45.392      65536       16          
2760 MHz, 63
