type,side,n,q,batch,route,nb,ms,sd_pct
complex<float>,Right,512,4096,128,native,256,70.9171,0.9390711126089477
complex<float>,Right,512,256,512,vendor,-,148.202,0.19454730705388593
complex<float>,Right,512,1024,512,vendor,-,590.933,0.12271949611884936
complex<float>,Right,512,256,512,native,32,17.6593,2.7200738421115216
complex<float>,Right,512,1024,512,native,32,70.7322,0.9253734508469974
complex<float>,Right,512,256,512,native,64,17.4576,1.048758133993218
complex<float>,Right,512,1024,512,native,64,71.1272,0.9162106760845359
complex<float>,Right,512,256,512,native,128,17.4292,0.28231186744084635
complex<float>,Right,512,1024,512,native,128,71.2314,0.7615461720533361
complex<float>,Right,512,256,512,native,256,17.4827,1.5221161491074031
complex<float>,Right,512,1024,512,native,256,70.9241,0.773081364444526
