type,side,n,q,batch,route,nb,ms,sd_pct
float,Left,512,4096,128,native,32,24.2972,0.06746909108868512
float,Left,512,256,128,native,64,1.35856,3.667022435519962
float,Left,512,1024,128,native,64,4.23877,0.3579411008382149
float,Left,512,4096,128,native,64,18.8037,0.11025117397108015
float,Left,512,256,128,native,128,0.823752,1.2811987102914468
float,Left,512,1024,128,native,128,3.2969,0.5346719645727805
float,Left,512,4096,128,native,128,18.6019,0.1297512619678635
float,Left,512,256,128,native,256,1.13401,3.417438999656088
float,Left,512,1024,128,native,256,3.93047,0.2734990980722407
float,Left,512,4096,128,native,256,18.7694,0.10094888488710346
float,Left,512,256,512,vendor,-,3.8332,1.3699128665344882
float,Left,512,1024,512,vendor,-,14.2556,0.11827913241112264
float,Left,512,256,512,native,32,6.29361,0.842727782623963
float,Left,512,1024,512,native,32,24.4942,0.09088559740673302
float,Left,512,256,512,native,64,4.50031,1.9947981361284
float,Left,512,1024,512,native,64,18.9727,0.10212990243876728
float,Left,512,256,512,native,128,3.54369,1.028806131461838
float,Left,512,1024,512,native,128,18.7974,0.13567301860895656
float,Left,512,256,512,native,256,4.23434,1.2738915627937293
float,Left,512,1024,512,native,256,18.942,0.08665188470066519
float,Right,64,256,128,vendor,-,0.0798448,3.2491157846221674
float,Right,64,1024,128,vendor,-,0.250666,0.13972178117494993
float,Right,64,4096,128,vendor,-,1.68499,0.6931198404738307
float,Right,64,256,128,native,32,0.0503481,4.012941898502625
float,Right,64,1024,128,native,32,0.127122,1.9030065606267994
float,Right,64,4096,128,native,32,0.701988,0.25377641783050425
float,Right,64,256,128,native,64,0.0511029,2.8479792731919322
float,Right,64,1024,128,native,64,0.128613,2.908376291665695
float,Right,64,4096,128,native,64,0.71228,0.5237715505138428
float,Right,64,256,128,native,128,0.0512237,3.2033999886771167
float,Right,64,1024,128,native,128,0.128326,1.33088384271309
float,Right,64,4096,128,native,128,0.715735,0.5638735006671464
float,Right,64,256,128,native,256,0.0504632,0.5915597901044721
float,Right,64,1024,128,native,256,0.127042,0.16767683128414226
float,Right,64,4096,128,native,256,0.703044,0.09217460073622705
float,Right,64,256,512,vendor,-,0.250287,3.1876805427369383
float,Right,64,1024,512,vendor,-,1.69817,0.5181642591731098
float,Right,64,4096,512,vendor,-,6.57807,0.6254980564208041
float,Right,64,256,512,native,32,0.132305,3.897615358452061
float,Right,64,1024,512,native,32,0.713584,0.13961916186461582
float,Right,64,4096,512,native,32,2.83051,0.12863335582633517
float,Right,64,256,512,native,64,0.135523,3.3106631346708673
float,Right,64,1024,512,native,64,0.716638,0.27957211311708285
float,Right,64,4096,512,native,64,2.83139,0.12889252275384175
float,Right,64,256,512,native,128,0.135491,3.6337985548855647
float,Right,64,1024,512,native,128,0.716572,0.4952523961304657
float,Right,64,4096,512,native,128,2.83724,0.7075432462534013
float,Right,64,256,512,native,256,0.135568,3.6413165348754872
float,Right,64,1024,512,native,256,0.713243,0.10824908200991808
float,Right,64,4096,512,native,256,2.83099,0.11704032864828207
float,Right,128,256,128,vendor,-,0.167394,3.7455524092858763
float,Right,128,1024,128,vendor,-,0.865088,0.42550815639565
float,Right,128,4096,128,vendor,-,3.81099,0.2613743410504882
float,Right,128,256,128,native,32,0.16747,3.9306502657192333
float,Right,128,1024,128,native,32,0.550805,0.3004420802280299
float,Right,128,4096,128,native,32,2.48364,0.1008676780853908
float,Right,128,256,128,native,64,0.174438,3.9364702645065868
float,Right,128,1024,128,native,64,0.562678,0.11040648470350715
float,Right,128,4096,128,native,64,2.59217,0.15423486885505194
float,Right,128,256,128,native,128,0.167451,3.9107918137246127
float,Right,128,1024,128,native,128,0.552042,0.6306422337430847
float,Right,128,4096,128,native,128,2.48493,0.12409886797616031
float,Right,128,256,128,native,256,0.171641,4.119819856561079
float,Right,128,1024,128,native,256,0.550534,0.45080231193713743
float,Right,128,4096,128,native,256,2.48856,0.25464606037226345
float,Right,128,256,512,vendor,-,0.897288,1.7082140851097978
float,Right,128,1024,512,vendor,-,3.89535,0.48071931918826294
float,Right,128,4096,512,vendor,-,14.8571,0.26472528286139285
float,Right,128,256,512,native,32,0.561943,2.357445506038869
float,Right,128,1024,512,native,32,2.46399,0.3794913940397486
float,Right,128,4096,512,native,32,9.95033,0.1400265116835321
float,Right,128,256,512,native,64,0.574978,2.0935235782934307
float,Right,128,1024,512,native,64,2.56935,0.1631743437056065
float,Right,128,4096,512,native,64,10.3843,0.10084550715984708
float,Right,128,256,512,native,128,0.558849,2.239030578922034
float,Right,128,1024,512,native,128,2.46807,0.15299849680114422
float,Right,128,4096,512,native,128,9.94861,0.15532119562431335
float,Right,128,256,512,native,256,0.563185,2.8150075019753715
float,Right,128,1024,512,native,256,2.46812,0.1301638494076463
float,Right,128,4096,512,native,256,9.9394,0.07321126023703645
float,Right,256,256,128,vendor,-,0.355758,1.6019541373630388
float,Right,256,1024,128,vendor,-,2.09355,0.3413694442454205
float,Right,256,4096,128,vendor,-,8.51231,0.2744190472386462
float,Right,256,256,128,native,32,0.350934,3.5643739278610793
float,Right,256,1024,128,native,32,1.27819,0.526104100329372
float,Right,256,4096,128,native,32,5.42517,0.08263390824619321
float,Right,256,256,128,native,64,0.380297,3.139835444402664
float,Right,256,1024,128,native,64,1.31549,0.28030163665250213
float,Right,256,4096,128,native,64,5.61263,0.11669128376536489
float,Right,256,256,128,native,128,0.426802,3.546117403386113
float,Right,256,1024,128,native,128,1.47137,0.2771389929113683
float,Right,256,4096,128,native,128,6.2922,0.1923937573503703
float,Right,256,256,128,native,256,0.352601,3.6069097932223677
float,Right,256,1024,128,native,256,1.28488,0.18432304962331114
float,Right,256,4096,128,native,256,5.42054,0.05137753803126626
float,Right,256,256,512,vendor,-,2.24254,0.2665508753467051
float,Right,256,1024,512,vendor,-,8.76157,0.1799803003343008
float,Right,256,4096,512,vendor,-,33.2415,0.19208248725238028
float,Right,256,256,512,native,32,1.34384,0.15611977616382905
float,Right,256,1024,512,native,32,5.48867,0.08691067234867464
float,Right,256,4096,512,native,32,21.436,0.029865180070908753
float,Right,256,256,512,native,64,1.38792,3.017335293100466
float,Right,256,1024,512,native,64,5.72425,0.18160807092632225
float,Right,256,4096,512,native,64,22.4528,0.060437005629587405
float,Right,256,256,512,native,128,1.56121,2.918313359509611
float,Right,256,1024,512,native,128,6.30645,0.4763234466300375
float,Right,256,4096,512,native,128,25.2136,0.17839856268045817
float,Right,256,256,512,native,256,1.38316,2.277278116776078
float,Right,256,1024,512,native,256,5.49132,0.08279502924615575
float,Right,256,4096,512,native,256,21.4253,0.03738136688867834
float,Right,512,256,128,vendor,-,0.982672,2.5940089877395507
float,Right,512,1024,128,vendor,-,4.64495,0.5682106373588521
float,Right,512,4096,128,vendor,-,18.7613,0.18261261213242155
float,Right,512,256,128,native,32,0.914716,2.0269570008614695
float,Right,512,1024,128,native,32,3.74181,0.10314019151159465
float,Right,512,4096,128,native,32,14.9014,0.0889533869300871
float,Right,512,256,128,native,64,1.06674,0.506409246864278
float,Right,512,1024,128,native,64,3.56521,0.3827937204260058
float,Right,512,4096,128,native,64,14.4899,0.07453053506235378
float,Right,512,256,128,native,128,1.20278,3.2394785413791385
float,Right,512,1024,128,native,128,3.96344,0.19894031447429508
float,Right,512,4096,128,native,128,16.5459,0.16004387793955
float,Right,512,256,128,native,256,1.08553,0.23016775215793203
float,Right,512,1024,128,native,256,3.67754,0.30713194146086786
float,Right,512,4096,128,native,256,15.2337,0.07476647170418217
float,Right,512,256,512,vendor,-,5.06191,0.5154121665537317
float,Right,512,1024,512,vendor,-,18.9911,0.13340459478387245
float,Right,512,256,512,native,32,4.06452,1.430065542794721
float,Right,512,1024,512,native,32,15.1872,0.07614965233881163
float,Right,512,256,512,native,64,3.82736,2.125830859913883
float,Right,512,1024,512,native,64,14.7562,0.10385126252016101
float,Right,512,256,512,native,128,4.1839,3.2416166734386573
float,Right,512,1024,512,native,128,16.6357,0.09714409372614317
float,Right,512,256,512,native,256,3.98583,1.5433447989502813
float,Right,512,1024,512,native,256,15.464,0.13968507501293326
complex<float>,Left,64,256,128,vendor,-,0.917914,2.515486200232266
complex<float>,Left,64,1024,128,vendor,-,2.68748,1.0971356065905606
complex<float>,Left,64,4096,128,vendor,-,12.3227,1.0893391870288167
complex<float>,Left,64,256,128,native,32,0.200943,3.938833400516564
complex<float>,Left,64,1024,128,native,32,0.68153,0.23434771763532053
complex<float>,Left,64,4096,128,native,32,2.64356,0.4307827323760384
complex<float>,Left,64,256,128,native,64,0.20247,4.104514249024547
complex<float>,Left,64,1024,128,native,64,0.678486,0.517054147027352
complex<float>,Left,64,4096,128,native,64,2.64557,0.3889898963172397
complex<float>,Left,64,256,128,native,128,0.204503,4.033177997388791
complex<float>,Left,64,1024,128,native,128,0.682486,0.3093118393637378
complex<float>,Left,64,4096,128,native,128,2.64469,0.4643228506932759
complex<float>,Left,64,256,128,native,256,0.199591,3.3930938769784214
complex<float>,Left,64,1024,128,native,256,0.681758,0.30840122154782196
complex<float>,Left,64,4096,128,native,256,2.64657,0.4064695058131846
complex<float>,Left,64,256,512,vendor,-,2.98618,0.7474063854154807
complex<float>,Left,64,1024,512,vendor,-,12.4028,0.2608910891089109
complex<float>,Left,64,4096,512,vendor,-,50.2985,0.1351455808821337
complex<float>,Left,64,256,512,native,32,0.692509,2.8351400487213887
complex<float>,Left,64,1024,512,native,32,2.65153,0.47898006056880366
complex<float>,Left,64,4096,512,native,32,10.3939,0.2749333743830516
complex<float>,Left,64,256,512,native,64,0.693126,2.6470511854987406
complex<float>,Left,64,1024,512,native,64,2.65166,0.41780997563790223
complex<float>,Left,64,4096,512,native,64,10.3919,0.2604971179476323
