type,side,route,n,q,batch,ms,sd_pct
float,Left,native,128,1024,2048,6.61983,0.17425976195763335
float,Left,native,256,256,128,0.445949,2.2289207958757618
float,Left,native,256,1024,128,1.63072,0.3550382653061225
float,Left,native,256,4096,128,7.87467,0.19474974824341845
float,Left,native,256,256,512,1.74517,1.7559034363414452
float,Left,native,256,1024,512,7.9323,0.1467934899083494
float,Left,native,256,4096,512,31.3064,0.05977499808345898
float,Left,native,256,256,2048,8.29526,0.4982134375534944
float,Left,native,256,1024,2048,31.5586,0.07608734227754084
float,Left,native,512,256,128,1.46018,1.7052349710309689
float,Left,native,512,1024,128,5.96905,0.23143046213384041
float,Left,native,512,4096,128,24.2503,0.10011793668531936
float,Left,native,512,256,512,6.34303,0.7628467782747363
float,Left,native,512,1024,512,24.4959,0.11292338717907896
float,Left,native,512,256,2048,25.4906,0.094410488572258
float,Right,vendor,8,256,128,0.0209507,5.445068661190319
float,Right,vendor,8,1024,128,0.0314319,4.291722740273416
float,Right,vendor,8,4096,128,0.0744784,1.0182012502953877
float,Right,vendor,8,256,512,0.0314888,2.848165061863266
float,Right,vendor,8,1024,512,0.0742503,1.4086542411276453
float,Right,vendor,8,4096,512,0.256532,0.12949924375906322
float,Right,vendor,8,256,2048,0.0762227,2.4201320603967056
float,Right,vendor,8,1024,2048,0.259777,0.5575705316482984
float,Right,vendor,8,4096,2048,0.962238,0.4523984710643313
float,Right,vendor,16,256,128,0.0251717,3.4908091229436224
float,Right,vendor,16,1024,128,0.0483422,1.1920289105584767
float,Right,vendor,16,4096,128,0.143485,1.4696588493570757
float,Right,vendor,16,256,512,0.0489425,2.74793890790213
float,Right,vendor,16,1024,512,0.142941,0.16663308637829594
float,Right,vendor,16,4096,512,0.852594,0.15178267733528503
float,Right,vendor,16,256,2048,0.150094,4.3037429877276905
float,Right,vendor,16,1024,2048,0.832085,0.4182841897161949
float,Right,vendor,16,4096,2048,3.31302,0.6734550349831876
float,Right,vendor,32,256,128,0.0385696,3.5062847423877868
float,Right,vendor,32,1024,128,0.0981807,0.9198253831964939
