type,side,route,n,q,batch,ms,sd_pct
float,Left,vendor,8,256,128,0.0207536,2.2813391411610513
float,Left,vendor,8,1024,128,0.03118,5.149839640795381
float,Left,vendor,8,4096,128,0.0736802,0.4147505028487979
float,Left,vendor,8,256,512,0.0313129,3.2511201453713965
float,Left,vendor,8,1024,512,0.0734454,0.3492199647629396
float,Left,vendor,8,4096,512,0.249008,0.138773453061749
float,Left,vendor,8,256,2048,0.0754847,2.5597902621325908
float,Left,vendor,8,1024,2048,0.251282,0.1539242763110768
float,Left,vendor,8,4096,2048,0.942807,0.20951902139038
float,Left,vendor,16,256,128,0.0301894,18.165581296746538
float,Left,vendor,16,1024,128,0.0541118,16.843387209444153
float,Left,vendor,16,4096,128,0.14588,4.4506992048258835
float,Left,vendor,16,256,512,0.0484891,2.27642913562017
float,Left,vendor,16,1024,512,0.141736,0.23967093751763843
float,Left,vendor,16,4096,512,0.52858,0.12810473343675507
float,Left,vendor,16,256,2048,0.148835,3.957523431988444
float,Left,vendor,16,1024,2048,0.533875,0.1820605947084992
float,Left,vendor,16,4096,2048,2.03986,0.07920396497798868
float,Left,vendor,32,256,128,0.0381344,4.454796718972896
float,Left,vendor,32,1024,128,0.097423,0.25737351549428783
float,Left,vendor,32,4096,128,0.343654,0.1312482904316551
float,Left,vendor,32,256,512,0.103978,1.9672046009732826
float,Left,vendor,32,1024,512,0.348202,0.24101469836474226
float,Left,vendor,32,4096,512,1.29298,0.12245819734257297
float,Left,vendor,32,256,2048,0.35444,3.0205112289809284
float,Left,vendor,32,1024,2048,1.30541,0.1725779640113068
float,Left,vendor,32,4096,2048,5.05909,0.04795388103394089
float,Left,vendor,64,256,128,0.0764962,2.5094187685139913
float,Left,vendor,64,1024,128,0.245167,0.2907985169292768
float,Left,vendor,64,4096,128,0.93121,0.07988423663835224
float,Left,vendor,64,256,512,0.249275,3.7567184836024468
float,Left,vendor,64,1024,512,0.93665,0.12756952970693428
float,Left,vendor,64,4096,512,3.58573,0.03658948108195542
float,Left,vendor,64,256,2048,1.00778,1.7396554803627777
float,Left,vendor,64,1024,2048,3.59954,0.1510787489512549
float,Left,vendor,64,4096,2048,14.1607,0.1594306778619701
float,Left,vendor,128,256,128,0.16226,3.5232404782447926
float,Left,vendor,128,1024,128,0.589744,0.6154195718820369
float,Left,vendor,128,4096,128,2.29868,0.25255233438321123
float,Left,vendor,128,256,512,0.630685,28.29019240984009
