op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,ntpiv,extra2,flag
getrf,float,32,1,1024,0.0376,0.0375,0.0088,594.18,3.275e-07,4096,vendor:auto,0,29,0,0,ok
getrf,float,64,1,1024,0.4062,0.4082,0.0075,440.55,1.833e-07,4096,vendor:auto,0,60,0,0,ok
getrf,float,128,1,1024,1.7147,1.7140,0.0043,834.93,2.242e-07,4096,vendor:auto,0,124,0,0,ok
getrf,float,256,1,1024,17.1158,17.1898,0.0134,669.16,3.225e-07,4096,vendor:auto,0,249,0,0,ok
getrf,float,512,1,1024,132.2709,132.4567,0.0034,692.71,5.355e-07,4096,vendor:auto,0,504,0,0,ok
getrf,double,32,1,1024,0.0886,0.0885,0.0039,252.50,9.197e-16,4096,vendor:auto,0,29,0,0,ok
getrf,double,64,1,1024,0.5326,0.5326,0.0007,336.03,8.621e-16,4096,vendor:auto,0,60,0,0,ok
getrf,double,128,1,1024,2.6243,2.6229,0.0027,545.53,1.295e-15,4096,vendor:auto,0,124,0,0,ok
getrf,double,256,1,1024,21.5376,21.5476,0.0008,531.78,1.858e-15,4096,vendor:auto,0,249,0,0,ok
getrf,double,512,1,1024,112.8056,112.7423,0.0013,812.25,3.159e-15,4096,vendor:auto,0,504,0,0,ok
getrf,cfloat,32,1,1024,0.0412,0.0412,0.0034,542.45,3.059e-07,4096,vendor:auto,0,29,0,0,ok
getrf,cfloat,64,1,1024,0.3693,0.3690,0.0064,484.52,3.209e-07,4096,vendor:auto,0,60,0,0,ok
getrf,cfloat,128,1,1024,1.9183,1.9119,0.0054,746.30,3.720e-07,4096,vendor:auto,0,124,0,0,ok
getrf,cfloat,256,1,1024,20.2901,20.3174,0.0037,564.48,3.696e-07,4096,vendor:auto,0,249,0,0,ok
getrf,cfloat,512,1,1024,153.1457,153.1443,0.0022,598.29,5.957e-07,4096,vendor:auto,0,504,0,0,ok
getrf,cdouble,32,1,1024,0.1902,0.1902,0.0002,117.58,6.684e-16,4096,vendor:auto,0,29,0,0,ok
getrf,cdouble,64,1,1024,1.2415,1.2414,0.0009,144.15,9.777e-16,4096,vendor:auto,0,60,0,0,ok
getrf,cdouble,128,1,1024,6.3397,6.3388,0.0002,225.82,1.485e-15,4096,vendor:auto,0,124,0,0,ok
getrf,cdouble,256,1,1024,43.1445,43.1442,0.0004,265.46,1.956e-15,4096,vendor:auto,0,249,0,0,ok
getrf,cdouble,512,1,1024,317.9309,317.8911,0.0016,288.19,2.955e-15,4096,vendor:auto,0,504,0,0,ok
getri,float,32,1,1024,0.0658,0.0658,0.0029,680.27,3.201e-07,4096,vendor:auto|vendor:auto,3.275e-07,29,0.0e+00,ok
getri,float,64,1,1024,0.2548,0.2547,0.0018,1404.53,2.381e-07,4096,vendor:auto|vendor:auto,1.833e-07,60,0.0e+00,ok
getri,float,128,1,1024,1.4087,1.4083,0.0007,2032.59,3.378e-07,4096,vendor:auto|vendor:auto,2.242e-07,124,0.0e+00,ok
getri,float,256,1,1024,18.1802,18.1794,0.0018,1259.97,4.282e-07,4096,vendor:auto|vendor:auto,3.225e-07,249,0.0e+00,ok
getri,float,512,1,1024,156.2419,156.1507,0.0017,1172.87,6.872e-07,4096,vendor:auto|vendor:auto,5.355e-07,504,0.0e+00,ok
getri,double,32,1,1024,0.1314,0.1313,0.0003,340.60,6.807e-16,4096,vendor:auto|vendor:auto,9.197e-16,29,0.0e+00,ok
getri,double,64,1,1024,0.6805,0.6805,0.0001,525.96,9.077e-16,4096,vendor:auto|vendor:auto,8.621e-16,60,0.0e+00,ok
getri,double,128,1,1024,4.4636,4.4635,0.0001,641.47,1.115e-15,4096,vendor:auto|vendor:auto,1.295e-15,124,0.0e+00,ok
getri,double,256,1,1024,31.5117,31.5196,0.0006,726.92,2.236e-15,4096,vendor:auto|vendor:auto,1.858e-15,249,0.0e+00,ok
getri,double,512,1,1024,280.3434,280.3199,0.0001,653.67,2.777e-15,4096,vendor:auto|vendor:auto,3.159e-15,504,0.0e+00,ok
getri,cfloat,32,1,1024,0.0696,0.0696,0.0002,642.75,4.147e-07,4096,vendor:auto|vendor:auto,3.059e-07,29,0.0e+00,ok
getri,cfloat,64,1,1024,0.2762,0.2764,0.0013,1295.71,3.528e-07,4096,vendor:auto|vendor:auto,3.209e-07,60,0.0e+00,ok
getri,cfloat,128,1,1024,3.0497,3.0495,0.0004,938.90,4.492e-07,4096,vendor:auto|vendor:auto,3.720e-07,124,0.0e+00,ok
getri,cfloat,256,1,1024,29.1657,29.1637,0.0009,785.39,3.933e-07,4096,vendor:auto|vendor:auto,3.696e-07,249,0.0e+00,ok
getri,cfloat,512,1,1024,256.4750,256.5570,0.0007,714.50,5.954e-07,4096,vendor:auto|vendor:auto,5.957e-07,504,0.0e+00,ok
getri,cdouble,32,1,1024,0.4434,0.4434,0.0003,100.90,5.397e-16,4096,vendor:auto|vendor:auto,6.684e-16,29,0.0e+00,ok
getri,cdouble,64,1,1024,2.5931,2.5926,0.0004,138.02,9.110e-16,4096,vendor:auto|vendor:auto,9.777e-16,60,0.0e+00,ok
getri,cdouble,128,1,1024,17.1929,17.1944,0.0001,166.54,9.603e-16,4096,vendor:auto|vendor:auto,1.485e-15,124,0.0e+00,ok
getri,cdouble,256,1,1024,123.1520,123.2268,0.0009,186.00,2.202e-15,4096,vendor:auto|vendor:auto,1.956e-15,249,0.0e+00,ok
getri,cdouble,512,1,1024,930.1892,930.2044,0.0000,197.01,2.358e-15,4096,vendor:auto|vendor:auto,2.955e-15,504,0.0e+00,ok
