# ORDER axis, batch FIXED at 1024
op,type,n,nrhs,batch,vendor_ms,native_ms,speedup,vendor_GFLOPs,native_GFLOPs,vendor_route,native_route,vendor_resid,native_resid,vendor_ws,native_ws
getrf,double,512,1,1024,112.8056,187.4840,0.602,812.2,488.7,vendor:auto,native:blocked,3.16e-15,3.29e-15,4096,36864
getrf,float,32,1,1024,0.0376,0.0536,0.701,594.2,417.5,vendor:auto,native:cta,3.27e-07,3.28e-07,4096,36864
getrf,float,64,1,1024,0.4062,0.2312,1.757,440.6,774.2,vendor:auto,native:cta,1.83e-07,3.58e-07,4096,36864
getrf,float,128,1,1024,1.7147,1.9633,0.873,834.9,729.2,vendor:auto,native:cta,2.24e-07,9.68e-07,4096,36864
getrf,float,256,1,1024,17.1158,14.0235,1.221,669.2,816.7,vendor:auto,native:blocked,3.22e-07,3.08e-07,4096,36864
getrf,float,512,1,1024,132.2709,90.0043,1.470,692.7,1018.0,vendor:auto,native:blocked,5.35e-07,4.49e-07,4096,36864
getri,cdouble,32,1,1024,0.4434,1.8109,0.245,100.9,24.7,vendor:auto|vendor:auto,native:cta|native:blocked,5.40e-16,6.95e-16,4096,0
getri,cdouble,64,1,1024,2.5931,5.4775,0.473,138.0,65.3,vendor:auto|vendor:auto,native:cta|native:blocked,9.11e-16,8.29e-16,4096,0
getri,cdouble,128,1,1024,17.1929,27.5212,0.625,166.5,104.0,vendor:auto|vendor:auto,native:blocked|native:blocked,9.60e-16,1.18e-15,4096,0
getri,cdouble,256,1,1024,123.1520,145.6249,0.846,186.0,157.3,vendor:auto|vendor:auto,native:blocked|native:blocked,2.20e-15,2.04e-15,4096,0
getri,cdouble,512,1,1024,930.1892,973.1911,0.956,197.0,188.3,vendor:auto|vendor:auto,native:blocked|native:blocked,2.36e-15,2.17e-15,4096,0
getri,cfloat,32,1,1024,0.0696,0.2259,0.308,642.8,198.1,vendor:auto|vendor:auto,native:cta|native:blocked,4.15e-07,2.98e-07,4096,0
getri,cfloat,64,1,1024,0.2762,0.7013,0.394,1295.7,510.4,vendor:auto|vendor:auto,native:cta|native:blocked,3.53e-07,3.83e-07,4096,0
getri,cfloat,128,1,1024,3.0497,3.2055,0.951,938.9,893.3,vendor:auto|vendor:auto,native:blocked|native:blocked,4.49e-07,2.77e-07,4096,0
getri,cfloat,256,1,1024,29.1657,15.0970,1.932,785.4,1517.3,vendor:auto|vendor:auto,native:blocked|native:blocked,3.93e-07,5.11e-07,4096,0
getri,cfloat,512,1,1024,256.4750,67.0843,3.823,714.5,2731.7,vendor:auto|vendor:auto,native:blocked|native:blocked,5.95e-07,4.71e-07,4096,0
getri,double,32,1,1024,0.1314,0.4902,0.268,340.6,91.3,vendor:auto|vendor:auto,native:cta|native:blocked,6.81e-16,6.81e-16,4096,0
getri,double,64,1,1024,0.6805,1.2033,0.566,526.0,297.4,vendor:auto|vendor:auto,native:blocked|native:blocked,9.08e-16,8.92e-16,4096,0
getri,double,128,1,1024,4.4636,4.8081,0.928,641.5,595.5,vendor:auto|vendor:auto,native:blocked|native:blocked,1.11e-15,1.02e-15,4096,0
getri,double,256,1,1024,31.5117,28.7143,1.097,726.9,797.7,vendor:auto|vendor:auto,native:blocked|native:blocked,2.24e-15,2.46e-15,4096,0
getri,double,512,1,1024,280.3434,216.1875,1.297,653.7,847.6,vendor:auto|vendor:auto,native:blocked|native:blocked,2.78e-15,2.67e-15,4096,0
getri,float,32,1,1024,0.0658,0.0946,0.696,680.3,472.8,vendor:auto|vendor:auto,native:cta|native:blocked,3.20e-07,3.22e-07,4096,0
getri,float,64,1,1024,0.2548,0.2357,1.081,1404.5,1518.6,vendor:auto|vendor:auto,native:cta|native:blocked,2.38e-07,5.76e-07,4096,0
getri,float,128,1,1024,1.4087,0.9055,1.556,2032.6,3162.2,vendor:auto|vendor:auto,native:cta|native:blocked,3.38e-07,6.88e-07,4096,0
getri,float,256,1,1024,18.1802,5.9064,3.078,1260.0,3878.3,vendor:auto|vendor:auto,native:blocked|native:blocked,4.28e-07,3.82e-07,4096,0
getri,float,512,1,1024,156.2419,39.3529,3.970,1172.9,4656.6,vendor:auto|vendor:auto,native:blocked|native:blocked,6.87e-07,4.45e-07,4096,0

GEOMEAN getrf: 0.668x over 20 cells, 4 wins, worst 0.365x, best 1.757x
GEOMEAN getri: 0.907x over 20 cells, 8 wins, worst 0.245x, best 3.970x

DISCARDED: none
