op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,ntpiv,extra2,flag
getrf,float,1024,1,512,368.8801,369.0268,0.0018,993.56,6.201e-07,2048,vendor:auto,0,1015,0,0,ok
getrf,float,1024,1,1024,993.7909,994.1719,0.0010,737.59,6.081e-07,4096,vendor:auto,0,1014,0,0,ok
getrf,float,2048,1,128,683.5469,683.5568,0.0002,1072.36,1.087e-06,512,vendor:auto,0,2045,0,0,ok
getrf,float,2048,1,256,1307.4968,1307.8952,0.0013,1121.24,1.087e-06,1024,vendor:auto,0,2042,0,0,ok
getri,float,1024,1,512,611.4769,611.4771,0.0010,1198.75,9.121e-07,2048,vendor:auto|vendor:auto,6.201e-07,1015,0.0e+00,ok
getri,float,1024,1,1024,1443.4435,1445.5636,0.0023,1015.64,6.597e-07,4096,vendor:auto|vendor:auto,6.081e-07,1014,0.0e+00,ok
getri,float,2048,1,128,1722.7005,1723.0892,0.0009,851.00,1.062e-06,512,vendor:auto|vendor:auto,1.087e-06,2045,0.0e+00,ok
getri,float,2048,1,256,2784.1143,2782.3619,0.0009,1053.13,1.167e-06,1024,vendor:auto|vendor:auto,1.087e-06,2042,0.0e+00,ok
getrf,cdouble,1024,1,384,935.5551,935.5228,0.0001,293.81,3.758e-15,1536,vendor:auto,0,1014,0,0,ok
getrf,cdouble,2048,1,128,2800.9076,2800.8679,0.0000,261.70,5.322e-15,512,vendor:auto,0,2045,0,0,ok
getri,cdouble,1024,1,384,2725.7210,2726.0846,0.0002,201.69,3.219e-15,1536,vendor:auto|vendor:auto,3.758e-15,1014,0.0e+00,ok
