# ORDER axis, batch FIXED at 32
op,type,n,nrhs,batch,vendor_ms,native_ms,speedup,vendor_GFLOPs,native_GFLOPs,vendor_route,native_route,vendor_resid,native_resid,vendor_ws,native_ws
getrf,double,128,1,32,0.4506,0.9018,0.500,99.3,49.6,vendor:auto,native:blocked,1.09e-15,1.19e-15,512,2560
getrf,double,256,1,32,2.3352,2.5017,0.933,153.3,143.1,vendor:auto,native:blocked,1.85e-15,2.15e-15,512,2560
getrf,double,512,1,32,12.1232,7.5355,1.609,236.2,380.0,vendor:auto,native:blocked,4.78e-15,5.00e-15,512,2560
getrf,double,1024,1,32,79.6650,35.6836,2.233,287.5,641.9,vendor:auto,native:blocked,4.29e-15,4.18e-15,512,2560
getrf,double,2048,1,32,588.2995,212.6422,2.767,311.5,861.8,vendor:auto,native:blocked,1.12e-14,1.12e-14,512,2560
getrf,float,32,1,32,0.0330,0.0364,0.907,21.2,19.2,vendor:auto,native:cta,3.27e-07,3.28e-07,512,2560
getrf,float,64,1,32,0.0810,0.0764,1.060,69.0,73.2,vendor:auto,native:cta,1.83e-07,3.73e-07,512,2560
getrf,float,128,1,32,0.2343,0.2419,0.969,191.0,184.9,vendor:auto,native:cta,3.07e-07,5.52e-07,512,2560
getrf,float,256,1,32,1.2057,1.0754,1.121,296.9,332.8,vendor:auto,native:blocked,4.46e-07,3.50e-07,512,2560
getrf,float,512,1,32,7.0422,2.6651,2.642,406.6,1074.4,vendor:auto,native:blocked,4.37e-07,4.28e-07,512,2560
getrf,float,1024,1,32,64.0448,10.6393,6.020,357.7,2153.0,vendor:auto,native:blocked,5.04e-07,6.90e-07,512,2560
getrf,float,2048,1,32,519.3576,70.7807,7.338,352.8,2589.0,vendor:auto,native:blocked,1.09e-06,6.24e-07,512,2560
getri,cdouble,32,1,32,0.0925,0.0930,0.995,15.1,15.0,vendor:auto|vendor:auto,native:cta|native:blocked,1.10e-15,6.79e-16,512,0
getri,cdouble,64,1,32,0.4125,0.2892,1.426,27.1,38.7,vendor:auto|vendor:auto,native:cta|native:blocked,9.43e-16,8.42e-16,512,0
getri,cdouble,128,1,32,2.4804,1.4431,1.719,36.1,62.0,vendor:auto|vendor:auto,native:blocked|native:blocked,1.08e-15,1.07e-15,512,0
