op,type,n,grid_batch,ratio_at_common_batch,v_best_batch,v_best_us_item,n_best_batch,n_best_us_item,ratio_at_own_ceilings,v_real_GFLOPs_at_best,v_pct_roofline,n_real_GFLOPs_at_best,n_pct_roofline,vendor_wall_flat_to_batch
getri,cfloat,512,512,3.109,512,209.37,1024,65.71,3.186,3419.0,4.1%,10893.0,13.2%,64
getri,cfloat,1024,128,6.118,256,1820.57,128,354.23,5.139,3145.5,3.8%,16166.2,19.6%,16
getri,cfloat,2048,32,25.644,64,28407.65,64,2119.95,13.400,1612.7,2.0%,21610.4,26.2%,8
getri,double,32,8192,0.230,16384,0.11,4096,0.46,0.231,406.9,31.5%,94.2,7.3%,512
getri,double,64,8192,0.529,16384,0.63,1024,1.18,0.535,555.9,43.1%,297.3,23.0%,512
getri,double,128,4096,0.905,8192,4.16,256,3.90,1.069,671.6,52.1%,717.8,55.6%,256
getri,double,256,2048,1.163,1024,30.71,256,27.59,1.113,728.4,56.5%,810.7,62.8%,128
getri,double,512,512,1.294,1024,273.71,128,210.40,1.301,653.8,50.7%,850.6,65.9%,128
getri,double,1024,128,1.157,256,1891.37,128,1636.69,1.156,756.9,58.7%,874.7,67.8%,128
getri,double,2048,32,4.257,64,27683.62,32,12900.16,2.146,413.7,32.1%,887.8,68.8%,64
getri,float,32,8192,0.565,16384,0.04,8192,0.08,0.546,1049.9,1.3%,573.4,0.7%,512
getri,float,64,8192,0.862,16384,0.21,2048,0.21,0.968,1694.4,2.1%,1640.3,2.0%,512
getri,float,128,4096,1.272,8192,1.24,512,0.87,1.428,2246.2,2.7%,3208.6,3.9%,256
getri,float,256,2048,2.884,256,14.05,256,4.12,3.410,1592.3,1.9%,5429.1,6.6%,128
getri,float,512,512,4.106,512,134.88,64,24.63,5.477,1326.8,1.6%,7266.8,8.8%,64
getri,float,1024,128,9.116,512,1194.29,32,180.21,6.627,1198.7,1.5%,7944.5,9.6%,16
getri,float,2048,32,33.842,256,10875.45,64,1344.48,8.089,1053.1,1.3%,8518.7,10.3%,4
