op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,ntpiv,extra2,flag
getrf,float,32,1,512,0.0382,0.0382,0.0010,292.73,3.684e-07,18432,native:cta,0,29,0,0,ok
getrf,float,32,1,1024,0.0512,0.0513,0.0024,436.85,3.276e-07,36864,native:cta,0,29,0,0,ok
getrf,float,32,1,2048,0.0863,0.0864,0.0020,518.30,3.276e-07,73728,native:cta,0,29,0,0,ok
getrf,float,32,1,4096,0.1574,0.1573,0.0013,568.55,3.276e-07,147456,native:cta,0,28,0,0,ok
getrf,float,32,1,8192,0.2890,0.2903,0.0070,619.12,3.276e-07,294912,native:cta,0,29,0,0,ok
getrf,float,32,1,16384,0.5664,0.5664,0.0007,631.86,3.276e-07,589824,native:cta,0,29,0,0,ok
getrf,float,64,1,512,0.1275,0.1273,0.0027,702.02,3.228e-07,18432,native:cta,0,59,0,0,ok
getrf,float,64,1,1024,0.2301,0.2298,0.0026,777.90,3.584e-07,36864,native:cta,0,60,0,0,ok
getrf,float,64,1,2048,0.4301,0.4302,0.0003,832.15,3.228e-07,73728,native:cta,0,55,0,0,ok
getrf,float,64,1,4096,0.8372,0.8372,0.0004,854.99,3.228e-07,147456,native:cta,0,60,0,0,ok
getrf,float,64,1,8192,1.6297,1.6291,0.0008,878.49,4.097e-07,294912,native:cta,0,58,0,0,ok
getrf,float,64,1,16384,3.2140,3.2136,0.0003,890.89,3.228e-07,589824,native:cta,0,59,0,0,ok
getrf,float,128,1,256,0.4831,0.4835,0.0025,740.83,6.818e-07,9216,native:cta,0,119,0,0,ok
getrf,float,128,1,512,0.9500,0.9507,0.0013,753.51,5.169e-07,18432,native:cta,0,116,0,0,ok
getrf,float,128,1,1024,1.9655,1.9656,0.0003,728.39,9.683e-07,36864,native:cta,0,124,0,0,ok
getrf,float,128,1,2048,3.9382,3.9385,0.0002,727.07,6.153e-07,73728,native:cta,0,125,0,0,ok
getrf,float,128,1,4096,7.8623,7.8622,0.0001,728.36,3.714e-07,147456,native:cta,0,124,0,0,ok
getrf,float,128,1,8192,15.7123,15.7120,0.0000,728.94,3.420e-07,294912,native:cta,0,122,0,0,ok
getrf,float,256,1,128,1.2779,1.2779,0.0001,1120.36,3.078e-07,4608,native:blocked,0,246,0,0,ok
getrf,float,256,1,256,2.0415,2.0413,0.0006,1402.53,3.078e-07,9216,native:blocked,0,251,0,0,ok
getrf,float,256,1,512,4.8882,4.8858,0.0011,1171.53,3.763e-07,18432,native:blocked,0,251,0,0,ok
getrf,float,256,1,1024,13.8473,13.8454,0.0007,827.11,3.078e-07,36864,native:blocked,0,249,0,0,ok
getrf,float,256,1,2048,32.6527,32.6519,0.0006,701.52,3.648e-07,73728,native:blocked,0,250,0,0,ok
getrf,float,256,1,4096,68.1694,68.1637,0.0002,672.05,3.661e-07,147456,native:blocked,0,245,0,0,ok
