n,batch,beta,arm,rep,gflops
24,512,0,vendor,1,358.71
24,512,0,vendor,2,365.23
24,512,0,vendor,3,366.31
24,512,0,sycl,1,709.48
24,512,0,sycl,2,709.23
24,512,0,sycl,3,707.44
24,512,1,vendor,1,362.06
24,512,1,vendor,2,362.13
24,512,1,vendor,3,361.55
24,512,1,sycl,1,707.83
24,512,1,sycl,2,706.05
24,512,1,sycl,3,707.51
24,4096,0,vendor,1,447.44
24,4096,0,vendor,2,446.42
24,4096,0,vendor,3,446.84
24,4096,0,sycl,1,1127.1
24,4096,0,sycl,2,1137.7
24,4096,0,sycl,3,1115.6
24,4096,1,vendor,1,440.40
24,4096,1,vendor,2,441.04
24,4096,1,vendor,3,439.96
24,4096,1,sycl,1,1128.5
24,4096,1,sycl,2,1112.6
24,4096,1,sycl,3,1127.0
32,512,0,vendor,1,850.73
32,512,0,vendor,2,846.79
32,512,0,vendor,3,850.81
32,512,0,sycl,1,973.25
32,512,0,sycl,2,974.79
32,512,0,sycl,3,973.54
32,512,1,vendor,1,836.72
32,512,1,vendor,2,842.63
32,512,1,vendor,3,842.00
32,512,1,sycl,1,975.05
32,512,1,sycl,2,975.38
32,512,1,sycl,3,972.26
32,4096,0,vendor,1,1019.0
32,4096,0,vendor,2,1011.4
32,4096,0,vendor,3,1018.4
32,4096,0,sycl,1,1213.2
32,4096,0,sycl,2,1212.3
32,4096,0,sycl,3,1212.6
32,4096,1,vendor,1,982.51
32,4096,1,vendor,2,986.79
32,4096,1,vendor,3,982.36
32,4096,1,sycl,1,1211.8
32,4096,1,sycl,2,1213.2
32,4096,1,sycl,3,1212.5
