wg,bytes,rep,ok,err
32,48880,0,1,
32,48888,0,1,
32,48896,0,1,
32,48904,0,0,unknown internal error
32,48912,0,0,unknown internal error
32,48920,0,0,unknown internal error
32,48928,0,0,unknown internal error
32,48936,0,0,unknown internal error
32,48944,0,0,unknown internal error
32,48952,0,0,unknown internal error
32,48960,0,0,unknown internal error
32,48968,0,0,unknown internal error
32,48976,0,0,unknown internal error
32,48984,0,0,unknown internal error
32,48992,0,0,unknown internal error
32,49000,0,0,unknown internal error
32,49008,0,0,unknown internal error
32,49016,0,0,unknown internal error
32,49024,0,0,unknown internal error
32,49032,0,0,unknown internal error
32,49040,0,0,unknown internal error
32,49048,0,0,unknown internal error
32,49056,0,0,unknown internal error
32,49064,0,0,unknown internal error
32,49072,0,0,unknown internal error
32,49080,0,0,unknown internal error
32,49088,0,0,unknown internal error
32,49096,0,0,unknown internal error
32,49104,0,0,unknown internal error
32,49112,0,0,unknown internal error
32,49120,0,0,unknown internal error
32,49128,0,0,unknown internal error
32,49136,0,0,unknown internal error
32,49144,0,0,unknown internal error
32,49152,0,0,unknown internal error
32,49160,0,1,
32,49168,0,1,
64,48880,0,1,
64,48888,0,1,
64,48896,0,1,
64,48904,0,0,unknown internal error
64,48912,0,0,unknown internal error
64,48920,0,0,unknown internal error
64,48928,0,0,unknown internal error
64,48936,0,0,unknown internal error
64,48944,0,0,unknown internal error
64,48952,0,0,unknown internal error
64,48960,0,0,unknown internal error
64,48968,0,0,unknown internal error
64,48976,0,0,unknown internal error
64,48984,0,0,unknown internal error
64,48992,0,0,unknown internal error
64,49000,0,0,unknown internal error
64,49008,0,0,unknown internal error
64,49016,0,0,unknown internal error
64,49024,0,0,unknown internal error
64,49032,0,0,unknown internal error
64,49040,0,0,unknown internal error
64,49048,0,0,unknown internal error
64,49056,0,0,unknown internal error
64,49064,0,0,unknown internal error
64,49072,0,0,unknown internal error
64,49080,0,0,unknown internal error
64,49088,0,0,unknown internal error
64,49096,0,0,unknown internal error
64,49104,0,0,unknown internal error
64,49112,0,0,unknown internal error
64,49120,0,0,unknown internal error
64,49128,0,0,unknown internal error
64,49136,0,0,unknown internal error
64,49144,0,0,unknown internal error
64,49152,0,0,unknown internal error
64,49160,0,1,
64,49168,0,1,
128,48880,0,1,
128,48888,0,1,
128,48896,0,1,
128,48904,0,0,unknown internal error
128,48912,0,0,unknown internal error
128,48920,0,0,unknown internal error
128,48928,0,0,unknown internal error
128,48936,0,0,unknown internal error
128,48944,0,0,unknown internal error
128,48952,0,0,unknown internal error
128,48960,0,0,unknown internal error
128,48968,0,0,unknown internal error
128,48976,0,0,unknown internal error
128,48984,0,0,unknown internal error
128,48992,0,0,unknown internal error
128,49000,0,0,unknown internal error
128,49008,0,0,unknown internal error
128,49016,0,0,unknown internal error
128,49024,0,0,unknown internal error
128,49032,0,0,unknown internal error
128,49040,0,0,unknown internal error
128,49048,0,0,unknown internal error
128,49056,0,0,unknown internal error
128,49064,0,0,unknown internal error
128,49072,0,0,unknown internal error
128,49080,0,0,unknown internal error
128,49088,0,0,unknown internal error
128,49096,0,0,unknown internal error
128,49104,0,0,unknown internal error
128,49112,0,0,unknown internal error
128,49120,0,0,unknown internal error
128,49128,0,0,unknown internal error
128,49136,0,0,unknown internal error
128,49144,0,0,unknown internal error
128,49152,0,0,unknown internal error
128,49160,0,1,
128,49168,0,1,
256,48880,0,1,
256,48888,0,1,
256,48896,0,1,
256,48904,0,0,unknown internal error
256,48912,0,0,unknown internal error
256,48920,0,0,unknown internal error
256,48928,0,0,unknown internal error
256,48936,0,0,unknown internal error
256,48944,0,0,unknown internal error
256,48952,0,0,unknown internal error
256,48960,0,0,unknown internal error
256,48968,0,0,unknown internal error
256,48976,0,0,unknown internal error
256,48984,0,0,unknown internal error
256,48992,0,0,unknown internal error
256,49000,0,0,unknown internal error
256,49008,0,0,unknown internal error
256,49016,0,0,unknown internal error
256,49024,0,0,unknown internal error
256,49032,0,0,unknown internal error
256,49040,0,0,unknown internal error
256,49048,0,0,unknown internal error
256,49056,0,0,unknown internal error
256,49064,0,0,unknown internal error
256,49072,0,0,unknown internal error
256,49080,0,0,unknown internal error
256,49088,0,0,unknown internal error
256,49096,0,0,unknown internal error
256,49104,0,0,unknown internal error
256,49112,0,0,unknown internal error
256,49120,0,0,unknown internal error
256,49128,0,0,unknown internal error
256,49136,0,0,unknown internal error
256,49144,0,0,unknown internal error
256,49152,0,0,unknown internal error
256,49160,0,1,
256,49168,0,1,
1024,48880,0,1,
1024,48888,0,1,
1024,48896,0,1,
1024,48904,0,0,unknown internal error
1024,48912,0,0,unknown internal error
1024,48920,0,0,unknown internal error
1024,48928,0,0,unknown internal error
1024,48936,0,0,unknown internal error
1024,48944,0,0,unknown internal error
1024,48952,0,0,unknown internal error
1024,48960,0,0,unknown internal error
1024,48968,0,0,unknown internal error
1024,48976,0,0,unknown internal error
1024,48984,0,0,unknown internal error
1024,48992,0,0,unknown internal error
1024,49000,0,0,unknown internal error
1024,49008,0,0,unknown internal error
1024,49016,0,0,unknown internal error
1024,49024,0,0,unknown internal error
1024,49032,0,0,unknown internal error
1024,49040,0,0,unknown internal error
1024,49048,0,0,unknown internal error
1024,49056,0,0,unknown internal error
1024,49064,0,0,unknown internal error
1024,49072,0,0,unknown internal error
1024,49080,0,0,unknown internal error
1024,49088,0,0,unknown internal error
1024,49096,0,0,unknown internal error
1024,49104,0,0,unknown internal error
1024,49112,0,0,unknown internal error
1024,49120,0,0,unknown internal error
1024,49128,0,0,unknown internal error
1024,49136,0,0,unknown internal error
1024,49144,0,0,unknown internal error
1024,49152,0,0,unknown internal error
1024,49160,0,1,
1024,49168,0,1,
