wg,bytes,rep,ok,err
32,48000,0,1,
32,48000,1,1,
32,48064,0,1,
32,48064,1,1,
32,48128,0,1,
32,48128,1,1,
32,48192,0,1,
32,48192,1,1,
32,48256,0,1,
32,48256,1,1,
32,48320,0,1,
32,48320,1,1,
32,48384,0,1,
32,48384,1,1,
32,48448,0,1,
32,48448,1,1,
32,48512,0,1,
32,48512,1,1,
32,48576,0,1,
32,48576,1,1,
32,48640,0,1,
32,48640,1,1,
32,48704,0,1,
32,48704,1,1,
32,48768,0,1,
32,48768,1,1,
32,48832,0,1,
32,48832,1,1,
32,48896,0,1,
32,48896,1,1,
32,48960,0,0,unknown internal error
32,48960,1,0,unknown internal error
32,49024,0,0,unknown internal error
32,49024,1,0,unknown internal error
32,49088,0,0,unknown internal error
32,49088,1,0,unknown internal error
32,49152,0,0,unknown internal error
32,49152,1,0,unknown internal error
32,49216,0,1,
32,49216,1,1,
32,49280,0,1,
32,49280,1,1,
32,49344,0,1,
32,49344,1,1,
32,49408,0,1,
32,49408,1,1,
32,49472,0,1,
32,49472,1,1,
32,49536,0,1,
32,49536,1,1,
32,49600,0,1,
32,49600,1,1,
32,49664,0,1,
32,49664,1,1,
32,49728,0,1,
32,49728,1,1,
32,49792,0,1,
32,49792,1,1,
32,49856,0,1,
32,49856,1,1,
32,49920,0,1,
32,49920,1,1,
32,49984,0,1,
32,49984,1,1,
32,50048,0,1,
32,50048,1,1,
