op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws_bytes,route,extra,ntpiv,flag
getrf,float,256,1,512,6.1436,6.1351,0.0039,932.12,3.521e-07,2048,vendor:auto,0,251,ok
getri,float,256,1,512,8.0097,8.0177,0.0049,1429.93,4.302e-07,2048,vendor:auto,3.521e-07,251,ok
getrf,float,256,1,1024,17.6239,17.5345,0.0170,649.87,3.225e-07,4096,vendor:auto,0,249,ok
getri,float,256,1,1024,18.1879,18.1580,0.0024,1259.43,4.282e-07,4096,vendor:auto,3.225e-07,249,ok
getrf,float,256,1,2048,31.4096,31.4608,0.0094,729.28,3.395e-07,8192,vendor:auto,0,250,ok
getri,float,256,1,2048,41.7457,41.7034,0.0020,1097.43,4.253e-07,8192,vendor:auto,3.395e-07,250,ok
getrf,float,1024,1,1,48.9200,48.9218,0.0001,14.63,5.042e-07,512,vendor:auto,0,1016,ok
getrf,float,1024,1,2,50.2029,50.2030,0.0001,28.52,6.285e-07,512,vendor:auto,0,1016,ok
getrf,float,1024,1,4,50.2087,50.2115,0.0002,57.03,6.257e-07,512,vendor:auto,0,1018,ok
getrf,float,1024,1,8,50.2234,50.2753,0.0016,114.02,6.703e-07,512,vendor:auto,0,1016,ok
getrf,float,1024,1,16,51.4856,51.4786,0.0003,222.46,6.591e-07,512,vendor:auto,0,1016,ok
getrf,float,1024,1,32,63.4057,63.3903,0.0004,361.27,5.042e-07,512,vendor:auto,0,1012,ok
getrf,float,1024,1,64,71.7344,71.7285,0.0002,638.65,5.685e-07,512,vendor:auto,0,1012,ok
getrf,float,1024,1,128,94.6219,94.6876,0.0016,968.34,7.493e-07,512,vendor:auto,0,1019,ok
getrf,float,1024,1,256,170.2554,170.3542,0.0015,1076.34,7.288e-07,1024,vendor:auto,0,1014,ok
getrf,float,2048,1,1,363.0451,363.0408,0.0000,15.77,1.087e-06,512,vendor:auto,0,2041,ok
getrf,float,2048,1,2,373.4094,373.4088,0.0000,30.67,1.087e-06,512,vendor:auto,0,2036,ok
getrf,float,2048,1,4,383.2079,383.1875,0.0001,59.78,1.087e-06,512,vendor:auto,0,2036,ok
getrf,float,2048,1,8,451.2401,451.2984,0.0003,101.53,1.087e-06,512,vendor:auto,0,2039,ok
getrf,float,2048,1,16,486.9529,486.9389,0.0001,188.16,1.087e-06,512,vendor:auto,0,2039,ok
getrf,float,2048,1,32,519.0712,519.0831,0.0001,353.04,1.087e-06,512,vendor:auto,0,2041,ok
getrf,float,2048,1,64,550.4645,550.4509,0.0002,665.81,1.087e-06,512,vendor:auto,0,2039,ok
getrf,cdouble,64,1,1,0.2259,0.2271,0.0082,0.77,1.061e-15,512,vendor:auto,0,59,ok
getri,cdouble,64,1,1,0.4120,0.4119,0.0005,0.85,9.243e-16,512,vendor:auto,1.061e-15,59,ok
getrf,cdouble,64,1,2,0.2262,0.2263,0.0012,1.55,1.061e-15,512,vendor:auto,0,57,ok
getri,cdouble,64,1,2,0.4128,0.4143,0.0079,1.69,1.146e-15,512,vendor:auto,1.061e-15,57,ok
getrf,cdouble,64,1,4,0.2257,0.2258,0.0014,3.10,1.061e-15,512,vendor:auto,0,58,ok
getri,cdouble,64,1,4,0.4134,0.4138,0.0024,3.38,9.111e-16,512,vendor:auto,1.061e-15,58,ok
getrf,cdouble,64,1,8,0.2279,0.2278,0.0016,6.14,1.061e-15,512,vendor:auto,0,59,ok
getri,cdouble,64,1,8,0.4131,0.4133,0.0008,6.77,1.269e-15,512,vendor:auto,1.061e-15,59,ok
getrf,cdouble,64,1,16,0.2260,0.2260,0.0014,12.37,1.077e-15,512,vendor:auto,0,61,ok
getri,cdouble,64,1,16,0.4128,0.4131,0.0019,13.55,1.126e-15,512,vendor:auto,1.077e-15,61,ok
getrf,cdouble,64,1,32,0.2263,0.2263,0.0019,24.71,1.061e-15,512,vendor:auto,0,58,ok
getri,cdouble,64,1,32,0.4134,0.4134,0.0007,27.06,9.428e-16,512,vendor:auto,1.061e-15,58,ok
getrf,cdouble,64,1,64,0.2278,0.2280,0.0022,49.10,1.061e-15,512,vendor:auto,0,60,ok
getri,cdouble,64,1,64,0.4135,0.4135,0.0004,54.10,1.146e-15,512,vendor:auto,1.061e-15,60,ok
getrf,cdouble,64,1,128,0.2293,0.2293,0.0021,97.54,1.061e-15,512,vendor:auto,0,57,ok
getri,cdouble,64,1,128,0.4134,0.4134,0.0004,108.22,9.064e-16,512,vendor:auto,1.061e-15,57,ok
getrf,cdouble,64,1,256,0.3359,0.3361,0.0025,133.19,1.061e-15,1024,vendor:auto,0,59,ok
getri,cdouble,64,1,256,0.6725,0.6721,0.0013,133.05,1.097e-15,1024,vendor:auto,1.061e-15,59,ok
getrf,cdouble,64,1,512,0.6590,0.6589,0.0014,135.77,1.061e-15,2048,vendor:auto,0,59,ok
getri,cdouble,64,1,512,1.3021,1.3021,0.0004,137.43,1.038e-15,2048,vendor:auto,1.061e-15,59,ok
getrf,cdouble,64,1,1024,1.2386,1.2397,0.0015,144.49,1.061e-15,4096,vendor:auto,0,60,ok
getri,cdouble,64,1,1024,2.5908,2.5909,0.0003,138.15,1.054e-15,4096,vendor:auto,1.061e-15,60,ok
getrf,cdouble,64,1,2048,2.4334,2.4327,0.0009,147.09,1.061e-15,8192,vendor:auto,0,55,ok
getri,cdouble,64,1,2048,5.1064,5.1067,0.0004,140.18,1.461e-15,8192,vendor:auto,1.061e-15,55,ok
getrf,cdouble,64,1,4096,4.7377,4.7378,0.0001,151.09,1.150e-15,16384,vendor:auto,0,60,ok
getri,cdouble,64,1,4096,10.0944,10.0958,0.0003,141.83,7.455e-16,16384,vendor:auto,1.150e-15,60,ok
getrf,cdouble,64,1,8192,9.3832,9.3845,0.0002,152.58,1.362e-15,32768,vendor:auto,0,58,ok
getri,cdouble,64,1,8192,20.0731,20.0796,0.0005,142.64,7.691e-16,32768,vendor:auto,1.362e-15,58,ok
getrf,cdouble,64,1,16384,18.6917,18.6937,0.0002,153.19,1.061e-15,65536,vendor:auto,0,59,ok
getri,cdouble,64,1,16384,40.0211,40.0267,0.0003,143.09,1.079e-15,65536,vendor:auto,1.061e-15,59,ok
getrf,cdouble,256,1,1,6.1933,6.1939,0.0002,1.81,1.615e-15,512,vendor:auto,0,249,ok
getri,cdouble,256,1,1,16.9927,16.9924,0.0000,1.32,1.443e-15,512,vendor:auto,1.615e-15,249,ok
getrf,cdouble,256,1,2,6.2245,6.2250,0.0002,3.59,2.015e-15,512,vendor:auto,0,251,ok
getri,cdouble,256,1,2,17.0457,17.0530,0.0010,2.62,1.865e-15,512,vendor:auto,2.015e-15,251,ok
getrf,cdouble,256,1,4,6.2261,6.2296,0.0012,7.19,1.730e-15,512,vendor:auto,0,247,ok
getri,cdouble,256,1,4,17.0459,17.0459,0.0000,5.25,1.663e-15,512,vendor:auto,1.730e-15,247,ok
getrf,cdouble,256,1,8,6.2318,6.2308,0.0004,14.36,1.615e-15,512,vendor:auto,0,252,ok
getri,cdouble,256,1,8,17.0449,17.0460,0.0001,10.50,2.061e-15,512,vendor:auto,1.615e-15,252,ok
getrf,cdouble,256,1,16,6.2316,6.2312,0.0004,28.72,1.630e-15,512,vendor:auto,0,250,ok
getri,cdouble,256,1,16,17.0460,17.0460,0.0000,21.00,1.412e-15,512,vendor:auto,1.630e-15,250,ok
getrf,cdouble,256,1,32,6.2345,6.2338,0.0003,57.41,2.052e-15,512,vendor:auto,0,252,ok
getri,cdouble,256,1,32,17.0500,17.0500,0.0000,41.98,1.785e-15,512,vendor:auto,2.052e-15,252,ok
getrf,cdouble,256,1,64,6.2631,6.2636,0.0002,114.29,1.970e-15,512,vendor:auto,0,252,ok
getri,cdouble,256,1,64,17.1419,17.1420,0.0000,83.52,1.849e-15,512,vendor:auto,1.970e-15,252,ok
getrf,cdouble,256,1,128,6.6237,6.6252,0.0006,216.14,2.415e-15,512,vendor:auto,0,246,ok
getri,cdouble,256,1,128,17.5674,17.5677,0.0002,162.99,1.941e-15,512,vendor:auto,2.415e-15,246,ok
getrf,cdouble,256,1,256,11.6315,11.6326,0.0005,246.17,2.084e-15,1024,vendor:auto,0,251,ok
getri,cdouble,256,1,256,31.1334,31.1286,0.0003,183.94,1.678e-15,1024,vendor:auto,2.084e-15,251,ok
getrf,cdouble,256,1,512,22.5302,22.5340,0.0009,254.18,1.615e-15,2048,vendor:auto,0,251,ok
getri,cdouble,256,1,512,62.0818,62.1073,0.0010,184.49,2.324e-15,2048,vendor:auto,1.615e-15,251,ok
getrf,cdouble,256,1,1024,43.1868,43.1832,0.0007,265.20,1.956e-15,4096,vendor:auto,0,249,ok
getri,cdouble,256,1,1024,123.1415,123.1462,0.0001,186.02,2.202e-15,4096,vendor:auto,1.956e-15,249,ok
getrf,cdouble,256,1,2048,84.3580,84.3599,0.0004,271.54,1.615e-15,8192,vendor:auto,0,250,ok
getri,cdouble,256,1,2048,244.4019,244.4442,0.0003,187.45,2.211e-15,8192,vendor:auto,1.615e-15,250,ok
getrf,cdouble,1024,1,1,330.2948,330.2966,0.0001,2.17,3.472e-15,512,vendor:auto,0,1016,ok
getrf,cdouble,1024,1,2,331.4435,331.4395,0.0000,4.32,3.539e-15,512,vendor:auto,0,1016,ok
getrf,cdouble,1024,1,4,331.5000,331.4956,0.0000,8.64,3.828e-15,512,vendor:auto,0,1018,ok
getrf,cdouble,1024,1,8,332.1146,332.1174,0.0000,17.24,3.472e-15,512,vendor:auto,0,1016,ok
getrf,cdouble,1024,1,16,332.8988,332.8867,0.0001,34.40,3.472e-15,512,vendor:auto,0,1016,ok
getrf,cdouble,1024,1,32,333.6157,333.6207,0.0001,68.66,4.098e-15,512,vendor:auto,0,1012,ok
getrf,cdouble,1024,1,64,335.7678,335.7682,0.0000,136.44,3.472e-15,512,vendor:auto,0,1012,ok
getrf,cdouble,1024,1,128,350.9123,350.9406,0.0002,261.11,4.409e-15,512,vendor:auto,0,1019,ok
getrf,cdouble,1024,1,256,627.8570,627.9598,0.0005,291.87,3.472e-15,1024,vendor:auto,0,1014,ok
getrf,cdouble,2048,1,1,2575.8848,2575.8669,0.0000,2.22,5.733e-15,512,vendor:auto,0,2041,ok
getrf,cdouble,2048,1,2,2585.8410,2585.8128,0.0000,4.43,6.529e-15,512,vendor:auto,0,2036,ok
getrf,cdouble,2048,1,4,2587.7385,2587.7182,0.0000,8.85,6.122e-15,512,vendor:auto,0,2036,ok
getrf,cdouble,2048,1,8,2589.1611,2589.1921,0.0000,17.69,5.733e-15,512,vendor:auto,0,2039,ok
getrf,cdouble,2048,1,16,2590.9805,2590.9665,0.0001,35.36,6.355e-15,512,vendor:auto,0,2039,ok
getrf,cdouble,2048,1,32,2594.0739,2594.1123,0.0000,70.64,5.733e-15,512,vendor:auto,0,2041,ok
getrf,cdouble,2048,1,64,2659.2847,2659.2828,0.0000,137.82,6.557e-15,512,vendor:auto,0,2039,ok
