# level3_vendor_available=0 factorization_vendor_available=0
op,type,N,nb,j0,batch,m,n,k,vendor,route,variant
SOLVE_U,float,1024,-,-,128,1024,1,1024,vendor_free,Native:Blocked,-
SOLVE_L,float,1024,-,-,128,1024,1024,1024,vendor_present,Native:Blocked,-
SOLVE_U,float,1024,-,-,128,1024,1024,1024,vendor_present,Native:Blocked,-
SOLVE_L,float,1024,-,-,128,1024,1024,1024,vendor_free,Native:Blocked,-
SOLVE_U,float,1024,-,-,128,1024,1024,1024,vendor_free,Native:Blocked,-
G,float,2048,64,0,32,1984,1984,64,vendor_present,Vendor:Auto,Tiled128x128RegisterK8
G,float,2048,64,0,32,1984,1984,64,vendor_free,Native:RegisterTiled,Tiled128x128RegisterK8
T,float,2048,64,0,32,64,1984,64,vendor_present,Native:Blocked,-
T,float,2048,64,0,32,64,1984,64,vendor_free,Native:Blocked,-
G,float,2048,64,1024,32,960,960,64,vendor_present,Vendor:Auto,Tiled128x128RegisterK8
G,float,2048,64,1024,32,960,960,64,vendor_free,Native:RegisterTiled,Tiled128x128RegisterK8
T,float,2048,64,1024,32,64,960,64,vendor_present,Native:Blocked,-
T,float,2048,64,1024,32,64,960,64,vendor_free,Native:Blocked,-
G,float,2048,64,1920,32,64,64,64,vendor_present,Vendor:Auto,Tiled32x32Register
G,float,2048,64,1920,32,64,64,64,vendor_free,Native:RegisterTiled,Tiled32x32Register
T,float,2048,64,1920,32,64,64,64,vendor_present,Native:Blocked,-
T,float,2048,64,1920,32,64,64,64,vendor_free,Native:Blocked,-
SOLVE_L,float,2048,-,-,32,2048,1,2048,vendor_present,Native:Blocked,-
SOLVE_U,float,2048,-,-,32,2048,1,2048,vendor_present,Native:Blocked,-
SOLVE_L,float,2048,-,-,32,2048,1,2048,vendor_free,Native:Blocked,-
SOLVE_U,float,2048,-,-,32,2048,1,2048,vendor_free,Native:Blocked,-
SOLVE_L,float,2048,-,-,32,2048,2048,2048,vendor_present,Native:Blocked,-
SOLVE_U,float,2048,-,-,32,2048,2048,2048,vendor_present,Native:Blocked,-
SOLVE_L,float,2048,-,-,32,2048,2048,2048,vendor_free,Native:Blocked,-
SOLVE_U,float,2048,-,-,32,2048,2048,2048,vendor_free,Native:Blocked,-
G,double,128,32,0,4096,96,96,32,vendor_present,Native:RegisterTiled,Tiled16
G,double,128,32,0,4096,96,96,32,vendor_free,Native:RegisterTiled,Tiled16
T,double,128,32,0,4096,32,96,32,vendor_present,Native:CTA,-
T,double,128,32,0,4096,32,96,32,vendor_free,Native:CTA,-
G,double,128,32,64,4096,32,32,32,vendor_present,Native:RegisterTiled,Tiled16
G,double,128,32,64,4096,32,32,32,vendor_free,Native:RegisterTiled,Tiled16
T,double,128,32,64,4096,32,32,32,vendor_present,Native:CTA,-
T,double,128,32,64,4096,32,32,32,vendor_free,Native:CTA,-
G,double,128,32,64,4096,32,32,32,vendor_present,Native:RegisterTiled,Tiled16
G,double,128,32,64,4096,32,32,32,vendor_free,Native:RegisterTiled,Tiled16
T,double,128,32,64,4096,32,32,32,vendor_present,Native:CTA,-
T,double,128,32,64,4096,32,32,32,vendor_free,Native:CTA,-
SOLVE_L,double,128,-,-,4096,128,1,128,vendor_present,Native:Blocked,-
SOLVE_U,double,128,-,-,4096,128,1,128,vendor_present,Native:Blocked,-
SOLVE_L,double,128,-,-,4096,128,1,128,vendor_free,Native:Blocked,-
SOLVE_U,double,128,-,-,4096,128,1,128,vendor_free,Native:Blocked,-
SOLVE_L,double,128,-,-,4096,128,128,128,vendor_present,Native:Blocked,-
SOLVE_U,double,128,-,-,4096,128,128,128,vendor_present,Native:Blocked,-
SOLVE_L,double,128,-,-,4096,128,128,128,vendor_free,Native:Blocked,-
SOLVE_U,double,128,-,-,4096,128,128,128,vendor_free,Native:Blocked,-
G,double,256,32,0,2048,224,224,32,vendor_present,Native:RegisterTiled,Tiled16
G,double,256,32,0,2048,224,224,32,vendor_free,Native:RegisterTiled,Tiled16
T,double,256,32,0,2048,32,224,32,vendor_present,Native:CTA,-
T,double,256,32,0,2048,32,224,32,vendor_free,Native:CTA,-
G,double,256,32,128,2048,96,96,32,vendor_present,Native:RegisterTiled,Tiled16
G,double,256,32,128,2048,96,96,32,vendor_free,Native:RegisterTiled,Tiled16
T,double,256,32,128,2048,32,96,32,vendor_present,Native:CTA,-
T,double,256,32,128,2048,32,96,32,vendor_free,Native:CTA,-
G,double,256,32,192,2048,32,32,32,vendor_present,Native:RegisterTiled,Tiled16
G,double,256,32,192,2048,32,32,32,vendor_free,Native:RegisterTiled,Tiled16
T,double,256,32,192,2048,32,32,32,vendor_present,Native:CTA,-
T,double,256,32,192,2048,32,32,32,vendor_free,Native:CTA,-
SOLVE_L,double,256,-,-,2048,256,1,256,vendor_present,Native:Blocked,-
SOLVE_U,double,256,-,-,2048,256,1,256,vendor_present,Native:Blocked,-
SOLVE_L,double,256,-,-,2048,256,1,256,vendor_free,Native:Blocked,-
SOLVE_U,double,256,-,-,2048,256,1,256,vendor_free,Native:Blocked,-
SOLVE_L,double,256,-,-,2048,256,256,256,vendor_present,Native:Blocked,-
SOLVE_U,double,256,-,-,2048,256,256,256,vendor_present,Native:Blocked,-
SOLVE_L,double,256,-,-,2048,256,256,256,vendor_free,Native:Blocked,-
SOLVE_U,double,256,-,-,2048,256,256,256,vendor_free,Native:Blocked,-
G,double,512,64,0,512,448,448,64,vendor_present,Native:RegisterTiled,Tiled16
G,double,512,64,0,512,448,448,64,vendor_free,Native:RegisterTiled,Tiled16
T,double,512,64,0,512,64,448,64,vendor_present,Native:Blocked,-
T,double,512,64,0,512,64,448,64,vendor_free,Native:Blocked,-
