laswp,op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws_bytes,route,extra,ntpiv,flag
-,getri,cfloat,2048,1,32,1741.0505,1741.0587,0.0000,210.51,1.144e-06,512,vendor:auto,1.060e-06,2041,ok
list,getri_trsm,cfloat,2048,1,32,111.2511,110.9504,0.0059,3294.39,9.667e-07,0,native:blocked|native:blocked,1.060e-06,2041,ok
gather,getri_trsm,cfloat,2048,1,32,67.2611,67.4189,0.0054,5448.97,9.667e-07,262144,native:blocked|native:blocked,1.060e-06,2041,ok
-,getrs,cfloat,2048,1,32,3.5326,3.5335,0.0007,75.99,8.845e-07,0,vendor:auto,1.060e-06,2041,ok
list,getrs_trsm,cfloat,2048,1,32,4.1553,4.1563,0.0004,64.60,8.838e-07,0,native:blocked|native:blocked,1.060e-06,2041,ok
gather,getrs_trsm,cfloat,2048,1,32,4.0782,4.0787,0.0005,65.82,8.838e-07,786432,native:blocked|native:blocked,1.060e-06,2041,ok
-,getrs,cfloat,2048,64,32,13.1872,13.1914,0.0009,1302.77,9.409e-07,0,vendor:auto,1.060e-06,2041,ok
list,getrs_trsm,cfloat,2048,64,32,10.4372,10.4384,0.0002,1646.03,8.839e-07,0,native:blocked|native:blocked,1.060e-06,2041,ok
gather,getrs_trsm,cfloat,2048,64,32,6.6495,6.6495,0.0001,2583.63,8.839e-07,33816576,native:blocked|native:blocked,1.060e-06,2041,ok
-,getrf,cdouble,32,1,8192,1.4884,1.4894,0.0024,120.23,1.422e-15,32768,vendor:auto,0,29,ok
-,getri,cdouble,32,1,8192,3.3527,3.3530,0.0003,106.76,9.077e-16,32768,vendor:auto,1.422e-15,29,ok
list,getri_trsm,cdouble,32,1,8192,15.5605,15.5601,0.0001,23.00,9.487e-16,0,native:cta|native:cta,1.422e-15,29,ok
gather,getri_trsm,cdouble,32,1,8192,14.3991,14.3978,0.0004,24.86,9.487e-16,1048576,native:cta|native:cta,1.422e-15,29,ok
-,getrs,cdouble,32,1,8192,1.2969,1.2968,0.0002,12.94,5.733e-16,0,vendor:auto,1.422e-15,29,ok
list,getrs_trsm,cdouble,32,1,8192,14.0001,14.0062,0.0007,1.20,6.001e-16,0,native:cta|native:cta,1.422e-15,29,ok
gather,getrs_trsm,cdouble,32,1,8192,13.9825,13.9824,0.0000,1.20,6.001e-16,5242880,native:cta|native:cta,1.422e-15,29,ok
-,getrs,cdouble,32,64,8192,14.4914,14.4754,0.0027,74.09,8.980e-16,0,vendor:auto,1.422e-15,29,ok
list,getrs_trsm,cdouble,32,64,8192,16.7359,16.7333,0.0007,64.16,9.632e-16,0,native:cta|native:cta,1.422e-15,29,ok
gather,getrs_trsm,cdouble,32,64,8192,15.2244,15.2214,0.0005,70.53,9.632e-16,269484032,native:cta|native:cta,1.422e-15,29,ok
-,getrf,cdouble,64,1,8192,9.4175,9.4161,0.0002,152.02,1.362e-15,32768,vendor:auto,0,58,ok
-,getri,cdouble,64,1,8192,20.1384,20.1389,0.0002,142.18,7.691e-16,32768,vendor:auto,1.362e-15,58,ok
list,getri_trsm,cdouble,64,1,8192,45.9038,45.9014,0.0005,62.38,8.482e-16,0,native:blocked|native:blocked,1.362e-15,58,ok
gather,getri_trsm,cdouble,64,1,8192,37.3384,37.3379,0.0003,76.69,8.482e-16,2097152,native:blocked|native:blocked,1.362e-15,58,ok
-,getrs,cdouble,64,1,8192,3.4398,3.4399,0.0002,19.51,5.907e-16,0,vendor:auto,1.362e-15,58,ok
list,getrs_trsm,cdouble,64,1,8192,28.3646,28.3645,0.0001,2.37,6.975e-16,0,native:blocked|native:blocked,1.362e-15,58,ok
gather,getrs_trsm,cdouble,64,1,8192,28.3268,28.3256,0.0001,2.37,6.975e-16,10485760,native:blocked|native:blocked,1.362e-15,58,ok
-,getrs,cdouble,64,64,8192,43.1840,43.1859,0.0004,99.46,6.736e-16,0,vendor:auto,1.362e-15,58,ok
list,getrs_trsm,cdouble,64,64,8192,45.6334,45.6274,0.0003,94.12,6.975e-16,0,native:blocked|native:blocked,1.362e-15,58,ok
gather,getrs_trsm,cdouble,64,64,8192,37.9602,37.9590,0.0004,113.14,6.975e-16,538968064,native:blocked|native:blocked,1.362e-15,58,ok
-,getrf,cdouble,128,1,4096,24.6621,24.6642,0.0005,232.20,1.485e-15,16384,vendor:auto,0,124,ok
-,getri,cdouble,128,1,4096,67.6146,67.6151,0.0001,169.39,1.779e-15,16384,vendor:auto,1.485e-15,124,ok
list,getri_trsm,cdouble,128,1,4096,97.5069,97.5149,0.0003,117.46,1.537e-15,0,native:blocked|native:blocked,1.485e-15,124,ok
gather,getri_trsm,cdouble,128,1,4096,75.6740,75.6725,0.0001,151.35,1.537e-15,2097152,native:blocked|native:blocked,1.485e-15,124,ok
-,getrs,cdouble,128,1,4096,4.1054,4.1056,0.0002,32.69,1.057e-15,0,vendor:auto,1.485e-15,124,ok
list,getrs_trsm,cdouble,128,1,4096,29.0903,29.0910,0.0001,4.61,8.268e-16,0,native:blocked|native:blocked,1.485e-15,124,ok
gather,getrs_trsm,cdouble,128,1,4096,29.0086,29.0088,0.0001,4.63,8.268e-16,10485760,native:blocked|native:blocked,1.485e-15,124,ok
-,getrs,cdouble,128,64,4096,56.5898,56.5924,0.0004,151.79,1.057e-15,0,vendor:auto,1.485e-15,124,ok
list,getrs_trsm,cdouble,128,64,4096,61.7921,61.7827,0.0003,139.01,8.609e-16,0,native:blocked|native:blocked,1.485e-15,124,ok
gather,getrs_trsm,cdouble,128,64,4096,52.4492,52.4481,0.0001,163.78,8.609e-16,538968064,native:blocked|native:blocked,1.485e-15,124,ok
-,getrf,cdouble,256,1,2048,84.5121,84.5329,0.0005,271.04,1.615e-15,8192,vendor:auto,0,250,ok
-,getri,cdouble,256,1,2048,245.0407,245.0453,0.0000,186.96,2.211e-15,8192,vendor:auto,1.615e-15,250,ok
list,getri_trsm,cdouble,256,1,2048,290.1904,290.2110,0.0001,157.87,1.923e-15,0,native:blocked|native:blocked,1.615e-15,250,ok
gather,getri_trsm,cdouble,256,1,2048,236.0562,236.0635,0.0001,194.08,1.923e-15,2097152,native:blocked|native:blocked,1.615e-15,250,ok
-,getrs,cdouble,256,1,2048,5.4480,5.4481,0.0003,49.27,1.137e-15,0,vendor:auto,1.615e-15,250,ok
list,getrs_trsm,cdouble,256,1,2048,30.6821,30.6831,0.0001,8.75,1.216e-15,0,native:blocked|native:blocked,1.615e-15,250,ok
gather,getrs_trsm,cdouble,256,1,2048,30.4948,30.4962,0.0001,8.80,1.216e-15,10485760,native:blocked|native:blocked,1.615e-15,250,ok
-,getrs,cdouble,256,64,2048,80.8683,80.8678,0.0001,212.44,1.294e-15,0,vendor:auto,1.615e-15,250,ok
list,getrs_trsm,cdouble,256,64,2048,89.8626,89.8974,0.0008,191.18,1.489e-15,0,native:blocked|native:blocked,1.615e-15,250,ok
gather,getrs_trsm,cdouble,256,64,2048,81.1037,81.1112,0.0002,211.83,1.489e-15,538968064,native:blocked|native:blocked,1.615e-15,250,ok
-,getrf,cdouble,512,1,512,163.0038,163.1456,0.0014,281.05,3.401e-15,2048,vendor:auto,0,505,ok
-,getri,cdouble,512,1,512,468.1691,467.9872,0.0008,195.71,2.682e-15,2048,vendor:auto,3.401e-15,505,ok
list,getri_trsm,cdouble,512,1,512,516.2949,516.2871,0.0000,177.47,2.682e-15,0,native:blocked|native:blocked,3.401e-15,505,ok
gather,getri_trsm,cdouble,512,1,512,459.6424,459.6396,0.0000,199.34,2.682e-15,1048576,native:blocked|native:blocked,3.401e-15,505,ok
-,getrs,cdouble,512,1,512,4.5244,4.5240,0.0004,59.33,1.872e-15,0,vendor:auto,3.401e-15,505,ok
list,getrs_trsm,cdouble,512,1,512,17.6222,17.6214,0.0001,15.23,1.865e-15,0,native:blocked|native:blocked,3.401e-15,505,ok
gather,getrs_trsm,cdouble,512,1,512,17.2225,17.2232,0.0003,15.59,1.865e-15,5242880,native:blocked|native:blocked,3.401e-15,505,ok
-,getrs,cdouble,512,64,512,67.8588,67.8538,0.0002,253.17,2.042e-15,0,vendor:auto,3.401e-15,505,ok
list,getrs_trsm,cdouble,512,64,512,72.4543,72.4545,0.0002,237.11,1.865e-15,0,native:blocked|native:blocked,3.401e-15,505,ok
gather,getrs_trsm,cdouble,512,64,512,69.4741,69.4737,0.0001,247.28,1.865e-15,269484032,native:blocked|native:blocked,3.401e-15,505,ok
-,getrf,cdouble,1024,1,128,351.4950,351.4910,0.0002,260.68,4.409e-15,512,vendor:auto,0,1019,ok
-,getri,cdouble,1024,1,128,1003.3462,1003.3957,0.0001,182.64,3.460e-15,512,vendor:auto,4.409e-15,1019,ok
list,getri_trsm,cdouble,1024,1,128,952.8387,952.8615,0.0000,192.32,3.433e-15,0,native:blocked|native:blocked,4.409e-15,1019,ok
gather,getri_trsm,cdouble,1024,1,128,902.6336,902.6265,0.0000,203.02,3.433e-15,524288,native:blocked|native:blocked,4.409e-15,1019,ok
-,getrs,cdouble,1024,1,128,6.7209,6.7202,0.0002,39.94,2.376e-15,0,vendor:auto,4.409e-15,1019,ok
list,getrs_trsm,cdouble,1024,1,128,6.0288,6.0247,0.0011,44.53,2.478e-15,0,native:blocked|native:blocked,4.409e-15,1019,ok
gather,getrs_trsm,cdouble,1024,1,128,5.8584,5.8564,0.0011,45.82,2.478e-15,2621440,native:blocked|native:blocked,4.409e-15,1019,ok
-,getrs,cdouble,1024,64,128,64.4179,64.4247,0.0002,266.69,3.646e-15,0,vendor:auto,4.409e-15,1019,ok
list,getrs_trsm,cdouble,1024,64,128,60.2917,60.2932,0.0000,284.95,3.958e-15,0,native:blocked|native:blocked,4.409e-15,1019,ok
gather,getrs_trsm,cdouble,1024,64,128,58.5970,58.5967,0.0000,293.19,3.958e-15,134742016,native:blocked|native:blocked,4.409e-15,1019,ok
-,getrf,cdouble,2048,1,32,2594.1159,2594.1091,0.0001,70.64,5.733e-15,512,vendor:auto,0,2041,ok
-,getri,cdouble,2048,1,32,7671.2274,7671.2283,0.0000,47.78,8.427e-15,512,vendor:auto,5.733e-15,2041,ok
list,getri_trsm,cdouble,2048,1,32,1831.0562,1831.0952,0.0000,200.16,8.256e-15,0,native:blocked|native:blocked,5.733e-15,2041,ok
gather,getri_trsm,cdouble,2048,1,32,1782.2974,1782.3573,0.0001,205.64,8.256e-15,262144,native:blocked|native:blocked,5.733e-15,2041,ok
-,getrs,cdouble,2048,1,32,11.1185,11.1169,0.0005,24.14,3.924e-15,0,vendor:auto,5.733e-15,2041,ok
list,getrs_trsm,cdouble,2048,1,32,10.5177,10.5181,0.0005,25.52,3.924e-15,0,native:blocked|native:blocked,5.733e-15,2041,ok
gather,getrs_trsm,cdouble,2048,1,32,10.3587,10.3594,0.0001,25.91,3.924e-15,1310720,native:blocked|native:blocked,5.733e-15,2041,ok
-,getrs,cdouble,2048,64,32,71.3627,71.3637,0.0001,240.74,3.932e-15,0,vendor:auto,5.733e-15,2041,ok
list,getrs_trsm,cdouble,2048,64,32,65.2357,65.2353,0.0000,263.35,3.924e-15,0,native:blocked|native:blocked,5.733e-15,2041,ok
gather,getrs_trsm,cdouble,2048,64,32,61.3404,61.3411,0.0000,280.07,3.924e-15,67371008,native:blocked|native:blocked,5.733e-15,2041,ok
