laswp,op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws_bytes,route,extra,ntpiv,flag
list,getrs_trsm,float,2048,1,32,3.0757,3.0755,0.0001,87.28,9.939e-07,0,native:blocked|native:blocked,1.087e-06,2041,ok
gather,getrs_trsm,float,2048,1,32,3.1334,3.1337,0.0001,85.67,9.939e-07,524288,native:blocked|native:blocked,1.087e-06,2041,ok
-,getrs,float,2048,64,32,12.1735,12.1781,0.0008,1411.26,1.198e-06,0,vendor:auto,1.087e-06,2041,ok
list,getrs_trsm,float,2048,64,32,7.9825,7.9832,0.0002,2152.19,1.020e-06,0,native:blocked|native:blocked,1.087e-06,2041,ok
gather,getrs_trsm,float,2048,64,32,6.3026,6.3024,0.0001,2725.85,1.020e-06,17039360,native:blocked|native:blocked,1.087e-06,2041,ok
-,getrf,double,32,1,8192,0.5611,0.5612,0.0013,318.91,9.197e-16,32768,vendor:auto,0,29,ok
-,getri,double,32,1,8192,0.8918,0.8921,0.0006,401.34,6.814e-16,32768,vendor:auto,9.197e-16,29,ok
list,getri_trsm,double,32,1,8192,4.2971,4.2970,0.0006,83.29,5.679e-16,0,native:cta|native:cta,9.197e-16,29,ok
gather,getri_trsm,double,32,1,8192,3.8827,3.8826,0.0002,92.18,5.679e-16,1048576,native:cta|native:cta,9.197e-16,29,ok
-,getrs,double,32,1,8192,0.7165,0.7164,0.0005,23.42,4.505e-16,0,vendor:auto,9.197e-16,29,ok
list,getrs_trsm,double,32,1,8192,3.7524,3.7535,0.0007,4.47,5.632e-16,0,native:cta|native:cta,9.197e-16,29,ok
gather,getrs_trsm,double,32,1,8192,3.7654,3.7658,0.0007,4.46,5.632e-16,3145728,native:cta|native:cta,9.197e-16,29,ok
-,getrs,double,32,64,8192,6.0904,6.0694,0.0070,176.30,6.678e-16,0,vendor:auto,9.197e-16,29,ok
list,getrs_trsm,double,32,64,8192,4.8743,4.8733,0.0012,220.29,5.632e-16,0,native:cta|native:cta,9.197e-16,29,ok
gather,getrs_trsm,double,32,64,8192,4.2008,4.2017,0.0007,255.60,5.632e-16,135266304,native:cta|native:cta,9.197e-16,29,ok
-,getrf,double,64,1,8192,3.2836,3.2841,0.0008,436.00,9.885e-16,32768,vendor:auto,0,58,ok
-,getri,double,64,1,8192,5.1924,5.1924,0.0002,551.44,1.021e-15,32768,vendor:auto,9.885e-16,58,ok
list,getri_trsm,double,64,1,8192,12.5982,12.5975,0.0005,227.28,1.021e-15,0,native:blocked|native:blocked,9.885e-16,58,ok
gather,getri_trsm,double,64,1,8192,9.8209,9.8227,0.0004,291.55,1.021e-15,2097152,native:blocked|native:blocked,9.885e-16,58,ok
-,getrs,double,64,1,8192,1.6468,1.6471,0.0006,40.75,6.758e-16,0,vendor:auto,9.885e-16,58,ok
list,getrs_trsm,double,64,1,8192,7.9737,7.9746,0.0004,8.42,6.758e-16,0,native:blocked|native:blocked,9.885e-16,58,ok
gather,getrs_trsm,double,64,1,8192,7.9999,7.9995,0.0001,8.39,6.758e-16,6291456,native:blocked|native:blocked,9.885e-16,58,ok
-,getrs,double,64,64,8192,16.7830,16.7572,0.0025,255.91,6.758e-16,0,vendor:auto,9.885e-16,58,ok
list,getrs_trsm,double,64,64,8192,12.4732,12.4700,0.0007,344.34,6.900e-16,0,native:blocked|native:blocked,9.885e-16,58,ok
gather,getrs_trsm,double,64,64,8192,10.1151,10.1166,0.0007,424.61,6.900e-16,270532608,native:blocked|native:blocked,9.885e-16,58,ok
-,getrf,double,128,1,4096,8.8025,8.8000,0.0023,650.57,1.304e-15,16384,vendor:auto,0,124,ok
-,getri,double,128,1,4096,17.2144,17.2143,0.0001,665.33,1.805e-15,16384,vendor:auto,1.304e-15,124,ok
list,getri_trsm,double,128,1,4096,33.2019,33.2009,0.0003,344.96,1.579e-15,0,native:blocked|native:blocked,1.304e-15,124,ok
gather,getri_trsm,double,128,1,4096,19.1354,19.1495,0.0014,598.54,1.579e-15,2097152,native:blocked|native:blocked,1.304e-15,124,ok
-,getrs,double,128,1,4096,2.1036,2.1067,0.0034,63.80,1.008e-15,0,vendor:auto,1.304e-15,124,ok
list,getrs_trsm,double,128,1,4096,8.9550,8.9561,0.0002,14.99,8.891e-16,0,native:blocked|native:blocked,1.304e-15,124,ok
gather,getrs_trsm,double,128,1,4096,9.0012,9.0019,0.0002,14.91,8.891e-16,6291456,native:blocked|native:blocked,1.304e-15,124,ok
-,getrs,double,128,64,4096,23.8649,23.8563,0.0006,359.94,1.133e-15,0,vendor:auto,1.304e-15,124,ok
list,getrs_trsm,double,128,64,4096,19.9011,19.8988,0.0004,431.63,1.133e-15,0,native:blocked|native:blocked,1.304e-15,124,ok
gather,getrs_trsm,double,128,64,4096,13.6699,13.6679,0.0002,628.38,1.133e-15,270532608,native:blocked|native:blocked,1.304e-15,124,ok
-,getrf,double,256,1,2048,46.2140,46.2193,0.0006,495.66,3.680e-15,8192,vendor:auto,0,250,ok
-,getri,double,256,1,2048,66.5861,66.5972,0.0006,688.03,1.780e-15,8192,vendor:auto,3.680e-15,250,ok
list,getri_trsm,double,256,1,2048,94.7500,94.7592,0.0002,483.51,1.677e-15,0,native:blocked|native:blocked,3.680e-15,250,ok
gather,getri_trsm,double,256,1,2048,57.5391,57.5403,0.0001,796.21,1.677e-15,2097152,native:blocked|native:blocked,3.680e-15,250,ok
-,getrs,double,256,1,2048,2.7696,2.7706,0.0007,96.92,1.445e-15,0,vendor:auto,3.680e-15,250,ok
list,getrs_trsm,double,256,1,2048,10.8173,10.8169,0.0003,24.82,1.223e-15,0,native:blocked|native:blocked,3.680e-15,250,ok
gather,getrs_trsm,double,256,1,2048,10.9043,10.9039,0.0002,24.62,1.223e-15,6291456,native:blocked|native:blocked,3.680e-15,250,ok
-,getrs,double,256,64,2048,26.7932,26.7912,0.0003,641.20,1.451e-15,0,vendor:auto,3.680e-15,250,ok
list,getrs_trsm,double,256,64,2048,26.9439,26.9470,0.0012,637.62,1.228e-15,0,native:blocked|native:blocked,3.680e-15,250,ok
gather,getrs_trsm,double,256,64,2048,20.5141,20.5142,0.0001,837.46,1.228e-15,270532608,native:blocked|native:blocked,3.680e-15,250,ok
-,getrf,double,512,1,512,59.5264,59.6400,0.0035,769.62,3.342e-15,2048,vendor:auto,0,505,ok
-,getri,double,512,1,512,140.3877,140.3946,0.0001,652.66,2.998e-15,2048,vendor:auto,3.342e-15,505,ok
list,getri_trsm,double,512,1,512,152.4354,152.4329,0.0001,601.08,2.887e-15,0,native:blocked|native:blocked,3.342e-15,505,ok
gather,getri_trsm,double,512,1,512,109.3324,109.3855,0.0009,838.05,2.887e-15,1048576,native:blocked|native:blocked,3.342e-15,505,ok
-,getrs,double,512,1,512,2.5187,2.5191,0.0006,106.58,1.782e-15,0,vendor:auto,3.342e-15,505,ok
list,getrs_trsm,double,512,1,512,7.8080,7.8082,0.0003,34.38,1.782e-15,0,native:blocked|native:blocked,3.342e-15,505,ok
gather,getrs_trsm,double,512,1,512,7.9832,7.9834,0.0002,33.63,1.782e-15,3145728,native:blocked|native:blocked,3.342e-15,505,ok
-,getrs,double,512,64,512,19.7914,19.8269,0.0035,868.05,2.789e-15,0,vendor:auto,3.342e-15,505,ok
list,getrs_trsm,double,512,64,512,18.8346,18.8345,0.0003,912.15,2.677e-15,0,native:blocked|native:blocked,3.342e-15,505,ok
gather,getrs_trsm,double,512,64,512,17.5319,17.5332,0.0002,979.92,2.677e-15,135266304,native:blocked|native:blocked,3.342e-15,505,ok
-,getrf,double,1024,1,128,111.7691,112.5731,0.0108,819.78,4.408e-15,512,vendor:auto,0,1019,ok
-,getri,double,1024,1,128,242.6864,242.6270,0.0007,755.10,4.108e-15,512,vendor:auto,4.408e-15,1019,ok
list,getri_trsm,double,1024,1,128,251.1835,251.1962,0.0001,729.55,3.886e-15,0,native:blocked|native:blocked,4.408e-15,1019,ok
gather,getri_trsm,double,1024,1,128,209.9439,209.9424,0.0000,872.86,3.886e-15,524288,native:blocked|native:blocked,4.408e-15,1019,ok
-,getrs,double,1024,1,128,3.7561,3.7563,0.0002,71.47,2.779e-15,0,vendor:auto,4.408e-15,1019,ok
list,getrs_trsm,double,1024,1,128,5.5351,5.5409,0.0017,48.50,2.890e-15,0,native:blocked|native:blocked,4.408e-15,1019,ok
gather,getrs_trsm,double,1024,1,128,5.6207,5.6225,0.0009,47.76,2.890e-15,1572864,native:blocked|native:blocked,4.408e-15,1019,ok
-,getrs,double,1024,64,128,20.2379,20.2384,0.0000,848.90,3.220e-15,0,vendor:auto,4.408e-15,1019,ok
list,getrs_trsm,double,1024,64,128,16.1843,16.1827,0.0002,1061.52,3.331e-15,0,native:blocked|native:blocked,4.408e-15,1019,ok
gather,getrs_trsm,double,1024,64,128,15.5739,15.5720,0.0003,1103.12,3.331e-15,67633152,native:blocked|native:blocked,4.408e-15,1019,ok
-,getrf,double,2048,1,32,587.9311,587.9766,0.0006,311.69,1.123e-14,512,vendor:auto,0,2041,ok
-,getri,double,2048,1,32,1757.1072,1757.1030,0.0000,208.58,6.552e-15,512,vendor:auto,1.123e-14,2041,ok
list,getri_trsm,double,2048,1,32,487.4852,487.5458,0.0002,751.83,6.108e-15,0,native:blocked|native:blocked,1.123e-14,2041,ok
gather,getri_trsm,double,2048,1,32,447.1116,447.1128,0.0000,819.71,6.108e-15,262144,native:blocked|native:blocked,1.123e-14,2041,ok
-,getrs,double,2048,1,32,6.2035,6.2039,0.0001,43.27,4.442e-15,0,vendor:auto,1.123e-14,2041,ok
list,getrs_trsm,double,2048,1,32,5.3813,5.3828,0.0005,49.88,4.442e-15,0,native:blocked|native:blocked,1.123e-14,2041,ok
gather,getrs_trsm,double,2048,1,32,5.4217,5.4217,0.0003,49.51,4.442e-15,786432,native:blocked|native:blocked,1.123e-14,2041,ok
-,getrs,double,2048,64,32,26.1352,26.1363,0.0003,657.35,5.554e-15,0,vendor:auto,1.123e-14,2041,ok
list,getrs_trsm,double,2048,64,32,20.7420,20.7408,0.0001,828.26,5.776e-15,0,native:blocked|native:blocked,1.123e-14,2041,ok
gather,getrs_trsm,double,2048,64,32,19.0379,19.0380,0.0000,902.41,5.776e-15,33816576,native:blocked|native:blocked,1.123e-14,2041,ok
-,getrf,cfloat,32,1,8192,0.2445,0.2446,0.0031,731.99,4.048e-07,32768,vendor:auto,0,29,ok
-,getri,cfloat,32,1,8192,0.3867,0.3866,0.0007,925.47,5.030e-07,32768,vendor:auto,4.048e-07,29,ok
list,getri_trsm,cfloat,32,1,8192,2.5275,2.5273,0.0008,141.61,3.993e-07,0,native:cta|native:cta,4.048e-07,29,ok
gather,getri_trsm,cfloat,32,1,8192,1.7170,1.7165,0.0012,208.45,3.993e-07,1048576,native:cta|native:cta,4.048e-07,29,ok
-,getrs,cfloat,32,1,8192,0.1185,0.1185,0.0025,141.60,3.098e-07,0,vendor:auto,4.048e-07,29,ok
list,getrs_trsm,cfloat,32,1,8192,1.2188,1.2189,0.0002,13.76,3.045e-07,0,native:cta|native:cta,4.048e-07,29,ok
gather,getrs_trsm,cfloat,32,1,8192,1.2043,1.2042,0.0005,13.93,3.045e-07,3145728,native:cta|native:cta,4.048e-07,29,ok
-,getrs,cfloat,32,64,8192,3.9526,3.9650,0.0099,271.66,4.603e-07,0,vendor:auto,4.048e-07,29,ok
list,getrs_trsm,cfloat,32,64,8192,3.8171,3.8180,0.0011,281.30,4.209e-07,0,native:cta|native:cta,4.048e-07,29,ok
gather,getrs_trsm,cfloat,32,64,8192,2.4148,2.4150,0.0010,444.66,4.209e-07,135266304,native:cta|native:cta,4.048e-07,29,ok
-,getrf,cfloat,64,1,8192,2.7871,2.7878,0.0015,513.67,3.209e-07,32768,vendor:auto,0,58,ok
-,getri,cfloat,64,1,8192,1.9720,1.9719,0.0003,1452.02,4.364e-07,32768,vendor:auto,3.209e-07,58,ok
list,getri_trsm,cfloat,64,1,8192,9.3598,9.3568,0.0010,305.92,4.237e-07,0,native:blocked|native:blocked,3.209e-07,58,ok
gather,getri_trsm,cfloat,64,1,8192,5.6329,5.6338,0.0008,508.32,4.237e-07,2097152,native:blocked|native:blocked,3.209e-07,58,ok
-,getrs,cfloat,64,1,8192,0.4375,0.4380,0.0041,153.41,2.520e-07,0,vendor:auto,3.209e-07,58,ok
