== discarded, relative sd > 10% ==
   (none)
== flagged BAD/THREW ==
   (none)

== 1. cuBLAS getrf: ms and GFLOP/s at saturating batch (2n^3/3 per item) ==
type          n   batch       med_ms      GFLOP/s      resid
float      2048      32       2.9403       3.0757     0.96x  native:blocked|native:blocked
double       32    8192       0.7165       3.7524     0.19x  native:cta|native:cta
double       64    8192       1.6468       7.9737     0.21x  native:blocked|native:blocked
double      128    4096       2.1036       8.9550     0.23x  native:blocked|native:blocked
double      256    2048       2.7696      10.8173     0.26x  native:blocked|native:blocked
double      512     512       2.5187       7.8080     0.32x  native:blocked|native:blocked
double     1024     128       3.7561       5.5351     0.68x  native:blocked|native:blocked
double     2048      32       6.2035       5.3813     1.15x  native:blocked|native:blocked
cfloat       32    8192       0.1185       1.2188     0.10x  native:cta|native:cta
cfloat       64    8192       0.4375       2.6550     0.16x  native:blocked|native:blocked
cfloat      128    4096       1.0575       3.1598     0.33x  native:blocked|native:blocked
cfloat      256    2048       1.7341       4.0993     0.42x  native:blocked|native:blocked
cfloat      512     512       1.9456       3.5920     0.54x  native:blocked|native:blocked
cfloat     1024     128       2.4816       2.9963     0.83x  native:blocked|native:blocked
cfloat     2048      32       3.5326       4.1553     0.85x  native:blocked|native:blocked
cdouble      32    8192       1.2969      14.0001     0.09x  native:cta|native:cta
cdouble      64    8192       3.4398      28.3646     0.12x  native:blocked|native:blocked
cdouble     128    4096       4.1054      29.0903     0.14x  native:blocked|native:blocked
cdouble     256    2048       5.4480      30.6821     0.18x  native:blocked|native:blocked
cdouble     512     512       4.5244      17.6222     0.26x  native:blocked|native:blocked
cdouble    1024     128       6.7209       6.0288     1.11x  native:blocked|native:blocked
cdouble    2048      32      11.1185      10.5177     1.06x  native:blocked|native:blocked

== getrs: cuBLAS vs routed-trsm composition (laswp=gather, nrhs=1) ==
type          n   batch    vendor_ms      comp_ms  speedup  trsm route
float        32    8192       0.1231       0.6267     0.20x  native:cta|native:cta
