section,variant,type,n,batch,wg,ld,slm_bytes,med_ms,mean_ms,relsd,GFLOPs,resid,ntpiv,flag
n,nopiv,cfloat,110,4096,256,111,97692,5.6251,5.6857,0.0187,646.13,1.524e-04,0,ok
n,swaponly,cfloat,110,4096,256,111,97692,5.7644,5.8022,0.0147,630.51,3.434e-04,107,ok
n,pivman,cfloat,110,4096,256,111,99732,7.3791,7.4837,0.0232,492.54,4.433e-07,106,ok
n,pivgrp,cfloat,110,4096,256,111,97692,7.2749,7.4113,0.0297,499.60,4.433e-07,106,ok
n,nopiv,cdouble,16,4096,256,17,4368,0.1534,0.1534,0.0009,72.90,3.425e-14,0,ok
n,swaponly,cdouble,16,4096,256,17,4368,0.1574,0.1576,0.0027,71.05,1.786e-14,14,ok
n,pivman,cdouble,16,4096,256,17,7428,0.2334,0.2335,0.0022,47.92,6.784e-16,11,ok
n,pivgrp,cdouble,16,4096,256,17,4368,0.5328,0.5325,0.0010,20.99,6.784e-16,11,ok
n,nopiv,cdouble,24,4096,256,25,9616,0.3270,0.3367,0.0631,115.44,1.273e-13,0,ok
n,swaponly,cdouble,24,4096,256,25,9616,0.3374,0.3461,0.0616,111.88,7.267e-14,20,ok
n,pivman,cdouble,24,4096,256,25,12676,0.4517,0.4603,0.0470,83.57,4.835e-16,19,ok
n,pivgrp,cdouble,24,4096,256,25,9616,0.9009,0.9093,0.0235,41.90,4.835e-16,19,ok
n,nopiv,cdouble,32,4096,256,33,16912,0.6213,0.6299,0.0368,144.02,1.701e-13,0,ok
n,swaponly,cdouble,32,4096,256,33,16912,0.6280,0.6480,0.0486,142.49,1.110e-13,30,ok
n,pivman,cdouble,32,4096,256,33,19972,0.8284,0.8468,0.0355,108.01,6.051e-16,28,ok
n,pivgrp,cdouble,32,4096,256,33,16912,1.3871,1.3964,0.0162,64.51,6.051e-16,28,ok
n,nopiv,cdouble,48,4096,256,49,37648,2.0611,2.0355,0.0151,146.52,1.130e-13,0,ok
n,swaponly,cdouble,48,4096,256,49,37648,2.0704,2.0951,0.0152,145.86,4.075e-13,44,ok
n,pivman,cdouble,48,4096,256,49,40708,2.5420,2.5703,0.0135,118.80,9.809e-16,44,ok
n,pivgrp,cdouble,48,4096,256,49,37648,3.3319,3.3591,0.0279,90.63,9.809e-16,44,ok
n,nopiv,cdouble,64,4096,256,65,66576,5.1024,5.1847,0.0293,140.29,8.083e-13,0,ok
n,swaponly,cdouble,64,4096,256,65,66576,5.3150,5.3415,0.0116,134.68,8.343e-13,59,ok
n,pivman,cdouble,64,4096,256,65,69636,6.7260,6.7258,0.0012,106.43,1.150e-15,60,ok
n,pivgrp,cdouble,64,4096,256,65,66576,7.4650,7.4632,0.0006,95.89,1.150e-15,60,ok
n,nopiv,cdouble,78,4096,256,79,98608,8.4937,8.5626,0.0191,152.56,1.953e-12,0,ok
n,swaponly,cdouble,78,4096,256,79,98608,8.7625,8.9007,0.0248,147.89,1.139e-12,73,ok
n,pivman,cdouble,78,4096,256,79,101668,-1,-1,-1,LAUNCH_FAIL:cuda backend failed with error: 66 (UR_RESULT_ERROR_ADAPTER_SPECIFIC)
Excessive allocation of local memory on the device(adapter error )40

n,pivgrp,cdouble,78,4096,256,79,98608,11.4054,11.5663,0.0185,113.62,1.317e-15,72,ok
batch,nopiv,float,64,128,256,65,16652,0.0424,0.0424,0.0040,527.34,4.154e-03,0,ok
batch,swaponly,float,64,128,256,65,16652,0.0456,0.0459,0.0108,490.45,5.042e-04,59,ok
batch,pivman,float,64,128,256,65,18692,0.0786,0.0787,0.0033,284.49,4.415e-07,57,ok
batch,pivgrp,float,64,128,256,65,16652,0.0739,0.0741,0.0057,302.90,4.415e-07,57,ok
batch,nopiv,float,64,256,256,65,16652,0.0504,0.0505,0.0044,887.58,2.362e-04,0,ok
batch,swaponly,float,64,256,256,65,16652,0.0537,0.0538,0.0078,833.29,1.910e-03,59,ok
batch,pivman,float,64,256,256,65,18692,0.0868,0.0867,0.0021,515.55,5.155e-07,59,ok
batch,pivgrp,float,64,256,256,65,16652,0.0861,0.0862,0.0031,519.69,5.155e-07,59,ok
batch,nopiv,float,64,512,256,65,16652,0.0763,0.0765,0.0044,1172.26,3.814e-02,0,ok
batch,swaponly,float,64,512,256,65,16652,0.0822,0.0823,0.0029,1088.24,6.196e-04,59,ok
batch,pivman,float,64,512,256,65,18692,0.1166,0.1167,0.0025,767.36,4.415e-07,59,ok
batch,pivgrp,float,64,512,256,65,16652,0.1293,0.1294,0.0015,691.81,4.415e-07,59,ok
batch,nopiv,float,64,1024,256,65,16652,0.1358,0.1359,0.0026,1317.60,1.647e-03,0,ok
batch,swaponly,float,64,1024,256,65,16652,0.1474,0.1475,0.0061,1213.79,3.646e-04,59,ok
batch,pivman,float,64,1024,256,65,18692,0.2128,0.2130,0.0039,840.81,4.744e-07,60,ok
batch,pivgrp,float,64,1024,256,65,16652,0.2368,0.2370,0.0034,755.66,4.744e-07,60,ok
batch,nopiv,float,64,2048,256,65,16652,0.2588,0.2682,0.0897,1382.85,1.436e-03,0,ok
batch,swaponly,float,64,2048,256,65,16652,0.2801,0.2883,0.0736,1277.68,6.464e-03,59,ok
batch,pivman,float,64,2048,256,65,18692,0.3967,0.4049,0.0530,902.12,4.415e-07,55,ok
batch,pivgrp,float,64,2048,256,65,16652,0.4451,0.4569,0.0647,804.13,4.415e-07,55,ok
batch,nopiv,float,64,4096,256,65,16652,0.4829,0.4926,0.0484,1482.46,1.511e-03,0,ok
batch,swaponly,float,64,4096,256,65,16652,0.5154,0.5246,0.0460,1388.75,3.914e-03,59,ok
batch,pivman,float,64,4096,256,65,18692,0.7350,0.7454,0.0338,973.85,4.608e-07,60,ok
batch,pivgrp,float,64,4096,256,65,16652,0.8319,0.8430,0.0282,860.46,4.608e-07,60,ok
batch,nopiv,float,64,8192,256,65,16652,0.9373,0.9543,0.0299,1527.48,1.274e-03,0,ok
batch,swaponly,float,64,8192,256,65,16652,1.0015,1.0276,0.0307,1429.49,4.508e-03,59,ok
batch,pivman,float,64,8192,256,65,18692,1.4290,1.4549,0.0218,1001.84,4.415e-07,58,ok
batch,pivgrp,float,64,8192,256,65,16652,1.6172,1.6348,0.0167,885.28,4.415e-07,58,ok
batch,nopiv,float,64,16384,256,65,16652,1.8686,1.8592,0.0116,1532.30,3.787e-04,0,ok
batch,swaponly,float,64,16384,256,65,16652,1.9941,1.9877,0.0121,1435.92,7.453e-04,59,ok
batch,pivman,float,64,16384,256,65,18692,2.8354,2.8572,0.0287,1009.86,4.415e-07,59,ok
batch,pivgrp,float,64,16384,256,65,16652,3.2132,3.2043,0.0068,891.11,4.415e-07,59,ok
