n,batch,beta,tA,tB,arm,rep,gflops
128,512,0,2,0,vendor,3,1227.9
128,512,0,2,0,sycl,1,1352.6
128,512,0,2,0,sycl,2,1351.5
128,512,0,2,0,sycl,3,1352.1
128,512,1,2,0,vendor,1,1215.1
128,512,1,2,0,vendor,2,1217.7
128,512,1,2,0,vendor,3,1215.7
128,512,1,2,0,sycl,1,1351.3
128,512,1,2,0,sycl,2,1351.4
128,512,1,2,0,sycl,3,1350.8
256,512,0,1,0,vendor,1,1241.5
256,512,0,1,0,vendor,2,1241.9
256,512,0,1,0,vendor,3,1241.0
256,512,0,1,0,sycl,1,1375.8
256,512,0,1,0,sycl,2,1376.2
256,512,0,1,0,sycl,3,1376.3
256,512,1,1,0,vendor,1,1238.8
256,512,1,1,0,vendor,2,1237.3
256,512,1,1,0,vendor,3,1237.2
256,512,1,1,0,sycl,1,1377.1
256,512,1,1,0,sycl,2,1374.6
256,512,1,1,0,sycl,3,1376.3
256,512,0,0,1,vendor,1,1241.9
256,512,0,0,1,vendor,2,1242.8
256,512,0,0,1,vendor,3,1241.4
256,512,0,0,1,sycl,1,1375.9
256,512,0,0,1,sycl,2,1376.9
256,512,0,0,1,sycl,3,1372.7
256,512,1,0,1,vendor,1,1237.4
256,512,1,0,1,vendor,2,1238.3
256,512,1,0,1,vendor,3,1237.9
256,512,1,0,1,sycl,1,1374.3
256,512,1,0,1,sycl,2,1375.3
256,512,1,0,1,sycl,3,1373.5
256,512,0,1,1,vendor,1,1242.6
256,512,0,1,1,vendor,2,1241.9
256,512,0,1,1,vendor,3,1241.7
256,512,0,1,1,sycl,1,1385.6
256,512,0,1,1,sycl,2,1385.8
256,512,0,1,1,sycl,3,1384.5
256,512,1,1,1,vendor,1,1237.5
256,512,1,1,1,vendor,2,1237.5
256,512,1,1,1,vendor,3,1238.5
256,512,1,1,1,sycl,1,1385.3
256,512,1,1,1,sycl,2,1386.4
256,512,1,1,1,sycl,3,1386.0
256,512,0,2,0,vendor,1,1240.6
256,512,0,2,0,vendor,2,1241.1
256,512,0,2,0,vendor,3,1242.0
256,512,0,2,0,sycl,1,1375.6
256,512,0,2,0,sycl,2,1376.2
256,512,0,2,0,sycl,3,1372.0
256,512,1,2,0,vendor,1,1238.3
256,512,1,2,0,vendor,2,1238.9
256,512,1,2,0,vendor,3,1239.0
256,512,1,2,0,sycl,1,1374.2
256,512,1,2,0,sycl,2,1373.9
256,512,1,2,0,sycl,3,1373.4
512,512,0,1,0,vendor,1,1245.9
512,512,0,1,0,vendor,2,1245.9
512,512,0,1,0,vendor,3,1246.0
512,512,0,1,0,sycl,1,1382.7
512,512,0,1,0,sycl,2,1382.9
512,512,0,1,0,sycl,3,1382.2
512,512,1,1,0,vendor,1,1244.0
512,512,1,1,0,vendor,2,1243.7
512,512,1,1,0,vendor,3,1243.9
512,512,1,1,0,sycl,1,1383.0
512,512,1,1,0,sycl,2,1382.4
512,512,1,1,0,sycl,3,1382.9
512,512,0,0,1,vendor,1,1241.5
512,512,0,0,1,vendor,2,1245.8
512,512,0,0,1,vendor,3,1245.4
512,512,0,0,1,sycl,1,1380.5
512,512,0,0,1,sycl,2,1379.9
512,512,0,0,1,sycl,3,1379.8
512,512,1,0,1,vendor,1,1243.6
512,512,1,0,1,vendor,2,1243.6
512,512,1,0,1,vendor,3,1243.4
512,512,1,0,1,sycl,1,1379.9
512,512,1,0,1,sycl,2,1379.9
512,512,1,0,1,sycl,3,1379.7
