kernel,type,m,n,k,batch,tA,tB,beta,padA,padB,padC,reps,median_ms,min_ms,rel_sd,gflops,tag
direct,cfloat,16,16,16,8192,N,N,1,0,0,0,7,0.065317,0.065300,0.0006,4109.72,n16
tiled16,cfloat,16,16,16,8192,N,N,1,0,0,0,7,0.051916,0.051880,0.0005,5170.57,n16
direct,cdouble,16,16,16,8192,N,N,1,0,0,0,7,0.864251,0.864118,0.0003,310.60,n16
tiled16,cdouble,16,16,16,8192,N,N,1,0,0,0,7,0.756659,0.756536,0.0002,354.76,n16
direct,cfloat,32,32,32,8192,N,N,1,0,0,0,7,0.625843,0.623253,0.0016,3431.34,n32
tiled16,cfloat,32,32,32,8192,N,N,1,0,0,0,7,0.376425,0.376062,0.0004,5704.95,n32
direct,cdouble,32,32,32,8192,N,N,1,0,0,0,7,6.576897,6.576508,0.0001,326.52,n32
tiled16,cdouble,32,32,32,8192,N,N,1,0,0,0,7,5.688081,5.687874,0.0000,377.54,n32
direct,cfloat,48,48,48,4096,N,N,1,0,0,0,7,1.006772,1.004676,0.0025,3599.50,n48
tiled16,cfloat,48,48,48,4096,N,N,1,0,0,0,7,0.607097,0.607003,0.0006,5969.19,n48
direct,cdouble,48,48,48,4096,N,N,1,0,0,0,7,10.925922,10.925284,0.0019,331.68,n48
tiled16,cdouble,48,48,48,4096,N,N,1,0,0,0,7,9.419957,9.419689,0.0003,384.70,n48
direct,cfloat,64,64,64,4096,N,N,1,0,0,0,7,2.133880,2.126050,0.0033,4025.50,n64
tiled16,cfloat,64,64,64,4096,N,N,1,0,0,0,7,1.357245,1.357023,0.0021,6328.95,n64
direct,cdouble,64,64,64,4096,N,N,1,0,0,0,7,25.687154,25.683835,0.0002,334.41,n64
tiled16,cdouble,64,64,64,4096,N,N,1,0,0,0,7,22.118148,22.115140,0.0003,388.37,n64
direct,cfloat,16,64,16,8192,N,N,1,0,0,0,7,0.359133,0.358537,0.0013,2989.82,s16x64
tiled16,cfloat,16,64,16,8192,N,N,1,0,0,0,7,0.235785,0.235604,0.0005,4553.91,s16x64
direct,cdouble,16,64,16,8192,N,N,1,0,0,0,7,3.446581,3.446315,0.0000,311.54,s16x64
tiled16,cdouble,16,64,16,8192,N,N,1,0,0,0,7,3.003110,3.001762,0.0007,357.54,s16x64
