route,type,m,n,k,batch,tA,tB,beta,padA,padB,padC,reps,median_ms,min_ms,rel_sd,gflops,tag
vendor,cfloat,129,129,48,2048,C,N,1,0,0,0,7,0.849418,0.848160,0.0014,15407.04,panel_herk129_cn
native,cfloat,129,129,48,2048,C,N,1,0,0,0,7,2.214390,2.203068,0.0051,5909.99,panel_herk129_cn
vendor,cfloat,129,129,48,2048,C,N,0,0,0,0,7,0.764044,0.760102,0.0027,17128.61,panel_herk129_cn
native,cfloat,129,129,48,2048,C,N,0,0,0,0,7,2.213098,2.201203,0.0054,5913.44,panel_herk129_cn
vendor,cdouble,129,129,48,2048,C,N,1,0,0,0,7,15.281809,15.266767,0.0004,856.38,panel_herk129_cn
native,cdouble,129,129,48,2048,C,N,1,0,0,0,7,42.338574,42.336323,0.0000,309.10,panel_herk129_cn
vendor,cdouble,129,129,48,2048,C,N,0,0,0,0,7,14.904077,14.900950,0.0001,878.08,panel_herk129_cn
native,cdouble,129,129,48,2048,C,N,0,0,0,0,7,42.326201,42.325371,0.0001,309.19,panel_herk129_cn
vendor,cfloat,128,128,48,2048,C,N,1,0,0,0,7,0.796756,0.796436,0.0002,16171.70,panel_herk128_cn
native,cfloat,128,128,48,2048,C,N,1,0,0,0,7,1.901173,1.890399,0.0047,6777.34,panel_herk128_cn
vendor,cfloat,128,128,48,2048,C,N,0,0,0,0,7,0.520163,0.519708,0.0006,24770.91,panel_herk128_cn
native,cfloat,128,128,48,2048,C,N,0,0,0,0,7,1.869695,1.863631,0.0012,6891.45,panel_herk128_cn
vendor,cdouble,128,128,48,2048,C,N,1,0,0,0,7,10.905206,10.903673,0.0001,1181.54,panel_herk128_cn
native,cdouble,128,128,48,2048,C,N,1,0,0,0,7,33.639794,33.633340,0.0005,383.03,panel_herk128_cn
vendor,cdouble,128,128,48,2048,C,N,0,0,0,0,7,10.720963,10.719581,0.0006,1201.84,panel_herk128_cn
native,cdouble,128,128,48,2048,C,N,0,0,0,0,7,33.641252,33.632319,0.0001,383.01,panel_herk128_cn
vendor,cfloat,96,96,64,2048,N,C,1,0,0,0,7,0.548596,0.547864,0.0008,17615.29,panel_her2k96_nc
native,cfloat,96,96,64,2048,N,C,1,0,0,0,7,1.382115,1.374303,0.0042,6991.95,panel_her2k96_nc
vendor,cfloat,96,96,64,2048,N,C,0,0,0,0,7,0.445843,0.443727,0.0024,21675.06,panel_her2k96_nc
native,cfloat,96,96,64,2048,N,C,0,0,0,0,7,1.382244,1.374595,0.0040,6991.30,panel_her2k96_nc
vendor,cdouble,96,96,64,2048,N,C,1,0,0,0,7,8.040719,8.038063,0.0003,1201.84,panel_her2k96_nc
native,cdouble,96,96,64,2048,N,C,1,0,0,0,7,25.002004,24.998764,0.0002,386.52,panel_her2k96_nc
vendor,cdouble,96,96,64,2048,N,C,0,0,0,0,7,7.905973,7.902213,0.0007,1222.33,panel_her2k96_nc
native,cdouble,96,96,64,2048,N,C,0,0,0,0,7,25.000464,24.949862,0.0010,386.54,panel_her2k96_nc
vendor,cfloat,184,184,16,1024,N,C,1,0,0,0,7,0.654923,0.654851,0.0003,6775.72,panel_syevx184_nc
native,cfloat,184,184,16,1024,N,C,1,0,0,0,7,1.119746,1.115837,0.0014,3963.02,panel_syevx184_nc
vendor,cfloat,184,184,16,1024,N,C,0,0,0,0,7,0.368319,0.367770,0.0008,12048.18,panel_syevx184_nc
native,cfloat,184,184,16,1024,N,C,0,0,0,0,7,1.116117,1.111370,0.0021,3975.90,panel_syevx184_nc
vendor,cdouble,184,184,16,1024,N,C,1,0,0,0,7,4.521067,4.520116,0.0002,981.53,panel_syevx184_nc
native,cdouble,184,184,16,1024,N,C,1,0,0,0,7,13.487964,13.486847,0.0001,329.00,panel_syevx184_nc
vendor,cdouble,184,184,16,1024,N,C,0,0,0,0,7,4.307341,4.306160,0.0001,1030.23,panel_syevx184_nc
native,cdouble,184,184,16,1024,N,C,0,0,0,0,7,13.490249,13.488139,0.0001,328.95,panel_syevx184_nc
vendor,cfloat,97,97,16,2048,N,C,1,0,0,0,7,0.391267,0.390991,0.0005,6303.91,panel_2stage97_nc
native,cfloat,97,97,16,2048,N,C,1,0,0,0,7,0.870950,0.870216,0.0004,2831.98,panel_2stage97_nc
vendor,cfloat,97,97,16,2048,N,C,0,0,0,0,7,0.229555,0.229195,0.0013,10744.77,panel_2stage97_nc
native,cfloat,97,97,16,2048,N,C,0,0,0,0,7,0.873631,0.872073,0.0011,2823.29,panel_2stage97_nc
vendor,cdouble,97,97,16,2048,N,C,1,0,0,0,7,3.557141,3.556652,0.0001,693.40,panel_2stage97_nc
native,cdouble,97,97,16,2048,N,C,1,0,0,0,7,9.109724,9.105311,0.0005,270.76,panel_2stage97_nc
vendor,cdouble,97,97,16,2048,N,C,0,0,0,0,7,3.361183,3.361048,0.0002,733.82,panel_2stage97_nc
native,cdouble,97,97,16,2048,N,C,0,0,0,0,7,9.799229,9.222860,0.0296,251.70,panel_2stage97_nc
vendor,cfloat,129,96,129,1024,N,N,0,0,0,0,7,0.623519,0.621405,0.0028,20988.95,expand_trmm129_nn
native,cfloat,129,96,129,1024,N,N,0,0,0,0,7,1.946407,1.931131,0.0035,6723.68,expand_trmm129_nn
vendor,cdouble,129,96,129,1024,N,N,1,0,0,0,7,14.799230,14.793489,0.0005,884.30,expand_trmm129_nn
native,cdouble,129,96,129,1024,N,N,1,0,0,0,7,37.030863,37.028916,0.0000,353.41,expand_trmm129_nn
vendor,cdouble,129,96,129,1024,N,N,0,0,0,0,7,14.676676,14.663095,0.0004,891.69,expand_trmm129_nn
native,cdouble,129,96,129,1024,N,N,0,0,0,0,7,37.020858,37.017872,0.0001,353.50,expand_trmm129_nn
vendor,cfloat,16,64,16,8192,N,N,1,0,0,0,7,0.239199,0.238906,0.0007,4488.90,skinny_2stage_nn
native,cfloat,16,64,16,8192,N,N,1,0,0,0,7,0.359654,0.358578,0.0018,2985.49,skinny_2stage_nn
vendor,cfloat,16,64,16,8192,N,N,0,0,0,0,7,0.169215,0.169041,0.0015,6345.43,skinny_2stage_nn
native,cfloat,16,64,16,8192,N,N,0,0,0,0,7,0.357752,0.357483,0.0008,3001.36,skinny_2stage_nn
vendor,cdouble,16,64,16,8192,N,N,1,0,0,0,7,1.058736,1.058371,0.0002,1014.17,skinny_2stage_nn
native,cdouble,16,64,16,8192,N,N,1,0,0,0,7,3.446392,3.446206,0.0001,311.56,skinny_2stage_nn
vendor,cdouble,16,64,16,8192,N,N,0,0,0,0,7,0.985053,0.984744,0.0002,1090.03,skinny_2stage_nn
native,cdouble,16,64,16,8192,N,N,0,0,0,0,7,3.447387,3.446341,0.0002,311.47,skinny_2stage_nn
vendor,cfloat,16,64,16,8192,C,N,1,0,0,0,7,0.239655,0.239269,0.0007,4480.37,skinny_2stage_cn
native,cfloat,16,64,16,8192,C,N,1,0,0,0,7,0.235484,0.235398,0.0006,4559.72,skinny_2stage_cn
vendor,cfloat,16,64,16,8192,C,N,0,0,0,0,7,0.169127,0.168734,0.0013,6348.73,skinny_2stage_cn
native,cfloat,16,64,16,8192,C,N,0,0,0,0,7,0.234387,0.234331,0.0037,4581.06,skinny_2stage_cn
vendor,cdouble,16,64,16,8192,C,N,1,0,0,0,7,1.056984,1.056746,0.0001,1015.85,skinny_2stage_cn
native,cdouble,16,64,16,8192,C,N,1,0,0,0,7,3.015099,3.014901,0.0000,356.12,skinny_2stage_cn
vendor,cdouble,16,64,16,8192,C,N,0,0,0,0,7,0.985548,0.984900,0.0007,1089.49,skinny_2stage_cn
native,cdouble,16,64,16,8192,C,N,0,0,0,0,7,3.014927,3.014717,0.0002,356.14,skinny_2stage_cn
vendor,cfloat,256,256,256,256,N,N,1,0,0,0,7,0.927519,0.918116,0.0045,37044.77,square256_nn
native,cfloat,256,256,256,256,N,N,1,0,0,0,7,0.892302,0.876611,0.0087,38506.86,square256_nn
vendor,cfloat,256,256,256,256,N,N,0,0,0,0,7,0.872665,0.867199,0.0073,39373.33,square256_nn
native,cfloat,256,256,256,256,N,N,0,0,0,0,7,0.801911,0.797260,0.0076,42847.31,square256_nn
vendor,cdouble,256,256,256,256,N,N,1,0,0,0,7,27.803206,27.801032,0.0002,1235.82,square256_nn
native,cdouble,256,256,256,256,N,N,1,0,0,0,7,24.895499,24.892454,0.0001,1380.16,square256_nn
vendor,cdouble,256,256,256,256,N,N,0,0,0,0,7,27.663795,27.661649,0.0001,1242.05,square256_nn
native,cdouble,256,256,256,256,N,N,0,0,0,0,7,24.869076,24.866960,0.0001,1381.63,square256_nn
vendor,cfloat,512,512,512,64,N,N,1,0,0,0,7,1.668702,1.645745,0.0109,41181.39,square512_nn
native,cfloat,512,512,512,64,N,N,1,0,0,0,7,1.589281,1.579755,0.0045,43239.34,square512_nn
vendor,cfloat,512,512,512,64,N,N,0,0,0,0,7,1.553416,1.534982,0.0103,44237.65,square512_nn
native,cfloat,512,512,512,64,N,N,0,0,0,0,7,1.536160,1.535916,0.0001,44734.58,square512_nn
vendor,cdouble,512,512,512,64,N,N,1,0,0,0,7,55.236588,55.230860,0.0002,1244.09,square512_nn
native,cdouble,512,512,512,64,N,N,1,0,0,0,7,49.798492,49.467827,0.0093,1379.95,square512_nn
vendor,cdouble,512,512,512,64,N,N,0,0,0,0,7,55.129643,55.125087,0.0033,1246.51,square512_nn
native,cdouble,512,512,512,64,N,N,0,0,0,0,7,49.411725,49.405839,0.0003,1390.75,square512_nn
vendor,cfloat,1024,1024,1024,8,N,N,1,0,0,0,7,1.507210,1.499915,0.0060,45593.83,square1024_nn
native,cfloat,1024,1024,1024,8,N,N,1,0,0,0,7,1.504454,1.495798,0.0048,45677.35,square1024_nn
vendor,cfloat,1024,1024,1024,8,N,N,0,0,0,0,7,1.494398,1.484745,0.0027,45984.71,square1024_nn
native,cfloat,1024,1024,1024,8,N,N,0,0,0,0,7,1.524979,1.516135,0.0047,45062.57,square1024_nn
vendor,cdouble,1024,1024,1024,8,N,N,1,0,0,0,7,55.060780,55.053238,0.0001,1248.07,square1024_nn
native,cdouble,1024,1024,1024,8,N,N,1,0,0,0,7,49.241669,49.231424,0.0001,1395.56,square1024_nn
vendor,cdouble,1024,1024,1024,8,N,N,0,0,0,0,7,55.004954,55.000571,0.0001,1249.33,square1024_nn
native,cdouble,1024,1024,1024,8,N,N,0,0,0,0,7,49.226858,49.215393,0.0003,1395.98,square1024_nn
vendor,cfloat,129,96,129,1024,N,N,1,0,0,0,9,0.656140,0.655254,0.0006,19945.46,expand_trmm129_nn
native,cfloat,129,96,129,1024,N,N,1,0,0,0,9,1.964772,1.943283,0.0081,6660.83,expand_trmm129_nn
