scalar,m,n,k,batch,transA,transB,calls,origin,algo,square,NN,min_dim,max_dim
complex<double>,32,64,32,8,C,N,2,vendor,auto,0,0,32,64
complex<double>,64,64,64,4,C,N,2,vendor,auto,1,0,64,64
complex<double>,64,64,64,4,N,N,2,vendor,auto,1,1,64,64
complex<double>,32,32,16,8,N,C,2,vendor,auto,0,0,16,32
complex<double>,32,32,16,4,N,C,2,vendor,auto,0,0,16,32
complex<double>,32,32,16,1,N,C,2,vendor,auto,0,0,16,32
complex<double>,1024,1024,1024,128,N,N,1,vendor,auto,1,1,1024,1024
complex<double>,32,32,32,1,N,N,1,vendor,auto,1,1,32,32
complex<double>,10,10,10,3,N,N,1,vendor,auto,1,1,10,10
complex<double>,2,2,3,1,N,N,1,vendor,auto,0,1,2,3
complex<double>,5,5,5,1,N,N,1,vendor,auto,1,1,5,5
complex<double>,10,3,10,2,N,N,1,vendor,auto,0,1,3,10
complex<float>,16,64,16,3,N,N,255,vendor,auto,0,1,16,64
complex<float>,1,129,1,3,N,N,216,vendor,auto,0,1,1,129
complex<float>,16,64,16,3,C,N,149,vendor,auto,0,0,16,64
complex<float>,1,32,1,3,N,N,129,vendor,auto,0,1,1,32
complex<float>,1,129,1,3,C,N,113,vendor,auto,0,0,1,129
complex<float>,1,32,1,3,C,N,84,vendor,auto,0,0,1,32
complex<float>,129,129,48,2,N,C,72,vendor,auto,0,0,48,129
complex<float>,129,129,48,2,C,N,72,vendor,auto,0,0,48,129
complex<float>,5,5,10,2,C,N,63,vendor,auto,0,0,5,10
complex<float>,33,33,61,5,N,C,52,vendor,auto,0,0,33,61
complex<float>,33,33,61,5,C,N,52,vendor,auto,0,0,33,61
complex<float>,16,16,24,2,N,C,48,vendor,auto,0,0,16,24
complex<float>,16,16,24,2,C,N,48,vendor,auto,0,0,16,24
complex<float>,96,96,64,3,N,C,48,vendor,auto,0,0,64,96
complex<float>,96,96,64,3,C,N,48,vendor,auto,0,0,64,96
complex<float>,77,77,13,1,N,C,44,vendor,auto,0,0,13,77
complex<float>,77,77,13,1,C,N,44,vendor,auto,0,0,13,77
complex<float>,97,97,16,3,N,C,43,vendor,auto,0,0,16,97
complex<float>,32,32,16,3,N,C,39,vendor,auto,0,0,16,32
complex<float>,15,96,15,1,N,N,28,vendor,auto,0,1,15,96
complex<float>,10,5,5,2,N,N,22,vendor,auto,0,1,5,10
complex<float>,1,31,1,3,N,N,21,vendor,auto,0,1,1,31
complex<float>,33,61,33,5,N,N,20,vendor,auto,0,1,33,61
complex<float>,129,96,129,5,N,N,20,vendor,auto,0,1,96,129
complex<float>,64,48,64,2,N,N,20,vendor,auto,0,1,48,64
complex<float>,300,32,300,1,N,N,20,vendor,auto,0,1,32,300
complex<float>,16,24,16,2,N,N,16,vendor,auto,0,1,16,24
complex<float>,77,13,77,1,N,N,16,vendor,auto,0,1,13,77
complex<float>,96,64,96,3,N,N,16,vendor,auto,0,1,64,96
complex<float>,129,48,129,2,N,N,16,vendor,auto,0,1,48,129
complex<float>,31,320,31,1,N,N,14,vendor,auto,0,1,31,320
complex<float>,15,96,15,1,C,N,14,vendor,auto,0,0,15,96
complex<float>,1,31,1,3,C,N,14,vendor,auto,0,0,1,31
complex<float>,32,64,32,1,N,N,12,vendor,auto,0,1,32,64
complex<float>,129,96,96,5,N,T,12,vendor,auto,0,0,96,129
complex<float>,64,48,48,2,N,T,12,vendor,auto,0,0,48,64
complex<float>,129,96,96,5,N,C,12,vendor,auto,0,0,96,129
complex<float>,64,48,48,2,N,C,12,vendor,auto,0,0,48,64
complex<float>,512,512,512,4,N,N,12,vendor,auto,1,1,512,512
complex<float>,300,32,32,1,N,T,12,vendor,auto,0,0,32,300
complex<float>,300,32,32,1,N,C,12,vendor,auto,0,0,32,300
complex<float>,96,96,16,8,N,N,12,vendor,auto,0,1,16,96
complex<float>,96,96,16,4,N,N,12,vendor,auto,0,1,16,96
complex<float>,168,168,24,2,N,C,10,vendor,auto,0,0,24,168
complex<float>,300,32,300,1,C,N,8,vendor,auto,0,0,32,300
complex<float>,300,32,300,1,T,N,8,vendor,auto,0,0,32,300
complex<float>,129,96,129,5,T,N,8,vendor,auto,0,0,96,129
complex<float>,64,48,64,2,T,N,8,vendor,auto,0,0,48,64
complex<float>,129,96,129,5,C,N,8,vendor,auto,0,0,96,129
complex<float>,64,48,64,2,C,N,8,vendor,auto,0,0,48,64
complex<float>,512,512,512,4,N,C,8,vendor,auto,1,0,512,512
complex<float>,512,512,512,4,N,T,8,vendor,auto,1,0,512,512
complex<float>,16,96,96,4,C,N,8,vendor,auto,0,0,16,96
complex<float>,16,96,96,8,C,N,8,vendor,auto,0,0,16,96
complex<float>,8,8,8,1,N,N,7,vendor,auto,1,1,8,8
complex<float>,32,64,32,1,C,N,7,vendor,auto,0,0,32,64
complex<float>,31,320,31,1,C,N,7,vendor,auto,0,0,31,320
complex<float>,31,1,1,3,N,C,7,vendor,auto,0,0,1,31
complex<float>,64,64,32,1,N,C,6,vendor,auto,0,0,32,64
complex<float>,32,32,16,4,N,N,6,vendor,auto,0,1,16,32
complex<float>,32,32,16,8,N,N,6,vendor,auto,0,1,16,32
complex<float>,32,32,16,1,N,N,6,vendor,auto,0,1,16,32
complex<float>,7,5,3,1,N,N,5,native,register_tiled,0,1,3,7
complex<float>,4,4,4,1,C,N,5,vendor,auto,1,0,4,4
complex<float>,128,128,128,2,N,N,4,native,register_tiled,1,1,128,128
complex<float>,4,4,4,1,N,N,4,vendor,auto,1,1,4,4
complex<float>,32,64,32,8,N,N,4,vendor,auto,0,1,32,64
complex<float>,65,65,40,4,N,C,4,vendor,auto,0,0,40,65
complex<float>,65,65,40,4,C,N,4,vendor,auto,0,0,40,65
complex<float>,32,32,24,3,N,C,4,vendor,auto,0,0,24,32
complex<float>,512,512,512,4,C,N,4,vendor,auto,1,0,512,512
complex<float>,512,512,512,4,T,N,4,vendor,auto,1,0,512,512
complex<float>,96,96,16,8,N,C,4,vendor,auto,0,0,16,96
complex<float>,16,32,32,1,C,N,4,vendor,auto,0,0,16,32
complex<float>,16,32,32,8,C,N,4,vendor,auto,0,0,16,32
complex<float>,16,32,32,4,C,N,4,vendor,auto,0,0,16,32
complex<float>,96,96,16,4,N,C,4,vendor,auto,0,0,16,96
complex<float>,4,4,4,3,C,N,3,vendor,auto,1,0,4,4
complex<float>,224,224,32,1,N,C,3,vendor,auto,0,0,32,224
complex<float>,224,224,32,4,N,C,3,vendor,auto,0,0,32,224
complex<float>,256,256,256,128,N,N,2,vendor,auto,1,1,256,256
complex<float>,24,20,16,3,T,T,2,native,register_tiled,0,0,16,24
complex<float>,96,80,64,2,T,T,2,native,register_tiled,0,0,64,96
complex<float>,256,256,256,2,N,N,2,native,register_tiled,1,1,256,256
complex<float>,32,32,32,4,N,N,2,native,register_tiled,1,1,32,32
complex<float>,18,14,12,2,C,N,2,native,register_tiled,0,0,12,18
complex<float>,4,4,4,3,N,N,2,vendor,auto,1,1,4,4
complex<float>,32,64,32,8,C,N,2,vendor,auto,0,0,32,64
complex<float>,64,64,64,4,N,N,2,vendor,auto,1,1,64,64
complex<float>,64,64,64,4,C,N,2,vendor,auto,1,0,64,64
complex<float>,32,32,16,8,N,C,2,vendor,auto,0,0,16,32
complex<float>,32,32,16,4,N,C,2,vendor,auto,0,0,16,32
complex<float>,288,288,32,4,N,C,2,vendor,auto,0,0,32,288
complex<float>,288,288,32,1,N,C,2,vendor,auto,0,0,32,288
complex<float>,32,32,16,1,N,C,2,vendor,auto,0,0,16,32
complex<float>,1024,1024,1024,128,N,N,1,vendor,auto,1,1,1024,1024
complex<float>,32,32,32,1,N,N,1,vendor,auto,1,1,32,32
complex<float>,10,10,10,3,N,N,1,vendor,auto,1,1,10,10
complex<float>,2,2,3,1,N,N,1,vendor,auto,0,1,2,3
complex<float>,10,3,10,2,N,N,1,vendor,auto,0,1,3,10
complex<float>,5,5,5,1,N,N,1,vendor,auto,1,1,5,5
