op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,ntpiv,extra2,flag,foreign
getrf,float,128,1,128,0.2456,0.2457,0.0045,728.78,7.568e-07,4608,native:cta,0,122,0,0,ok,0
getrf,float,128,1,256,0.4796,0.4797,0.0007,746.20,6.818e-07,9216,native:cta,0,119,0,0,ok,0
getrf,float,128,1,512,0.9482,0.9667,0.0590,754.91,5.169e-07,18432,native:cta,0,116,0,0,ok,0
getrf,float,128,1,1024,1.9609,1.9786,0.0277,730.09,9.683e-07,36864,native:cta,0,124,0,0,ok,0
getrf,float,256,1,128,1.0060,1.0060,0.0014,1423.15,3.078e-07,4608,native:blocked,0,246,0,0,ok,0
getrf,float,256,1,256,1.5965,1.5962,0.0014,1793.54,3.078e-07,9216,native:blocked,0,251,0,0,ok,0
getrf,float,256,1,512,3.9297,3.9575,0.0227,1457.27,3.763e-07,18432,native:blocked,0,251,0,0,ok,0
getrf,float,256,1,1024,10.8580,11.0379,0.0275,1054.82,3.078e-07,36864,native:blocked,0,249,0,0,ok,0
getrf,float,512,1,128,4.7303,4.7897,0.0301,2421.23,3.750e-07,4608,native:blocked,0,503,0,0,ok,0
getrf,float,512,1,256,11.4826,11.6376,0.0210,1994.88,5.192e-07,9216,native:blocked,0,504,0,0,ok,0
getrf,float,512,1,512,29.0533,28.9762,0.0064,1576.86,3.750e-07,18432,native:blocked,0,505,0,0,ok,0
getrf,float,512,1,1024,63.2528,63.2605,0.0010,1448.57,4.485e-07,36864,native:blocked,0,504,0,0,ok,0
getrf,float,1024,1,128,34.5250,34.5461,0.0015,2653.90,6.903e-07,4608,native:blocked,0,1019,0,0,ok,0
getrf,float,1024,1,256,78.7881,78.9405,0.0029,2325.88,6.903e-07,9216,native:blocked,0,1014,0,0,ok,0
getrf,float,1024,1,512,167.7692,167.7685,0.0006,2184.57,6.903e-07,18432,native:blocked,0,1015,0,0,ok,0
getrf,float,2048,1,128,224.1271,224.0472,0.0011,3270.50,6.437e-07,4608,native:blocked,0,2045,0,0,ok,0
getrf,double,128,1,128,0.8794,0.8794,0.0004,203.50,9.874e-16,4608,native:blocked,0,122,0,0,ok,0
getrf,double,128,1,256,1.4798,1.4973,0.0355,241.87,1.757e-15,9216,native:blocked,0,119,0,0,ok,0
getrf,double,128,1,512,3.0796,3.1023,0.0233,232.45,1.345e-15,18432,native:blocked,0,116,0,0,ok,0
getrf,double,128,1,1024,6.5431,6.6425,0.0330,218.80,1.403e-15,36864,native:blocked,0,124,0,0,ok,0
getrf,double,256,1,128,3.1246,3.1442,0.0181,458.19,1.960e-15,4608,native:blocked,0,246,0,0,ok,0
getrf,double,256,1,256,6.3345,6.3793,0.0152,452.02,2.828e-15,9216,native:blocked,0,251,0,0,ok,0
getrf,double,256,1,512,13.9260,14.1356,0.0185,411.22,1.855e-15,18432,native:blocked,0,251,0,0,ok,0
getrf,double,256,1,1024,30.5999,30.5003,0.0061,374.29,1.858e-15,36864,native:blocked,0,249,0,0,ok,0
getrf,double,512,1,128,17.1890,16.9731,0.0164,666.31,3.050e-15,4608,native:blocked,0,503,0,0,ok,0
getrf,double,512,1,256,35.2630,35.2742,0.0025,649.59,3.050e-15,9216,native:blocked,0,504,0,0,ok,0
getrf,double,512,1,512,74.8543,74.9389,0.0027,612.03,3.127e-15,18432,native:blocked,0,505,0,0,ok,0
getrf,double,512,1,1024,153.5623,153.4416,0.0015,596.67,3.290e-15,36864,native:blocked,0,504,0,0,ok,0
getrf,double,1024,1,128,105.8719,105.8940,0.0005,865.44,4.368e-15,4608,native:blocked,0,1019,0,0,ok,0
getrf,double,1024,1,256,219.0845,219.1109,0.0010,836.44,4.183e-15,9216,native:blocked,0,1014,0,0,ok,0
getrf,double,1024,1,512,457.1837,457.3571,0.0009,801.66,4.183e-15,18432,native:blocked,0,1015,0,0,ok,0
getrf,double,2048,1,128,729.5623,729.5801,0.0006,1004.72,1.123e-14,4608,native:blocked,0,2045,0,0,ok,0
getrf,cfloat,128,1,128,0.5425,0.5425,0.0010,329.85,1.876e-07,4608,native:blocked,0,122,0,0,ok,0
getrf,cfloat,128,1,256,0.7165,0.7167,0.0013,499.55,3.697e-07,9216,native:blocked,0,119,0,0,ok,0
getrf,cfloat,128,1,512,1.2495,1.2492,0.0009,572.90,3.660e-07,18432,native:blocked,0,116,0,0,ok,0
getrf,cfloat,128,1,1024,2.7609,2.7816,0.0225,518.55,2.479e-07,36864,native:blocked,0,124,0,0,ok,0
getrf,cfloat,256,1,128,1.6716,1.6887,0.0333,856.47,3.173e-07,4608,native:blocked,0,246,0,0,ok,0
getrf,cfloat,256,1,256,3.2814,3.3075,0.0273,872.60,3.173e-07,9216,native:blocked,0,251,0,0,ok,0
getrf,cfloat,256,1,512,7.4236,7.5629,0.0306,771.41,3.520e-07,18432,native:blocked,0,251,0,0,ok,0
getrf,cfloat,256,1,1024,17.3130,17.4193,0.0168,661.54,3.173e-07,36864,native:blocked,0,249,0,0,ok,0
getrf,cfloat,512,1,128,9.5721,9.7078,0.0198,1196.52,3.812e-07,4608,native:blocked,0,503,0,0,ok,0
getrf,cfloat,512,1,256,20.9957,20.8308,0.0115,1091.01,3.614e-07,9216,native:blocked,0,504,0,0,ok,0
getrf,cfloat,512,1,512,46.6891,46.7236,0.0034,981.24,4.947e-07,18432,native:blocked,0,505,0,0,ok,0
getrf,cfloat,512,1,1024,96.7256,96.7484,0.0019,947.28,3.995e-07,36864,native:blocked,0,504,0,0,ok,0
getrf,cfloat,1024,1,128,58.5674,58.4559,0.0034,1564.45,4.964e-07,4608,native:blocked,0,1019,0,0,ok,0
getrf,cfloat,1024,1,256,126.6269,126.5920,0.0013,1447.18,4.964e-07,9216,native:blocked,0,1014,0,0,ok,0
getrf,cfloat,1024,1,512,272.2792,272.3068,0.0006,1346.06,4.964e-07,18432,native:blocked,0,1015,0,0,ok,0
getrf,cfloat,2048,1,128,359.2155,359.1334,0.0005,2040.58,7.342e-07,4608,native:blocked,0,2045,0,0,ok,0
getrf,cdouble,128,1,128,1.9181,1.9343,0.0260,93.30,1.474e-15,4608,native:blocked,0,122,0,0,ok,0
getrf,cdouble,128,1,256,3.5198,3.5466,0.0242,101.69,1.474e-15,9216,native:blocked,0,119,0,0,ok,0
getrf,cdouble,128,1,512,7.9375,8.0333,0.0253,90.18,1.474e-15,18432,native:blocked,0,116,0,0,ok,0
getrf,cdouble,128,1,1024,16.3726,16.3649,0.0102,87.44,1.474e-15,36864,native:blocked,0,124,0,0,ok,0
getrf,cdouble,256,1,128,8.7473,8.9018,0.0254,163.67,1.488e-15,4608,native:blocked,0,246,0,0,ok,0
getrf,cdouble,256,1,256,17.8632,17.9209,0.0137,160.29,1.762e-15,9216,native:blocked,0,251,0,0,ok,0
getrf,cdouble,256,1,512,37.2467,37.2570,0.0013,153.75,1.439e-15,18432,native:blocked,0,251,0,0,ok,0
getrf,cdouble,256,1,1024,76.3984,76.4980,0.0031,149.91,1.627e-15,36864,native:blocked,0,249,0,0,ok,0
getrf,cdouble,512,1,128,52.3818,52.3758,0.0047,218.65,2.876e-15,4608,native:blocked,0,503,0,0,ok,0
getrf,cdouble,512,1,256,105.0081,105.0333,0.0014,218.14,2.876e-15,9216,native:blocked,0,504,0,0,ok,0
getrf,cdouble,512,1,512,214.1568,214.2385,0.0014,213.92,2.876e-15,18432,native:blocked,0,505,0,0,ok,0
getrf,cdouble,512,1,1024,430.1975,430.2291,0.0009,212.99,2.876e-15,36864,native:blocked,0,504,0,0,ok,0
getrf,cdouble,1024,1,128,352.8688,355.7516,0.0166,259.66,4.412e-15,4608,native:blocked,0,1019,0,0,ok,0
getrf,cdouble,1024,1,256,718.9941,720.3311,0.0062,254.87,3.396e-15,9216,native:blocked,0,1014,0,0,ok,0
