op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,ntpiv,extra2,flag,foreign
getrf,float,128,1,128,0.2465,0.2468,0.0053,726.06,2.242e-07,512,vendor:auto,0,122,0,0,ok,0
getrf,float,128,1,256,0.3956,0.3963,0.0052,904.84,2.261e-07,1024,vendor:auto,0,119,0,0,ok,0
getrf,float,128,1,512,0.7327,0.7331,0.0052,976.96,2.361e-07,2048,vendor:auto,0,116,0,0,ok,0
getrf,float,128,1,1024,1.7097,1.7301,0.0340,837.38,2.242e-07,4096,vendor:auto,0,124,0,0,ok,0
getrf,float,256,1,128,1.2616,1.2622,0.0012,1134.84,3.046e-07,512,vendor:auto,0,246,0,0,ok,0
getrf,float,256,1,256,2.0420,2.0574,0.0300,1402.19,2.661e-07,1024,vendor:auto,0,251,0,0,ok,0
getrf,float,256,1,512,6.1558,6.2599,0.0342,930.27,3.521e-07,2048,vendor:auto,0,251,0,0,ok,0
getrf,float,256,1,1024,18.1880,18.0455,0.0286,629.71,3.225e-07,4096,vendor:auto,0,249,0,0,ok,0
getrf,float,512,1,128,11.1182,11.2538,0.0197,1030.13,3.907e-07,512,vendor:auto,0,503,0,0,ok,0
getrf,float,512,1,256,22.8303,22.7294,0.0105,1003.34,4.773e-07,1024,vendor:auto,0,504,0,0,ok,0
getrf,float,512,1,512,50.4626,50.4000,0.0045,907.86,4.133e-07,2048,vendor:auto,0,505,0,0,ok,0
getrf,float,512,1,1024,138.0961,138.1008,0.0032,663.49,5.355e-07,4096,vendor:auto,0,504,0,0,ok,0
getrf,float,1024,1,128,95.7337,95.6567,0.0018,957.09,7.493e-07,512,vendor:auto,0,1019,0,0,ok,0
getrf,float,1024,1,256,172.2001,172.2680,0.0015,1064.18,6.985e-07,1024,vendor:auto,0,1014,0,0,ok,0
getrf,float,1024,1,512,375.2303,375.4031,0.0032,976.74,6.201e-07,2048,vendor:auto,0,1015,0,0,ok,0
getrf,float,2048,1,128,692.8084,692.7965,0.0004,1058.02,1.087e-06,512,vendor:auto,0,2045,0,0,ok,0
getrf,double,128,1,128,0.4542,0.4544,0.0018,394.00,1.117e-15,512,vendor:auto,0,122,0,0,ok,0
getrf,double,128,1,256,0.6659,0.6822,0.0779,537.49,1.757e-15,1024,vendor:auto,0,119,0,0,ok,0
getrf,double,128,1,512,1.1647,1.1664,0.0042,614.61,1.457e-15,2048,vendor:auto,0,116,0,0,ok,0
getrf,double,128,1,1024,2.6164,2.6347,0.0255,547.19,1.295e-15,4096,vendor:auto,0,124,0,0,ok,0
getrf,double,256,1,128,2.4211,2.4589,0.0491,591.33,1.855e-15,512,vendor:auto,0,246,0,0,ok,0
getrf,double,256,1,256,4.3825,4.4490,0.0353,653.36,2.828e-15,1024,vendor:auto,0,251,0,0,ok,0
getrf,double,256,1,512,10.2031,10.3971,0.0273,561.26,1.855e-15,2048,vendor:auto,0,251,0,0,ok,0
getrf,double,256,1,1024,22.1026,21.9516,0.0130,518.18,1.858e-15,4096,vendor:auto,0,249,0,0,ok,0
