op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,ntpiv,extra2,flag,foreign
getrf,cdouble,128,1,512,3.4664,3.5786,0.0583,206.51,1.485e-15,2048,vendor:auto,0,116,0,0,ok,0
getrf,cdouble,128,1,1024,7.0166,7.0352,0.0720,204.04,1.485e-15,4096,vendor:auto,0,124,0,0,ok,0
getrf,cdouble,256,1,128,7.1940,7.2694,0.0597,199.01,1.579e-15,512,vendor:auto,0,246,0,0,ok,0
getrf,cdouble,256,1,256,12.0409,12.2207,0.0361,237.80,2.084e-15,1024,vendor:auto,0,251,0,0,ok,0
getrf,cdouble,256,1,512,24.8457,24.9147,0.0149,230.49,1.579e-15,2048,vendor:auto,0,251,0,0,ok,0
getrf,cdouble,256,1,1024,47.9949,46.8525,0.0426,238.63,1.956e-15,4096,vendor:auto,0,249,0,0,ok,0
getrf,cdouble,512,1,128,47.8568,47.9774,0.0065,239.32,2.955e-15,512,vendor:auto,0,503,0,0,ok,0
getrf,cdouble,512,1,256,90.9645,89.4150,0.0332,251.82,2.955e-15,1024,vendor:auto,0,504,0,0,ok,0
getrf,cdouble,512,1,512,173.8709,173.8171,0.0104,263.49,2.955e-15,2048,vendor:auto,0,505,0,0,ok,0
getrf,cdouble,512,1,1024,320.9320,327.9198,0.0365,285.50,2.955e-15,4096,vendor:auto,0,504,0,0,ok,0
getrf,cdouble,1024,1,128,380.5811,374.4416,0.0295,240.75,4.409e-15,512,vendor:auto,0,1019,0,0,ok,0
getrf,cdouble,1024,1,256,679.4669,669.2586,0.0364,269.70,3.472e-15,1024,vendor:auto,0,1014,0,0,ok,0
