type,n,batch,armA,armB,modeA,modeB,A_ms,B_ms,ratio,relsdA,relsdB,resA,resB,bitdiff,route,ntpiv,flag,foreign
float,256,256,inloop,defer_walk,0,1,2.0619,2.5123,0.8207,0.0143,0.0309,3.078e-07,3.078e-07,0,native:blocked,249,ok,0
float,256,1024,inloop,defer_walk,0,1,13.9948,12.4463,1.1244,0.0207,0.0217,4.916e-07,4.916e-07,0,native:blocked,249,ok,0
float,512,128,inloop,defer_walk,0,1,6.1482,8.7017,0.7066,0.0155,0.0224,3.750e-07,3.750e-07,0,native:blocked,502,ok,0
float,512,512,inloop,defer_walk,0,1,41.1818,32.9463,1.2500,0.0048,0.0027,3.975e-07,3.975e-07,0,native:blocked,502,ok,0
float,512,1024,inloop,defer_walk,0,1,90.5914,70.7188,1.2810,0.0012,0.0022,4.508e-07,4.508e-07,0,native:blocked,502,ok,0
float,1024,128,inloop,defer_walk,0,1,47.6501,51.1117,0.9323,0.0022,0.0006,6.903e-07,6.903e-07,0,native:blocked,1016,ok,0
float,1024,512,inloop,defer_walk,0,1,244.3121,185.7633,1.3152,0.0014,0.0014,6.903e-07,6.903e-07,0,native:blocked,1016,ok,0
float,2048,128,inloop,defer_walk,0,1,305.6841,292.9838,1.0433,0.0005,0.0009,7.106e-07,7.106e-07,0,native:blocked,2041,ok,0
double,512,512,inloop,defer_walk,0,1,92.6273,79.7948,1.1608,0.0035,0.0028,3.494e-15,3.494e-15,0,native:blocked,502,ok,0
cfloat,512,512,inloop,defer_walk,0,1,64.3765,54.2957,1.1857,0.0034,0.0036,3.955e-07,3.955e-07,0,native:blocked,502,ok,0
cdouble,512,256,inloop,defer_walk,0,1,113.4999,112.6714,1.0074,0.0025,0.0017,2.876e-15,2.876e-15,0,native:blocked,502,ok,0
