op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,ntpiv,extra2,flag,foreign
getrf,float,128,1,128,0.2454,0.2453,0.0012,729.37,7.568e-07,4608,native:cta,0,122,0,0,ok,0
getrf,float,128,1,256,0.4800,0.4801,0.0014,745.66,6.818e-07,9216,native:cta,0,119,0,0,ok,0
getrf,float,128,1,512,0.9484,0.9485,0.0005,754.74,5.169e-07,18432,native:cta,0,116,0,0,ok,0
getrf,float,128,1,1024,1.9549,1.9734,0.0297,732.36,9.683e-07,36864,native:cta,0,124,0,0,ok,0
getrf,float,256,1,128,1.2739,1.2742,0.0012,1123.84,3.078e-07,4608,native:blocked,0,246,0,0,ok,0
getrf,float,256,1,256,2.0598,2.0788,0.0303,1390.06,3.078e-07,9216,native:blocked,0,251,0,0,ok,0
getrf,float,256,1,512,4.8983,5.0145,0.0434,1169.11,3.763e-07,18432,native:blocked,0,251,0,0,ok,0
getrf,float,256,1,1024,13.9577,14.1334,0.0179,820.57,3.078e-07,36864,native:blocked,0,249,0,0,ok,0
getrf,float,512,1,128,6.1471,6.2185,0.0264,1863.20,3.750e-07,4608,native:blocked,0,503,0,0,ok,0
getrf,float,512,1,256,15.5567,15.3757,0.0167,1472.46,5.192e-07,9216,native:blocked,0,504,0,0,ok,0
getrf,float,512,1,512,40.9353,41.0431,0.0060,1119.16,3.750e-07,18432,native:blocked,0,505,0,0,ok,0
getrf,float,512,1,1024,91.1115,90.9548,0.0032,1005.65,4.485e-07,36864,native:blocked,0,504,0,0,ok,0
getrf,float,1024,1,128,47.1217,47.3146,0.0055,1944.46,6.903e-07,4608,native:blocked,0,1019,0,0,ok,0
getrf,float,1024,1,256,114.2757,114.2002,0.0028,1603.59,6.903e-07,9216,native:blocked,0,1014,0,0,ok,0
getrf,float,1024,1,512,245.3235,245.2760,0.0010,1493.96,6.903e-07,18432,native:blocked,0,1015,0,0,ok,0
getrf,float,2048,1,128,305.6173,305.6318,0.0011,2398.45,6.437e-07,4608,native:blocked,0,2045,0,0,ok,0
getrf,double,128,1,128,0.9753,0.9918,0.0521,183.49,9.874e-16,4608,native:blocked,0,122,0,0,ok,0
getrf,double,128,1,256,1.5880,1.5881,0.0003,225.38,1.757e-15,9216,native:blocked,0,119,0,0,ok,0
getrf,double,128,1,512,3.2446,3.2703,0.0250,220.62,1.345e-15,18432,native:blocked,0,116,0,0,ok,0
getrf,double,128,1,1024,6.9147,6.9921,0.0254,207.04,1.403e-15,36864,native:blocked,0,124,0,0,ok,0
