type,n,batch,armA,armB,modeA,modeB,A_ms,B_ms,ratio,relsdA,relsdB,resA,resB,bitdiff,route,ntpiv,flag,foreign
float,128,128,inloop,defer_gather,0,2,0.2459,0.2459,0.9997,0.0699,0.0086,6.240e-07,6.240e-07,0,native:cta,125,ok,0
float,128,256,inloop,defer_gather,0,2,0.4806,0.4806,1.0001,0.0702,0.0045,3.455e-07,3.455e-07,0,native:cta,125,ok,0
float,128,512,inloop,defer_gather,0,2,0.9496,0.9498,0.9998,0.1383,0.0589,5.533e-07,5.533e-07,0,native:cta,125,ok,0
float,128,1024,inloop,defer_gather,0,2,1.9555,1.9559,0.9998,0.0117,0.0276,6.162e-07,6.162e-07,0,native:cta,125,ok,0
float,256,128,inloop,defer_gather,0,2,1.2774,1.0085,1.2667,0.0118,0.0018,3.078e-07,3.078e-07,0,native:blocked,249,ok,0
float,256,256,inloop,defer_gather,0,2,2.0724,1.6277,1.2732,0.0496,0.0013,3.078e-07,3.078e-07,0,native:blocked,249,ok,0
float,256,512,inloop,defer_gather,0,2,4.9175,3.8929,1.2632,0.0311,0.0336,3.692e-07,3.692e-07,0,native:blocked,249,ok,0
float,256,1024,inloop,defer_gather,0,2,13.8355,10.8449,1.2758,0.0214,0.0217,4.916e-07,4.916e-07,0,native:blocked,249,ok,0
float,512,128,inloop,defer_gather,0,2,6.1734,4.7306,1.3050,0.0260,0.0011,3.750e-07,3.750e-07,0,native:blocked,502,ok,0
float,512,256,inloop,defer_gather,0,2,15.5057,11.4976,1.3486,0.0152,0.0183,3.750e-07,3.750e-07,0,native:blocked,502,ok,0
float,512,512,inloop,defer_gather,0,2,40.8348,28.8382,1.4160,0.0056,0.0060,3.975e-07,3.975e-07,0,native:blocked,502,ok,0
float,512,1024,inloop,defer_gather,0,2,91.1072,62.9192,1.4480,0.0034,0.0030,4.508e-07,4.508e-07,0,native:blocked,502,ok,0
float,1024,128,inloop,defer_gather,0,2,47.1324,34.5035,1.3660,0.0052,0.0046,6.903e-07,6.903e-07,0,native:blocked,1016,ok,0
float,1024,256,inloop,defer_gather,0,2,114.8751,78.7636,1.4585,0.0019,0.0015,6.903e-07,6.903e-07,0,native:blocked,1016,ok,0
float,1024,512,inloop,defer_gather,0,2,244.7408,167.6956,1.4594,0.0018,0.0013,6.903e-07,6.903e-07,0,native:blocked,1016,ok,0
float,2048,128,inloop,defer_gather,0,2,305.6544,223.7939,1.3658,0.0011,0.0011,7.106e-07,7.106e-07,0,native:blocked,2041,ok,0
double,128,128,inloop,defer_gather,0,2,0.9804,0.8835,1.1096,0.0510,0.0005,1.519e-15,1.519e-15,0,native:blocked,125,ok,0
double,128,256,inloop,defer_gather,0,2,1.5934,1.4868,1.0717,0.0134,0.0372,1.142e-15,1.142e-15,0,native:blocked,125,ok,0
double,128,512,inloop,defer_gather,0,2,3.2518,3.0862,1.0537,0.0248,0.0008,9.874e-16,9.874e-16,0,native:blocked,125,ok,0
double,128,1024,inloop,defer_gather,0,2,6.9623,6.5702,1.0597,0.0271,0.0383,1.092e-15,1.092e-15,0,native:blocked,125,ok,0
double,256,128,inloop,defer_gather,0,2,3.4315,3.1428,1.0919,0.0229,0.0263,1.855e-15,1.855e-15,0,native:blocked,249,ok,0
double,256,256,inloop,defer_gather,0,2,6.9647,6.3420,1.0982,0.0369,0.0298,2.938e-15,2.938e-15,0,native:blocked,249,ok,0
double,256,512,inloop,defer_gather,0,2,16.0482,13.8985,1.1547,0.0151,0.0169,3.021e-15,3.021e-15,0,native:blocked,249,ok,0
double,256,1024,inloop,defer_gather,0,2,36.1858,30.6054,1.1823,0.0039,0.0045,1.980e-15,1.980e-15,0,native:blocked,249,ok,0
double,512,128,inloop,defer_gather,0,2,19.5714,16.8790,1.1595,0.0134,0.0146,3.311e-15,3.311e-15,0,native:blocked,502,ok,0
double,512,256,inloop,defer_gather,0,2,41.4276,35.2743,1.1744,0.0047,0.0007,3.050e-15,3.050e-15,0,native:blocked,502,ok,0
double,512,512,inloop,defer_gather,0,2,92.4194,74.8411,1.2349,0.0024,0.0032,3.494e-15,3.494e-15,0,native:blocked,502,ok,0
double,512,1024,inloop,defer_gather,0,2,191.2770,153.8323,1.2434,0.0021,0.0022,3.903e-15,3.903e-15,0,native:blocked,502,ok,0
double,1024,128,inloop,defer_gather,0,2,123.0563,105.9311,1.1617,0.0005,0.0005,5.008e-15,5.008e-15,0,native:blocked,1016,ok,0
double,1024,256,inloop,defer_gather,0,2,262.1335,220.6830,1.1878,0.0013,0.0016,5.917e-15,5.917e-15,0,native:blocked,1016,ok,0
double,1024,512,inloop,defer_gather,0,2,547.9106,460.3441,1.1902,0.0011,0.0009,4.588e-15,4.588e-15,0,native:blocked,1016,ok,0
double,2048,128,inloop,defer_gather,0,2,821.3184,730.4136,1.1245,0.0013,0.0016,1.123e-14,1.123e-14,0,native:blocked,2041,ok,0
cfloat,128,128,inloop,defer_gather,0,2,0.7384,0.5506,1.3410,0.0204,0.0065,2.945e-07,2.945e-07,0,native:blocked,125,ok,0
cfloat,128,256,inloop,defer_gather,0,2,0.9330,0.7248,1.2872,0.0299,0.0735,3.486e-07,3.486e-07,0,native:blocked,125,ok,0
cfloat,128,512,inloop,defer_gather,0,2,1.5757,1.2627,1.2478,0.0193,0.0617,2.817e-07,2.817e-07,0,native:blocked,125,ok,0
cfloat,128,1024,inloop,defer_gather,0,2,3.3736,2.7360,1.2330,0.0378,0.0026,3.577e-07,3.577e-07,0,native:blocked,125,ok,0
cfloat,256,128,inloop,defer_gather,0,2,2.2239,1.6745,1.3281,0.0235,0.0012,3.917e-07,3.917e-07,0,native:blocked,249,ok,0
cfloat,256,256,inloop,defer_gather,0,2,4.2154,3.2672,1.2902,0.0178,0.0282,3.173e-07,3.173e-07,0,native:blocked,249,ok,0
cfloat,256,512,inloop,defer_gather,0,2,9.3511,7.3944,1.2646,0.0193,0.0198,3.173e-07,3.173e-07,0,native:blocked,249,ok,0
cfloat,256,1024,inloop,defer_gather,0,2,23.0796,17.3417,1.3309,0.0111,0.0131,3.714e-07,3.714e-07,0,native:blocked,249,ok,0
cfloat,512,128,inloop,defer_gather,0,2,12.4433,9.5652,1.3009,0.0171,0.0176,3.769e-07,3.769e-07,0,native:blocked,502,ok,0
