op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,ntpiv,extra2,flag,foreign
getrf,cdouble,128,1,512,7.9583,7.9566,0.0009,89.95,1.474e-15,18432,native:blocked,0,116,0,0,ok,0
getrf,cdouble,128,1,1024,16.2254,16.2253,0.0003,88.24,1.474e-15,36864,native:blocked,0,124,0,0,ok,0
getrf,cdouble,256,1,128,8.7464,8.7489,0.0010,163.68,1.488e-15,4608,native:blocked,0,246,0,0,ok,0
getrf,cdouble,256,1,256,17.7079,17.7123,0.0012,161.70,1.762e-15,9216,native:blocked,0,251,0,0,ok,0
getrf,cdouble,256,1,512,36.8070,36.8368,0.0017,155.59,1.439e-15,18432,native:blocked,0,251,0,0,ok,0
getrf,cdouble,256,1,1024,75.4877,75.5002,0.0011,151.72,1.627e-15,36864,native:blocked,0,249,0,0,ok,0
getrf,cdouble,512,1,128,51.7435,51.7544,0.0008,221.35,2.876e-15,4608,native:blocked,0,503,0,0,ok,0
getrf,cdouble,512,1,256,103.6563,103.6595,0.0008,220.99,2.876e-15,9216,native:blocked,0,504,0,0,ok,0
getrf,cdouble,512,1,512,211.2184,211.1861,0.0005,216.90,2.876e-15,18432,native:blocked,0,505,0,0,ok,0
getrf,cdouble,512,1,1024,424.2485,424.2548,0.0003,215.97,2.876e-15,36864,native:blocked,0,504,0,0,ok,0
getrf,cdouble,1024,1,128,349.5340,357.6935,0.0329,262.14,4.412e-15,4608,native:blocked,0,1019,0,0,ok,0
getrf,cdouble,1024,1,256,740.2273,747.7600,0.0333,247.56,3.396e-15,9216,native:blocked,0,1014,0,0,ok,0
