vendor,cdouble,2048,1,32,1024,32,49152,11.1123,11.1145,0.0007,193.3,1.000,4.384e-15,2041,ok
comp,cdouble,2048,1,32,1024,32,49152,50.8618,50.8676,0.0004,42.2,0.218,4.547e-15,2041,ok
fstream,cdouble,2048,1,32,1024,1,32784,9.9152,9.9179,0.0006,216.6,1.121,6.349e-15,2041,ok
fblock,cdouble,2048,1,32,1024,32,49152,5.1374,5.1387,0.0005,418.0,2.163,3.957e-15,2041,ok
vendor,cdouble,2048,2,32,1024,32,81920,22.6055,22.6056,0.0003,95.0,1.000,4.384e-15,2041,ok
comp,cdouble,2048,2,32,1024,32,81920,50.9811,50.9847,0.0002,42.1,0.443,4.547e-15,2041,ok
fstream,cdouble,2048,2,32,1024,1,65552,16.0991,16.1035,0.0005,133.4,1.404,6.349e-15,2041,ok
fblock,cdouble,2048,2,32,1024,32,81920,9.7577,9.7584,0.0003,220.1,2.317,4.017e-15,2041,ok
vendor,cdouble,512,8,512,256,16,69632,14.7227,14.7226,0.0002,145.9,1.000,2.029e-15,505,ok
comp,cdouble,512,8,512,256,16,69632,54.3067,54.3073,0.0001,39.5,0.271,1.867e-15,505,ok
fstream,cdouble,512,8,512,256,1,65552,25.2482,25.2484,0.0001,85.1,0.583,2.777e-15,505,ok
fblock,cdouble,512,8,512,256,16,69632,20.5490,20.5490,0.0001,104.5,0.716,1.872e-15,505,ok
vendor,cfloat,2048,4,32,1024,32,73728,4.0153,4.0161,0.0006,267.4,1.000,9.158e-07,2041,ok
comp,cfloat,2048,4,32,1024,32,73728,7.7620,7.7623,0.0004,138.3,0.517,8.846e-07,2041,ok
fstream,cfloat,2048,4,32,1024,1,65544,7.5086,7.5090,0.0003,143.0,0.535,3.107e-06,2041,ok
fblock,cfloat,2048,4,32,1024,32,73728,3.2930,3.2932,0.0002,326.1,1.219,8.634e-07,2041,ok
skip,cfloat,2048,8,32,1024,32,139264,0,0,0,0,0,0,2041,SLM
vendor,cfloat,2048,8,32,1024,32,139264,4.4748,4.4734,0.0006,240.0,1.000,8.513e-07,2041,ok
comp,cfloat,2048,8,32,1024,32,139264,8.8275,8.8264,0.0003,121.6,0.507,7.915e-07,2041,ok
vendor,cfloat,512,16,512,256,16,67584,2.5274,2.5273,0.0008,424.8,1.000,4.873e-07,505,ok
comp,cfloat,512,16,512,256,16,67584,5.1854,5.1867,0.0006,207.1,0.487,4.994e-07,505,ok
fstream,cfloat,512,16,512,256,1,65544,12.7714,12.7718,0.0002,84.1,0.198,1.098e-06,505,ok
fblock,cfloat,512,16,512,256,16,67584,8.8871,8.8876,0.0002,120.8,0.284,5.801e-07,505,ok
vendor,double,2048,4,32,1024,32,73728,11.0282,11.0284,0.0002,97.4,1.000,4.336e-15,2041,ok
comp,double,2048,4,32,1024,32,73728,8.6041,8.6038,0.0003,124.8,1.282,4.558e-15,2041,ok
fstream,double,2048,4,32,1024,1,65544,12.4584,12.4595,0.0002,86.2,0.885,6.893e-15,2041,ok
fblock,double,2048,4,32,1024,32,73728,5.9688,5.9686,0.0001,179.9,1.848,4.781e-15,2041,ok
skip,double,2048,8,32,1024,32,139264,0,0,0,0,0,0,2041,SLM
vendor,double,2048,8,32,1024,32,139264,10.7402,10.7405,0.0003,100.0,1.000,4.774e-15,2041,ok
comp,double,2048,8,32,1024,32,139264,9.1703,9.1703,0.0002,117.1,1.171,4.886e-15,2041,ok
vendor,double,512,16,512,256,16,67584,8.0033,8.0037,0.0004,134.2,1.000,2.555e-15,505,ok
comp,double,512,16,512,256,16,67584,7.8262,7.8286,0.0008,137.2,1.023,2.555e-15,505,ok
fstream,double,512,16,512,256,1,65544,20.0178,20.0199,0.0004,53.6,0.400,4.002e-15,505,ok
fblock,double,512,16,512,256,16,67584,14.2543,14.2548,0.0002,75.3,0.561,2.335e-15,505,ok
vendor,float,2048,8,32,1024,32,69632,3.3701,3.3704,0.0007,159.3,1.000,7.918e-07,2041,ok
comp,float,2048,8,32,1024,32,69632,5.5923,5.5921,0.0003,96.0,0.603,8.484e-07,2041,ok
fstream,float,2048,8,32,1024,1,65540,7.4741,7.4729,0.0003,71.8,0.451,2.763e-06,2041,ok
fblock,float,2048,8,32,1024,32,69632,3.0317,3.0319,0.0002,177.1,1.112,1.004e-06,2041,ok
skip,float,2048,16,32,1024,32,135168,0,0,0,0,0,0,2041,SLM
vendor,float,2048,16,32,1024,32,135168,4.5264,4.5263,0.0008,118.6,1.000,1.007e-06,2041,ok
comp,float,2048,16,32,1024,32,135168,6.9088,6.9089,0.0003,77.7,0.655,1.007e-06,2041,ok
