vendor,float,64,1,8192,64,16,1280,0.2949,0.2953,0.0047,455.2,1.000,7.107e-07,58,ok
comp,float,64,1,8192,64,16,1280,1.4384,1.4382,0.0008,93.3,0.205,5.977e-07,58,ok
fstream,float,64,1,8192,64,1,260,0.3320,0.3328,0.0051,404.3,0.888,5.548e-07,58,ok
fblock,float,64,1,8192,64,16,1280,0.1786,0.1785,0.0032,751.6,1.651,4.701e-07,58,ok
vendor,float,64,2,8192,64,16,1536,0.3210,0.3202,0.0067,418.2,1.000,7.107e-07,58,ok
comp,float,64,2,8192,64,16,1536,1.4337,1.4335,0.0004,93.6,0.224,5.977e-07,58,ok
fstream,float,64,2,8192,64,1,516,0.4331,0.4331,0.0027,309.9,0.741,6.032e-07,58,ok
fblock,float,64,2,8192,64,16,1536,0.2033,0.2031,0.0024,660.2,1.579,5.000e-07,58,ok
vendor,float,64,4,8192,64,16,2048,0.3686,0.3676,0.0051,364.1,1.000,7.107e-07,58,ok
comp,float,64,4,8192,64,16,2048,1.4826,1.4825,0.0004,90.5,0.249,5.977e-07,58,ok
fstream,float,64,4,8192,64,1,1028,0.4929,0.4927,0.0016,272.3,0.748,5.548e-07,58,ok
fblock,float,64,4,8192,64,16,2048,0.2523,0.2523,0.0018,532.0,1.461,4.871e-07,58,ok
vendor,float,64,8,8192,64,16,3072,0.5146,0.5131,0.0163,260.8,1.000,7.107e-07,58,ok
comp,float,64,8,8192,64,16,3072,1.6114,1.6115,0.0006,83.3,0.319,6.099e-07,58,ok
fstream,float,64,8,8192,64,1,2052,0.7635,0.7636,0.0015,175.8,0.674,5.548e-07,58,ok
fblock,float,64,8,8192,64,16,3072,0.4269,0.4267,0.0024,314.4,1.205,4.701e-07,58,ok
vendor,float,64,16,8192,64,16,5120,0.9598,0.9600,0.0016,139.8,1.000,7.107e-07,58,ok
comp,float,64,16,8192,64,16,5120,2.0931,2.0932,0.0005,64.1,0.459,5.977e-07,58,ok
fstream,float,64,16,8192,64,1,4100,1.3325,1.3326,0.0005,100.7,0.720,5.641e-07,58,ok
fblock,float,64,16,8192,64,16,5120,0.8449,0.8448,0.0005,158.9,1.136,4.701e-07,58,ok
vendor,float,128,1,4096,64,16,1536,0.6382,0.6385,0.0032,420.6,1.000,9.648e-07,124,ok
comp,float,128,1,4096,64,16,1536,1.7943,1.7948,0.0012,149.6,0.356,8.418e-07,124,ok
fstream,float,128,1,4096,64,1,516,0.5410,0.5399,0.0060,496.1,1.180,7.249e-07,124,ok
fblock,float,128,1,4096,64,16,1536,0.3468,0.3466,0.0022,774.0,1.840,8.420e-07,124,ok
vendor,float,128,2,4096,64,16,2048,0.6329,0.6346,0.0048,424.1,1.000,9.648e-07,124,ok
comp,float,128,2,4096,64,16,2048,1.7806,1.7805,0.0007,150.8,0.355,8.418e-07,124,ok
fstream,float,128,2,4096,64,1,1028,0.5866,0.5874,0.0048,457.6,1.079,9.016e-07,124,ok
fblock,float,128,2,4096,64,16,2048,0.3556,0.3556,0.0036,754.9,1.780,8.420e-07,124,ok
vendor,float,128,4,4096,64,16,3072,0.7065,0.7055,0.0049,380.0,1.000,9.648e-07,124,ok
